symbol,name,exchange,assetType,ipoDate,delistingDate,status,Empresa,Codigo
ABCB,Ameris Bancorp,NASDAQ,Stock,1994-05-19,,Active,ABC BRASIL  ,ABCB
ABEV,Ambev S.A.,NYSE,Stock,1997-03-05,,Active,AMBEV S/A,ABEV
AGRO,Adecoagro S.A.,NYSE,Stock,2011-01-28,,Active,BRASILAGRO  ,AGRO
AMBP,Ardagh Metal Packaging S.A.,NYSE,Stock,2021-08-05,,Active,AMBIPAR,AMBP
ATMP,iPath Select MLP ETN,BATS,ETF,2013-03-13,,Active,ATMASA,ATMP
AURA,Aura Biosciences Inc,NASDAQ,Stock,2021-10-29,,Active,AURA 360,AURA
AZUL,Azul S.A.,NYSE,Stock,2017-04-11,,Active,AZUL,AZUL
BBDC,Barings BDC Inc,NYSE,Stock,2018-08-03,,Active,BRADESCO    ,BBDC
BRFS,BRF S.A.,NYSE,Stock,2001-01-02,,Active,BRF SA   ,BRFS
BSCS,INVESCO BULLETSHARES 2028 CORPORATE BOND ETF ,NASDAQ,ETF,2018-08-09,,Active,BRAZILIAN SC,BSCS
CALI,BlackRock Short-Term California Muni Bond ETF,NASDAQ,ETF,2023-07-13,,Active,CONST A LIND,CALI
CAML,CONGRESS LARGE CAP GROWTH ETF ,NYSE ARCA,ETF,2023-08-22,,Active,CAMIL,CAML
CASH,Pathward Financial Inc,NASDAQ,Stock,1993-09-21,,Active,MELIUZ,CASH
CLSA,Cabana Target Leading Sector Aggressive ETF,NASDAQ,ETF,2021-07-13,,Active,CLEARSALE,CLSA
CLSC,Cabana Target Leading Sector Conservative ETF,NASDAQ,ETF,2021-07-13,,Active,CELESC      ,CLSC
CSAN,Cosan S.A,NYSE,Stock,2021-03-08,,Active,COSAN       ,CSAN
CTNM,Contineum Therapeutics Inc - Class A,NASDAQ,Stock,2024-04-05,,Active,COTEMINAS   ,CTNM
CXSE,WISDOMTREE CHINA EX-STATE-OWNED ENTERPRISES FUND ,NASDAQ,ETF,2012-09-20,,Active,CAIXA SEGURI,CXSE
DESK,VANECK OFFICE AND COMMERCIAL REIT ETF ,NYSE ARCA,ETF,2023-09-21,,Active,DESKTOP,DESK
EALT,Innovator U.S. Equity 5 to 15 Buffer ETF - Quarterly,BATS,ETF,2023-10-02,,Active,ACO ALTONA  ,EALT
ECOR,ElectroCore Inc,NASDAQ,Stock,2018-06-22,,Active,ECORODOVIAS ,ECOR
ELMD,Electromed Inc,NYSE MKT,Stock,2010-08-13,,Active,ELETROMIDIA,ELMD
EVTC,Evertec Inc,NYSE,Stock,2013-04-12,,Active,EVERTEC INC,EVTC
GOAU,U.S. GLOBAL GO GOLD AND PRECIOUS METAL MINERS ETF ,NYSE ARCA,ETF,2017-06-28,,Active,GERDAU MET  ,GOAU
GRND,Grindr Inc - Class A,NYSE,Stock,2021-01-14,,Active,GRENDENE    ,GRND
ITUB,Itau Unibanco Holding S.A.,NYSE,Stock,2002-02-25,,Active,ITAUUNIBANCO,ITUB
JBSS,Sanfilippo (John B.) & Son Inc,NASDAQ,Stock,1991-12-04,,Active,JBS         ,JBSS
LAND,Gladstone Land Corp,NASDAQ,Stock,2013-01-29,,Active,TERRASANTAPA,LAND
MBLY,Mobileye Global Inc - Class A,NASDAQ,Stock,2022-10-26,,Active,MOBLY,MBLY
MDIA,MediaCo Holding Inc - Class A,NASDAQ,Stock,2020-01-06,,Active,M.DIASBRANCO,MDIA
MERC,Mercer International Inc,NASDAQ,Stock,1990-03-26,,Active,MERC FINANC ,MERC
MNPR,Monopar Therapeutics Inc,NASDAQ,Stock,2019-12-19,,Active,MINUPAR     ,MNPR
ONCO,Onconetix Inc,NASDAQ,Stock,2022-02-18,,Active,ONCOCLINICAS,ONCO
PCAR,Paccar Inc,NASDAQ,Stock,1986-07-09,,Active,P.ACUCAR-CBD,PCAR
PETZ,TDH Holdings Inc,NASDAQ,Stock,2017-09-21,,Active,PETZ,PETZ
PINE,Alpine Income Property Trust Inc,NYSE,Stock,2019-11-22,,Active,PINE        ,PINE
PRMN,PLANROCK MARKET NEUTRAL INCOME ETF ,NYSE ARCA,ETF,2023-12-19,,Active,PROMAN      ,PRMN
QUAL,ISHARES MSCI USA QUALITY FACTOR ETF ,BATS,ETF,2013-07-18,,Active,QUALICORP   ,QUAL
RAIL,FreightCar America Inc,NASDAQ,Stock,2005-04-06,,Active,RUMO S.A.,RAIL
RANI,Rani Therapeutics Holdings Inc Class A,NASDAQ,Stock,2021-07-30,,Active,IRANI ,RANI
RAPT,RAPT Therapeutics Inc,NASDAQ,Stock,2019-10-31,,Active,RANDON PART ,RAPT
RDVT,Red Violet Inc,NASDAQ,Stock,2018-03-26,,Active,ROD TIETE   ,RDVT
RENT,Rent the Runway Inc - Class A,NASDAQ,Stock,2021-10-27,,Active,LOCALIZA    ,RENT
RNEW,VANECK GREEN INFRASTRUCTURE ETF ,NASDAQ,ETF,2022-10-20,,Active,RENOVA      ,RNEW
SBFG,SB Financial Group Inc,NASDAQ,Stock,1999-01-04,,Active,GRUPO SBF,SBFG
SEER,Seer Inc - Class A,NASDAQ,Stock,2020-12-04,,Active,SER EDUCA,SEER
SOND,Sonder Holdings Inc - Class A,NASDAQ,Stock,2021-03-15,,Active,SONDOTECNICA,SOND
TKNO,Alpha Teknova Inc,NASDAQ,Stock,2021-06-25,,Active,TEKNO       ,TKNO
VALE,Vale S.A.,NYSE,Stock,2002-03-21,,Active,VALE        ,VALE
VAMO,CAMBRIA VALUE AND MOMENTUM ETF ,BATS,ETF,2015-09-09,,Active,VAMOS,VAMO
VSTE,Vast Renewables Ltd,NASDAQ,Stock,2023-12-19,,Active,VESTE,VSTE
WEST,Westrock Coffee Company,NASDAQ,Stock,2022-08-26,,Active,WESTWING,WEST
