,1. open,2. high,3. low,4. close,5. volume
2025-02-27,2.0300,2.1300,2.0150,2.1100,40318476
2025-02-26,1.9700,2.0000,1.9450,1.9900,26710303
2025-02-25,1.9000,1.9100,1.8700,1.8900,21291434
2025-02-24,1.9200,1.9200,1.8800,1.9000,21040989
2025-02-21,1.9100,1.9300,1.9000,1.9200,17750443
2025-02-20,1.8950,1.9200,1.8900,1.9100,10212410
2025-02-19,1.9000,1.9000,1.8800,1.8900,12928524
2025-02-18,1.9000,1.9300,1.9000,1.9100,12337428
2025-02-14,1.9000,1.9200,1.8800,1.9000,39017754
2025-02-13,1.8500,1.8800,1.8400,1.8700,11286360
2025-02-12,1.8600,1.8700,1.8400,1.8400,17520626
2025-02-11,1.8700,1.8700,1.8300,1.8500,22468790
2025-02-10,1.8700,1.9000,1.8400,1.8600,29579027
2025-02-07,1.8400,1.8600,1.8200,1.8400,47944565
2025-02-06,1.8400,1.8600,1.8300,1.8400,38289551
2025-02-05,1.8300,1.8400,1.8000,1.8300,38532242
2025-02-04,1.8400,1.8660,1.8200,1.8400,30439024
2025-02-03,1.8400,1.8700,1.8100,1.8400,35069030
2025-01-31,1.8800,1.8900,1.8500,1.8500,15387840
2025-01-30,1.8300,1.8600,1.8200,1.8600,32251276
2025-01-29,1.8500,1.8600,1.8050,1.8200,47626403
2025-01-28,1.8400,1.8700,1.8300,1.8500,73765323
2025-01-27,1.8150,1.8400,1.8000,1.8300,134955553
2025-01-24,1.8300,1.8300,1.7900,1.7900,68887996
2025-01-23,1.8300,1.8400,1.8100,1.8200,52143183
2025-01-22,1.8200,1.8250,1.7900,1.8000,24832231
2025-01-21,1.7900,1.8300,1.7850,1.8200,23017096
2025-01-17,1.7800,1.8000,1.7700,1.7800,37337023
2025-01-16,1.8200,1.8300,1.7900,1.8100,42444457
2025-01-15,1.8400,1.8600,1.8000,1.8500,51485123
2025-01-14,1.8200,1.8300,1.7900,1.8000,39167733
2025-01-13,1.7900,1.8200,1.7800,1.7900,48819082
2025-01-10,1.8400,1.8400,1.7700,1.7800,44186656
2025-01-08,1.8500,1.8500,1.7900,1.8400,34736777
2025-01-07,1.8300,1.8700,1.8100,1.8500,56421232
2025-01-06,1.8250,1.8250,1.7800,1.7900,79501838
2025-01-03,1.8300,1.8400,1.7600,1.7700,52310692
2025-01-02,1.8500,1.8600,1.8100,1.8300,60767740
2024-12-31,1.8500,1.8600,1.8200,1.8500,31068351
2024-12-30,1.8800,1.8900,1.8500,1.8500,59595782
2024-12-27,1.9000,1.9100,1.8600,1.8700,61269859
