,1. open,2. high,3. low,4. close,5. volume
2025-02-27,2.8900,3.2100,2.8900,3.1600,5875822
2025-02-26,2.7800,2.9100,2.7650,2.9100,4199835
2025-02-25,2.8000,2.8300,2.7450,2.7800,1709949
2025-02-24,2.7700,2.7900,2.7200,2.7600,1094586
2025-02-21,2.7700,2.8150,2.7300,2.7400,1434088
2025-02-20,2.6500,2.7400,2.6500,2.7300,1480885
2025-02-19,2.6100,2.6900,2.5850,2.6500,1595095
2025-02-18,2.6100,2.6400,2.6000,2.6300,631434
2025-02-14,2.6400,2.6700,2.6000,2.6300,517363
2025-02-13,2.6400,2.6700,2.6000,2.6200,1120885
2025-02-12,2.6300,2.6800,2.6200,2.6200,653665
2025-02-11,2.6200,2.7000,2.6100,2.6900,1093049
2025-02-10,2.5300,2.7000,2.5300,2.6500,1446454
2025-02-07,2.6200,2.6200,2.5000,2.5100,1448150
2025-02-06,2.7200,2.7200,2.6100,2.6200,1267682
2025-02-05,2.7400,2.7500,2.6900,2.7000,913640
2025-02-04,2.7300,2.7400,2.6700,2.7400,1057622
2025-02-03,2.7500,2.7550,2.7000,2.7300,737328
2025-01-31,2.8100,2.8200,2.7500,2.7700,851824
2025-01-30,2.7800,2.8200,2.7600,2.8100,1212410
2025-01-29,2.7800,2.8000,2.7400,2.7600,801322
2025-01-28,2.8000,2.8200,2.7600,2.7800,759722
2025-01-27,2.8000,2.8500,2.7900,2.8200,907062
2025-01-24,2.7800,2.8100,2.7600,2.7900,556559
2025-01-23,2.7700,2.8000,2.7500,2.7900,665028
2025-01-22,2.8200,2.8299,2.7700,2.7900,824095
2025-01-21,2.8400,2.8800,2.8200,2.8400,1227119
2025-01-17,2.8200,2.8600,2.7700,2.8000,852240
2025-01-16,2.7500,2.8100,2.6800,2.7900,1688552
2025-01-15,2.8300,2.8450,2.8000,2.8400,881718
2025-01-14,2.8200,2.8850,2.7500,2.7700,1406368
2025-01-13,2.6800,2.8300,2.6700,2.8200,1938401
2025-01-10,2.6800,2.7500,2.6600,2.6800,1852921
2025-01-08,2.7500,2.7500,2.6800,2.7300,1827985
2025-01-07,2.8900,2.8900,2.7500,2.7500,2181611
2025-01-06,2.9700,3.0500,2.8900,2.8900,2427786
2025-01-03,2.9800,3.0100,2.9300,2.9700,1657903
2025-01-02,3.0400,3.0700,2.9700,2.9700,768125
2024-12-31,2.9600,3.0300,2.9600,3.0100,816256
2024-12-30,3.0500,3.0500,2.9400,2.9600,1561988
2024-12-27,2.9600,3.0600,2.9500,3.0200,1540975
2024-12-26,3.0100,3.0200,2.9600,2.9800,853134
2024-12-24,3.0500,3.0600,3.0050,3.0200,520137
2024-12-23,3.0500,3.1000,3.0200,3.0600,1120378
2024-12-20,3.0100,3.1100,3.0000,3.0600,1959770
2024-12-19,3.0600,3.0850,2.9800,3.0300,2520809
2024-12-18,3.1800,3.1800,3.0150,3.0400,1595441
2024-12-17,3.1600,3.1650,3.0950,3.1500,1598766
2024-12-16,3.2000,3.2000,3.1600,3.1700,1017563
2024-12-13,3.2300,3.2300,3.1550,3.2100,1214778
2024-12-12,3.2000,3.2400,3.1600,3.2200,1513231
2024-12-11,3.4000,3.4500,3.1900,3.1900,2929206
2024-12-10,3.4500,3.5000,3.4200,3.4700,941385
2024-12-09,3.4700,3.5050,3.4412,3.4500,1053134
2024-12-06,3.4800,3.5400,3.4300,3.4300,888358
2024-12-05,3.6100,3.6300,3.4600,3.4800,1373392
2024-12-04,3.7500,3.7500,3.6900,3.7100,961023
2024-12-03,3.7700,3.7900,3.7100,3.7200,1271379
2024-12-02,3.7100,3.7900,3.6850,3.7700,1042953
2024-11-29,3.7100,3.7200,3.6600,3.6800,472860
2024-11-27,3.7100,3.7500,3.6800,3.6900,960745
2024-11-26,3.7000,3.7200,3.6600,3.7000,1619356
2024-11-25,3.7500,3.7900,3.7100,3.7100,875656
2024-11-22,3.7000,3.7600,3.7000,3.7300,1247171
2024-11-21,3.6100,3.7100,3.5800,3.7100,1329882
2024-11-20,3.5800,3.6450,3.5750,3.6300,695611
2024-11-19,3.6000,3.6250,3.5700,3.6000,776316
2024-11-18,3.6200,3.6499,3.5700,3.6100,1176769
2024-11-15,3.6800,3.6800,3.6000,3.6200,861686
2024-11-14,3.7100,3.7300,3.6600,3.6600,982111
2024-11-13,3.7000,3.7200,3.6600,3.7000,1664765
2024-11-12,3.7900,3.8100,3.6650,3.7000,1350893
2024-11-11,3.7500,3.8300,3.7400,3.7900,1393705
2024-11-08,3.7900,3.7900,3.6500,3.7400,1132171
2024-11-07,3.7800,3.7888,3.6800,3.7500,2156492
2024-11-06,3.7900,3.8300,3.6700,3.6900,2784794
2024-11-05,3.6300,3.7300,3.6300,3.6900,1699922
2024-11-04,3.6500,3.7100,3.6400,3.6400,885542
2024-11-01,3.6900,3.7100,3.6300,3.6400,1311523
2024-10-31,3.7500,3.7500,3.6600,3.6800,1233085
2024-10-30,3.7600,3.8300,3.7100,3.7200,2309508
2024-10-29,3.6300,3.8100,3.6000,3.7400,4289954
2024-10-28,3.7300,3.7650,3.6300,3.6600,2707131
2024-10-25,3.9000,3.9100,3.7100,3.7100,2185002
2024-10-24,3.8500,4.0150,3.7700,3.9100,2148358
2024-10-23,4.1900,4.2500,4.1600,4.1900,1255646
2024-10-22,4.1600,4.2250,4.1400,4.2100,1279943
2024-10-21,4.2300,4.2400,4.1700,4.1700,1141962
2024-10-18,4.1500,4.2600,4.1000,4.2400,1942995
2024-10-17,4.0800,4.1600,4.0500,4.1400,1971552
2024-10-16,4.0000,4.0800,3.8900,3.9700,1763887
2024-10-15,3.9300,4.0800,3.8900,3.9600,2916014
2024-10-14,3.7300,3.8300,3.7000,3.8300,920282
2024-10-11,3.7500,3.7700,3.7200,3.7300,836026
2024-10-10,3.6900,3.7700,3.6800,3.7300,847601
2024-10-09,3.6600,3.7600,3.6550,3.7300,864727
2024-10-08,3.6900,3.7300,3.6413,3.6800,1012309
2024-10-07,3.7600,3.7700,3.6600,3.7000,851336
2024-10-04,3.6900,3.7850,3.6900,3.7500,1231903
2024-10-03,3.7000,3.7000,3.6300,3.6700,842413
2024-10-02,3.8000,3.8000,3.6850,3.7100,770212
2024-10-01,3.7300,3.8050,3.7150,3.7900,923199
2024-09-30,3.7400,3.7750,3.7000,3.7700,1164946
2024-09-27,3.7400,3.8000,3.7150,3.7400,1159373
2024-09-26,3.7300,3.7700,3.7100,3.7200,819373
2024-09-25,3.7000,3.7250,3.6800,3.7000,793796
2024-09-24,3.6700,3.7350,3.6700,3.7200,1070556
2024-09-23,3.6200,3.6800,3.5650,3.6700,1001883
2024-09-20,3.6600,3.6900,3.6000,3.6200,1538164
2024-09-19,3.7000,3.7550,3.6650,3.6900,1225240
2024-09-18,3.6900,3.6900,3.6050,3.6400,1626591
2024-09-17,3.6500,3.7500,3.6000,3.6300,1907568
2024-09-16,3.6100,3.6700,3.5900,3.6500,1455030
2024-09-13,3.4000,3.6100,3.4000,3.6100,1380750
2024-09-12,3.4400,3.4650,3.3600,3.3800,1066226
2024-09-11,3.5500,3.5500,3.4600,3.5400,1030656
2024-09-10,3.5600,3.5850,3.5100,3.5700,1685253
2024-09-09,3.5800,3.5900,3.5400,3.5800,1876342
2024-09-06,3.5800,3.6000,3.5150,3.5300,834702
2024-09-05,3.5700,3.6000,3.5300,3.5700,1606365
2024-09-04,3.5300,3.6150,3.5100,3.5500,1501964
2024-09-03,3.5300,3.5800,3.5050,3.5300,1620253
2024-08-30,3.5800,3.6100,3.5550,3.5800,747900
2024-08-29,3.6600,3.6800,3.5500,3.5700,745935
2024-08-28,3.5300,3.6500,3.5300,3.6300,1231002
2024-08-27,3.5700,3.6050,3.5300,3.5800,458818
2024-08-26,3.5600,3.5850,3.5250,3.5600,501621
2024-08-23,3.4500,3.5650,3.4500,3.5300,957794
2024-08-22,3.4800,3.4900,3.4450,3.4500,473687
2024-08-21,3.4400,3.4800,3.4150,3.4800,320160
2024-08-20,3.4300,3.4500,3.3800,3.4200,485199
2024-08-19,3.3800,3.4550,3.3650,3.4300,816918
2024-08-16,3.3300,3.4200,3.3100,3.3800,845483
2024-08-15,3.3200,3.4000,3.3050,3.3600,819468
2024-08-14,3.3100,3.3300,3.2550,3.2800,680632
2024-08-13,3.2400,3.3000,3.2100,3.2900,916294
2024-08-12,3.2300,3.2500,3.1600,3.2100,1134373
2024-08-09,3.2800,3.3000,3.1850,3.2100,1514659
2024-08-08,3.3700,3.4000,3.2800,3.2900,834616
2024-08-07,3.3800,3.4200,3.3400,3.3600,1847958
2024-08-06,3.3800,3.4000,3.3400,3.3500,1070225
2024-08-05,3.3500,3.3850,3.3100,3.3600,1035347
2024-08-02,3.4700,3.4800,3.3800,3.4600,1685985
2024-08-01,3.6700,3.6800,3.4750,3.5200,2808086
2024-07-31,3.6400,3.7500,3.6400,3.6800,1213901
2024-07-30,3.6600,3.6650,3.6000,3.6300,1436881
2024-07-29,3.6300,3.6600,3.6000,3.6400,1583365
2024-07-26,3.7300,3.7400,3.5600,3.6400,1657505
2024-07-25,3.8200,3.8650,3.6250,3.6600,2844080
2024-07-24,3.6800,3.7600,3.6600,3.7500,2149836
2024-07-23,3.6200,3.6800,3.6200,3.6700,2351948
2024-07-22,3.5100,3.6300,3.5100,3.6100,1719801
2024-07-19,3.5700,3.5800,3.5000,3.5000,1943156
2024-07-18,3.5700,3.6750,3.5600,3.5600,2052433
2024-07-17,3.6400,3.7400,3.5500,3.6000,2937593
2024-07-16,3.6500,3.8150,3.6400,3.8000,2100005
2024-07-15,3.6500,3.7100,3.6150,3.6900,1672971
2024-07-12,3.6000,3.6700,3.5300,3.6300,1969665
2024-07-11,3.5000,3.6550,3.5000,3.5700,2072650
2024-07-10,3.4400,3.4700,3.4200,3.4500,1236302
2024-07-09,3.4500,3.4500,3.3900,3.4200,1437345
2024-07-08,3.4200,3.4700,3.3700,3.4400,2011278
2024-07-05,3.3200,3.4500,3.3000,3.4000,3102436
2024-07-03,3.3700,3.4000,3.3500,3.3500,671004
2024-07-02,3.3600,3.3700,3.2800,3.3700,1912170
2024-07-01,3.4600,3.4750,3.3500,3.3600,1621660
2024-06-28,3.4800,3.4950,3.3500,3.4000,18917877
2024-06-27,3.5100,3.5700,3.4350,3.4700,1241088
2024-06-26,3.4600,3.5200,3.4100,3.5000,1269112
2024-06-25,3.5800,3.6000,3.4650,3.4800,1037115
2024-06-24,3.5400,3.6200,3.5400,3.5700,1326804
2024-06-21,3.5500,3.6000,3.4900,3.5200,1409663
2024-06-20,3.5900,3.6150,3.5300,3.5500,1002104
2024-06-18,3.6600,3.7100,3.5600,3.5700,1268541
2024-06-17,3.7400,3.7400,3.6600,3.6600,869054
2024-06-14,3.7200,3.7300,3.6400,3.7200,988724
2024-06-13,3.8200,3.8200,3.7000,3.7200,1231234
2024-06-12,3.8400,3.9200,3.8000,3.8100,1497654
2024-06-11,3.9100,3.9100,3.8500,3.8900,1408518
2024-06-10,3.8900,3.9500,3.8650,3.9200,927367
2024-06-07,3.9600,3.9900,3.8800,3.9000,736549
2024-06-06,4.0100,4.0400,3.9600,3.9600,897268
2024-06-05,4.0500,4.0500,3.9800,4.0300,1329409
2024-06-04,4.0100,4.0300,3.9500,4.0300,436507
2024-06-03,3.9800,4.0200,3.9300,4.0100,897312
2024-05-31,3.9200,3.9600,3.8500,3.9500,938442
2024-05-30,3.8700,3.9100,3.8600,3.9100,561765
2024-05-29,3.8900,3.9000,3.7900,3.8300,1609753
2024-05-28,3.9600,3.9800,3.8800,3.9000,763641
2024-05-24,3.9100,3.9500,3.8800,3.9400,638388
2024-05-23,4.0100,4.0100,3.8200,3.8700,2381049
2024-05-22,4.0600,4.0600,3.9800,3.9900,731913
2024-05-21,4.0500,4.1150,4.0500,4.0700,656481
2024-05-20,4.0500,4.0800,4.0200,4.0700,602709
2024-05-17,4.0100,4.0900,3.9950,4.0500,888101
2024-05-16,4.0300,4.1300,3.9900,4.0700,1314380
2024-05-15,4.0400,4.0400,3.9800,4.0200,731202
2024-05-14,4.0400,4.0700,3.9800,4.0300,740224
2024-05-13,4.0100,4.0400,3.9900,4.0100,928423
2024-05-10,4.0500,4.0650,3.9800,3.9800,930423
2024-05-09,4.0200,4.0500,4.0100,4.0400,992765
2024-05-08,3.9400,4.0500,3.9200,4.0300,1169715
2024-05-07,3.9700,4.0100,3.9300,3.9600,844808
2024-05-06,4.0000,4.0500,3.9700,3.9900,1282482
2024-05-03,4.0100,4.0300,3.9400,3.9400,817510
2024-05-02,3.9900,4.0200,3.9400,3.9700,1056036
2024-05-01,3.9800,4.0200,3.9200,3.9600,1364523
2024-04-30,3.9500,4.0350,3.9000,3.9500,1138167
2024-04-29,4.0600,4.1700,3.9500,3.9800,1566834
2024-04-26,4.0100,4.1050,3.9950,4.0500,2734947
2024-04-25,3.6900,4.0850,3.6600,4.0100,2588677
2024-04-24,3.6700,3.7400,3.6400,3.7300,1083449
2024-04-23,3.6000,3.7200,3.5900,3.7100,1420502
2024-04-22,3.4900,3.6400,3.4700,3.6300,1065664
2024-04-19,3.4400,3.5300,3.4300,3.4900,1569455
2024-04-18,3.4000,3.5000,3.3600,3.4500,1640787
2024-04-17,3.5000,3.5000,3.3500,3.3700,1193305
2024-04-16,3.3100,3.4700,3.2500,3.4600,5421167
2024-04-15,3.4500,3.4700,3.2900,3.3300,1280734
2024-04-12,3.4200,3.4650,3.4000,3.4100,1267080
2024-04-11,3.4600,3.4900,3.4300,3.4400,1227837
2024-04-10,3.4400,3.4800,3.3700,3.4500,1151247
2024-04-09,3.5000,3.5300,3.4800,3.4900,1553714
2024-04-08,3.4900,3.5150,3.4700,3.4800,727397
2024-04-05,3.5300,3.5300,3.4200,3.4800,1174248
2024-04-04,3.4900,3.5700,3.4600,3.5300,1388424
2024-04-03,3.3500,3.4900,3.3500,3.4800,1929614
2024-04-02,3.4100,3.4300,3.3525,3.3700,549752
2024-04-01,3.3500,3.4300,3.3200,3.4200,1681715
2024-03-28,3.4100,3.4700,3.4100,3.4300,2247353
2024-03-27,3.3500,3.4500,3.3500,3.3900,1279902
2024-03-26,3.3700,3.4000,3.3250,3.3500,1087717
2024-03-25,3.4200,3.4700,3.3300,3.3600,2042874
2024-03-22,3.4800,3.4900,3.3900,3.4100,2199617
2024-03-21,3.5100,3.5100,3.4400,3.4700,556373
2024-03-20,3.4300,3.5050,3.4200,3.4900,650872
2024-03-19,3.3600,3.4500,3.3600,3.4500,935085
2024-03-18,3.4400,3.4400,3.3300,3.3900,858229
2024-03-15,3.3400,3.5200,3.3400,3.4700,1666639
2024-03-14,3.4700,3.5100,3.3300,3.3400,711638
2024-03-13,3.4200,3.5300,3.4200,3.4900,856983
2024-03-12,3.3900,3.4450,3.3400,3.4200,1393615
2024-03-11,3.4600,3.5200,3.4500,3.5000,747626
2024-03-08,3.4700,3.5200,3.4500,3.4600,972917
2024-03-07,3.2800,3.4500,3.2800,3.4400,1472814
2024-03-06,3.2600,3.3000,3.2300,3.2700,937652
2024-03-05,3.2800,3.2800,3.2200,3.2500,899473
2024-03-04,3.2500,3.3292,3.2400,3.2700,1210746
2024-03-01,3.2500,3.2675,3.2100,3.2200,890457
2024-02-29,3.3000,3.3200,3.2400,3.2800,1291878
2024-02-28,3.3300,3.3500,3.2300,3.2700,1502358
2024-02-27,3.3950,3.3950,3.3100,3.3600,1461564
2024-02-26,3.5000,3.5000,3.2450,3.2900,2169636
2024-02-23,3.5800,3.6000,3.5000,3.5200,1114646
2024-02-22,3.8100,3.8700,3.5300,3.5600,2537284
2024-02-21,3.8100,3.9300,3.8100,3.9300,1048487
2024-02-20,3.8300,3.8800,3.7950,3.8600,849876
2024-02-16,3.7600,3.8100,3.7450,3.8100,496340
2024-02-15,3.8300,3.8650,3.8000,3.8200,778606
2024-02-14,3.6900,3.8300,3.6900,3.8000,1174795
2024-02-13,3.7700,3.7800,3.6600,3.6900,908838
2024-02-12,3.6500,3.8800,3.6500,3.8600,1632945
2024-02-09,3.6600,3.7000,3.6100,3.6400,877548
2024-02-08,3.6300,3.6700,3.5925,3.6600,636315
2024-02-07,3.6200,3.6500,3.5725,3.6300,600296
2024-02-06,3.6300,3.6500,3.5350,3.5800,1232645
2024-02-05,3.7800,3.7800,3.6200,3.6400,870869
2024-02-02,3.7400,3.8180,3.6100,3.7800,911675
2024-02-01,3.7400,3.8400,3.7300,3.7300,2776277
2024-01-31,3.8100,3.8500,3.6900,3.6900,863184
2024-01-30,3.8400,3.8550,3.7400,3.8500,1223589
2024-01-29,3.8000,3.8500,3.7600,3.8500,893874
2024-01-26,3.7700,3.8400,3.7650,3.7900,638585
2024-01-25,3.7200,3.7800,3.7100,3.7400,545553
2024-01-24,3.7900,3.8200,3.6800,3.6900,711746
2024-01-23,3.8400,3.8800,3.7400,3.7700,858608
2024-01-22,3.6600,3.8400,3.6300,3.8100,1343391
2024-01-19,3.6000,3.6600,3.5500,3.6600,715190
2024-01-18,3.6400,3.6700,3.5800,3.5900,644584
2024-01-17,3.6000,3.6600,3.5800,3.6400,1009474
2024-01-16,3.7100,3.7200,3.6100,3.6600,806335
2024-01-12,3.5800,3.6500,3.5700,3.6400,747378
2024-01-11,3.5900,3.6000,3.5400,3.5900,891575
2024-01-10,3.6100,3.6100,3.5500,3.5800,456081
2024-01-09,3.5700,3.6100,3.5250,3.5900,817338
2024-01-08,3.6200,3.6500,3.5345,3.5900,1178716
2024-01-05,3.7200,3.8300,3.6802,3.7800,1778325
2024-01-04,3.7200,3.7650,3.6100,3.7100,1027945
2024-01-03,3.8000,3.8000,3.6900,3.7200,873069
2024-01-02,3.8100,3.8700,3.8050,3.8300,856948
2023-12-29,3.9000,3.9000,3.8150,3.8400,894333
2023-12-28,3.9500,3.9600,3.8400,3.9000,1065962
2023-12-27,3.9800,3.9900,3.9300,3.9500,1013841
2023-12-26,3.9100,3.9700,3.8850,3.9600,1056935
2023-12-22,3.9000,3.9900,3.8800,3.9000,957182
2023-12-21,3.9000,3.9500,3.8350,3.8900,871517
2023-12-20,3.9000,3.9400,3.8500,3.8500,1005755
2023-12-19,3.8800,3.9300,3.8750,3.9000,1169292
2023-12-18,3.9500,3.9800,3.8450,3.8700,1322818
2023-12-15,4.0100,4.0400,3.9200,3.9500,1304640
2023-12-14,4.0100,4.1400,3.9900,4.0000,1481605
2023-12-13,3.8000,3.9900,3.7750,3.9900,2021523
2023-12-12,3.8900,3.8900,3.7500,3.8100,2036748
2023-12-11,3.9500,3.9700,3.8200,3.8900,2540263
2023-12-08,3.9000,3.9799,3.8600,3.9200,4649727
2023-12-07,3.8800,3.9650,3.8000,3.9300,2701537
2023-12-06,3.8100,3.9550,3.8000,3.9000,2349296
2023-12-05,3.9400,3.9700,3.8000,3.8200,2549596
2023-12-04,4.0700,4.1200,3.9950,4.0900,2083712
2023-12-01,4.0400,4.1000,4.0000,4.0800,1219298
2023-11-30,4.0300,4.0500,3.9700,4.0200,1800454
2023-11-29,3.8600,4.0300,3.8600,4.0200,1596173
2023-11-28,3.8700,3.9400,3.8200,3.8400,970717
2023-11-27,3.8000,3.8600,3.7800,3.8600,1055812
2023-11-24,3.7600,3.8400,3.7600,3.8200,380190
2023-11-22,3.7500,3.8150,3.7400,3.7400,1189177
2023-11-21,3.8100,3.9000,3.7600,3.7800,1498326
2023-11-20,3.7900,3.8100,3.7000,3.8000,1603651
2023-11-17,3.5900,3.8000,3.5900,3.7800,1746340
2023-11-16,3.6100,3.6500,3.5450,3.5900,1180942
2023-11-15,3.6100,3.6600,3.5900,3.6400,1100461
2023-11-14,3.5700,3.6200,3.5400,3.5800,1456888
2023-11-13,3.4800,3.5500,3.4800,3.5000,1194545
2023-11-10,3.5200,3.5600,3.4325,3.5100,1212753
2023-11-09,3.6000,3.6500,3.5225,3.5400,1540123
2023-11-08,3.5600,3.6100,3.5300,3.5400,1065274
2023-11-07,3.5700,3.6300,3.5400,3.5700,1331514
2023-11-06,3.6600,3.6793,3.5600,3.6000,1674322
2023-11-03,3.5000,3.7900,3.4800,3.6300,6681419
2023-11-02,3.4200,3.5050,3.3900,3.4600,2429545
2023-11-01,3.4000,3.4800,3.2800,3.3800,2425665
2023-10-31,3.4400,3.5300,3.3300,3.3700,2151839
2023-10-30,3.2600,3.4900,3.2600,3.4500,12347892
2023-10-27,3.1800,3.3300,3.1400,3.2500,3346945
2023-10-26,2.9200,3.1850,2.8000,3.1400,4376160
2023-10-25,2.6500,2.8250,2.6425,2.8000,2308934
2023-10-24,2.5900,2.6600,2.5800,2.6400,3246047
2023-10-23,2.6500,2.6500,2.5700,2.5700,2020806
2023-10-20,2.7100,2.7100,2.6200,2.6200,1409771
2023-10-19,2.7500,2.8100,2.7100,2.7200,855325
2023-10-18,2.8100,2.8250,2.7700,2.7700,579394
2023-10-17,2.7900,2.9100,2.7800,2.8400,659603
2023-10-16,2.7000,2.8300,2.6700,2.8000,1033925
2023-10-13,2.7200,2.7399,2.6700,2.6800,651573
2023-10-12,2.7500,2.7700,2.6900,2.7200,1016199
2023-10-11,2.8500,2.8950,2.7000,2.7400,1408866
2023-10-10,2.8500,2.8995,2.8100,2.8200,902015
2023-10-09,2.8400,2.8700,2.7700,2.8200,806649
2023-10-06,2.9000,2.9100,2.7700,2.8800,1007813
2023-10-05,2.9300,2.9500,2.8450,2.8700,1058487
2023-10-04,3.0000,3.0185,2.9000,2.9500,582846
2023-10-03,3.0900,3.1100,2.9700,2.9900,1178417
2023-10-02,3.1300,3.2100,3.0900,3.1100,895198
2023-09-29,3.1700,3.2150,3.1300,3.1300,742305
2023-09-28,3.1700,3.2000,3.1050,3.1200,561842
2023-09-27,3.1100,3.1900,3.0650,3.1700,710697
2023-09-26,3.1400,3.2100,3.0950,3.1000,500222
2023-09-25,3.0900,3.1800,3.0800,3.1600,552799
2023-09-22,3.1400,3.1500,3.0900,3.1200,863704
2023-09-21,3.1100,3.1600,3.0500,3.1300,1069498
2023-09-20,3.2100,3.2550,3.1400,3.1500,754719
2023-09-19,3.3000,3.3450,3.1750,3.1800,710488
2023-09-18,3.3000,3.3300,3.2400,3.3200,1077335
2023-09-15,3.3600,3.3901,3.2800,3.2800,1314292
2023-09-14,3.3500,3.4100,3.3400,3.3600,970217
2023-09-13,3.3500,3.4200,3.3300,3.3300,1104341
2023-09-12,3.4200,3.5450,3.4000,3.5400,1945781
2023-09-11,3.4100,3.4700,3.3920,3.4600,680602
2023-09-08,3.4000,3.4339,3.3800,3.3900,458536
2023-09-07,3.4600,3.4800,3.3800,3.3800,1789750
2023-09-06,3.4800,3.4900,3.4100,3.4400,583090
