,1. open,2. high,3. low,4. close,5. volume
2025-02-27,1.8200,1.9300,1.8100,1.8700,608535
2025-02-26,1.8900,1.9612,1.8100,1.8200,1769849
2025-02-25,1.8400,1.9700,1.7500,1.9100,1887541
2025-02-24,1.9400,2.1200,1.8250,1.8500,2559178
2025-02-21,1.8800,1.8989,1.7700,1.8200,1363229
2025-02-20,1.9200,1.9391,1.8700,1.8800,348705
2025-02-19,2.0400,2.0600,1.8550,1.9200,1309212
2025-02-18,2.0100,2.0900,2.0100,2.0300,572875
2025-02-14,1.9500,2.0000,1.8900,1.9700,647634
2025-02-13,1.8300,1.9400,1.8100,1.9200,1314526
2025-02-12,1.7500,1.8300,1.7350,1.8000,764555
2025-02-11,1.8500,1.8600,1.7607,1.7700,3467797
2025-02-10,1.9500,1.9723,1.8300,1.8600,2251904
2025-02-07,2.0000,2.0000,1.9048,1.9300,3010812
2025-02-06,2.1000,2.1700,2.0300,2.0400,1941951
2025-02-05,2.1600,2.1650,2.0500,2.0700,1728514
2025-02-04,2.3100,2.3250,2.2300,2.2400,791276
2025-02-03,2.3500,2.3850,2.2500,2.3100,841252
2025-01-31,2.3900,2.4700,2.3500,2.4600,1452823
2025-01-30,2.4000,2.4400,2.3500,2.4300,1047010
2025-01-29,2.3200,2.5000,2.2800,2.3600,1795747
2025-01-28,2.4100,2.4100,2.2400,2.2700,1053135
2025-01-27,2.3200,2.4599,2.2750,2.3900,2279160
2025-01-24,2.3600,2.4100,2.3000,2.3000,575606
2025-01-23,2.4300,2.4580,2.3400,2.3500,594908
2025-01-22,2.2600,2.4800,2.2550,2.4600,2548348
2025-01-21,2.2100,2.2200,2.1400,2.1900,793878
2025-01-17,2.3800,2.3800,2.2200,2.3300,1765579
2025-01-16,2.3000,2.3800,2.2100,2.3500,2750050
2025-01-15,2.0900,2.1700,2.0600,2.1600,947391
2025-01-14,2.0500,2.0900,1.9738,2.0100,854004
2025-01-13,1.9700,2.0700,1.9511,2.0400,948674
2025-01-10,2.0100,2.0400,1.9700,1.9800,502469
2025-01-08,1.9700,2.0750,1.9300,2.0200,1530993
2025-01-07,2.0600,2.1500,1.9900,2.0000,1092861
2025-01-06,1.9500,2.0693,1.9000,2.0100,2308168
2025-01-03,1.7500,1.8289,1.7400,1.8100,560438
2025-01-02,1.6800,1.8000,1.6700,1.7600,1130325
2024-12-31,1.7100,1.7100,1.6400,1.6700,575529
2024-12-30,1.6300,1.7100,1.5700,1.6800,1819716
2024-12-27,1.5900,1.6600,1.5800,1.6300,827153
2024-12-26,1.6100,1.6400,1.5900,1.5900,965836
2024-12-24,1.6200,1.6900,1.6001,1.6500,325936
2024-12-23,1.6500,1.6600,1.6100,1.6200,1548376
2024-12-20,1.8000,1.8550,1.7400,1.7900,1351061
2024-12-19,1.7600,1.8350,1.7000,1.7700,1963710
2024-12-18,1.9000,1.9000,1.6600,1.6900,2241588
2024-12-17,1.9500,2.0598,1.9000,1.9900,1453391
2024-12-16,2.0500,2.0599,1.9500,1.9500,1469478
2024-12-13,2.1000,2.1050,2.0300,2.0400,1087796
2024-12-12,2.2100,2.2200,2.0700,2.0900,1916023
2024-12-11,2.2100,2.3000,2.1100,2.2700,2191747
2024-12-10,2.2400,2.2600,2.1850,2.2200,716783
2024-12-09,2.2200,2.2800,2.1800,2.2000,1977671
2024-12-06,2.3400,2.3450,2.1700,2.2100,2343826
2024-12-05,2.3700,2.4450,2.3400,2.3600,1052604
2024-12-04,2.3000,2.3250,2.2500,2.2900,1310151
2024-12-03,2.3000,2.3850,2.2800,2.3200,1162182
2024-12-02,2.4000,2.4100,2.2500,2.2800,2132229
2024-11-29,2.3800,2.4300,2.3300,2.3500,2090165
2024-11-27,2.7200,2.7600,2.5750,2.6100,1841856
2024-11-26,2.7900,2.8500,2.7200,2.7200,1308986
2024-11-25,2.6100,2.8200,2.6000,2.7700,3301416
2024-11-22,2.5100,2.5800,2.4870,2.5500,1097063
2024-11-21,2.5100,2.5700,2.5000,2.5200,1179603
2024-11-20,2.5000,2.6800,2.4750,2.5700,1005449
2024-11-19,2.5300,2.5700,2.4800,2.5000,1751475
2024-11-18,2.7300,2.7850,2.5200,2.5600,2542755
2024-11-15,2.8100,2.8400,2.6078,2.6700,1662187
2024-11-14,2.8200,2.8899,2.7400,2.7800,2672380
2024-11-13,2.6800,2.7300,2.6100,2.6900,1246722
2024-11-12,2.6600,2.7500,2.6200,2.7200,989121
2024-11-11,2.6100,2.6880,2.6000,2.6700,766747
2024-11-08,2.6900,2.7000,2.5700,2.6800,1122658
2024-11-07,2.8300,2.8800,2.6700,2.7400,830282
2024-11-06,2.6900,2.8500,2.6400,2.8500,1411204
2024-11-05,2.6200,2.8250,2.6177,2.7700,1250394
2024-11-04,2.7800,2.7907,2.6300,2.6500,754261
2024-11-01,2.8800,2.9100,2.6800,2.7000,1330796
2024-10-31,2.9800,2.9900,2.9000,2.9100,591370
2024-10-30,3.0100,3.1000,2.9650,2.9900,795447
2024-10-29,3.2300,3.2400,2.9800,2.9900,2964289
2024-10-28,3.0600,3.3100,3.0500,3.2100,2821659
2024-10-25,2.8700,2.9100,2.8000,2.8000,1327373
2024-10-24,2.8500,3.0000,2.8400,2.8900,1204675
2024-10-23,3.0000,3.0050,2.8650,2.9100,1078553
2024-10-22,3.1300,3.1474,2.9800,3.0200,2556857
2024-10-21,3.1300,3.1800,3.0700,3.1300,1828569
2024-10-18,3.2500,3.2600,3.0801,3.1300,786407
2024-10-17,3.2300,3.2800,3.1800,3.2500,699547
2024-10-16,3.1100,3.2900,3.1100,3.2700,791623
2024-10-15,3.2800,3.2800,3.1000,3.1500,766292
2024-10-14,3.1500,3.2900,3.1250,3.2800,1022059
2024-10-11,3.0100,3.2400,2.9700,3.2400,1623188
2024-10-10,3.3100,3.3150,3.0300,3.0800,2988716
2024-10-09,3.4200,3.4200,3.2600,3.2900,1070770
2024-10-08,3.6400,3.8500,3.3700,3.3900,3930310
2024-10-07,3.2600,3.3450,3.1400,3.1900,1454159
2024-10-04,3.2800,3.3289,3.2300,3.2900,2130184
2024-10-03,3.3500,3.4200,3.2400,3.2900,1144263
2024-10-02,3.3700,3.4700,3.3300,3.4500,1405725
2024-10-01,3.4000,3.5000,3.2300,3.3200,2099654
2024-09-30,3.3400,3.4750,3.2800,3.4400,2679040
2024-09-27,3.0600,3.2800,3.0000,3.2400,1909730
2024-09-26,3.0300,3.2200,3.0200,3.0500,2906943
2024-09-25,2.7900,2.8400,2.6804,2.7600,2119235
2024-09-24,3.0000,3.0200,2.8100,2.8100,2002093
2024-09-23,2.6600,2.9700,2.6500,2.8900,2550363
2024-09-20,3.1500,3.1500,2.8800,2.9000,2290381
2024-09-19,3.2300,3.3250,3.0700,3.1800,3689606
2024-09-18,3.7500,3.7500,3.1400,3.2000,5967987
2024-09-17,2.9600,3.5300,2.9600,3.5300,5204798
2024-09-16,3.0400,3.0700,2.7701,3.0600,5932513
2024-09-13,2.2000,2.7800,2.1800,2.7700,10770363
2024-09-12,2.1600,2.1700,2.0900,2.0900,3220941
2024-09-11,2.1800,2.1900,2.0900,2.1200,3589562
2024-09-10,2.2100,2.2500,2.0150,2.1600,5820711
2024-09-09,2.3200,2.3300,2.0800,2.0900,7025480
2024-09-06,2.6200,2.6200,2.3000,2.3200,4444588
2024-09-05,2.5600,2.5650,2.4700,2.5000,2463108
2024-09-04,2.4800,2.7000,2.4300,2.5600,3769987
2024-09-03,2.3000,2.5850,2.2500,2.5400,7521116
2024-08-30,2.9800,2.9900,2.7800,2.8100,5382457
