,1. open,2. high,3. low,4. close,5. volume
2025-02-27,27.2100,27.7600,26.3900,26.8300,93640
2025-02-26,26.6900,27.5500,26.5450,27.4600,121906
2025-02-25,26.9700,27.3050,25.9600,26.7600,109237
2025-02-24,27.9500,27.9600,26.8500,26.9700,153045
2025-02-21,28.7900,29.1786,27.8000,27.9700,150729
2025-02-20,29.8500,30.3300,28.3150,28.6300,152505
2025-02-19,29.5500,29.5500,28.7500,29.3600,96902
2025-02-18,31.2200,31.3300,28.9100,29.5500,222776
2025-02-14,33.4100,33.4100,31.5500,31.8900,123154
2025-02-13,33.8000,34.2299,32.2200,33.2100,130940
2025-02-12,31.6300,34.0300,29.6800,33.2800,204857
2025-02-11,28.2800,29.6600,28.0000,29.2000,186945
2025-02-10,32.2800,32.6700,29.5500,29.9600,256966
2025-02-07,34.5400,34.5400,32.3300,33.0500,125152
2025-02-06,35.3000,35.3000,34.0000,34.3000,53363
2025-02-05,35.2200,35.4050,34.2600,35.0800,72820
2025-02-04,34.0200,35.2500,33.5163,35.2000,85572
2025-02-03,33.5000,33.9600,30.5100,33.8800,121843
2025-01-31,35.2700,35.5400,34.3400,34.4000,66163
2025-01-30,35.4500,35.5600,34.7663,35.1400,57464
2025-01-29,35.1100,35.4999,34.6400,35.4300,67157
2025-01-28,33.2100,35.2600,32.9447,35.0700,109457
2025-01-27,33.6500,33.6500,32.6500,33.1400,70738
2025-01-24,33.3200,33.9900,32.7500,33.4900,76727
2025-01-23,33.5400,33.6400,32.4700,33.3000,58343
2025-01-22,34.1800,34.4000,33.1200,33.5100,64515
2025-01-21,34.3400,35.0700,33.8862,33.9000,131535
2025-01-17,34.2500,34.2500,33.1701,34.0000,79128
2025-01-16,34.2500,34.2500,32.9900,33.8700,100227
2025-01-15,31.5000,34.0400,31.2360,33.7200,193468
2025-01-14,30.5300,31.6200,30.4500,31.0500,84689
2025-01-13,30.0000,30.6950,29.4391,30.4700,49389
2025-01-10,30.8400,31.1400,29.3900,29.7700,74177
2025-01-08,30.7400,31.7000,30.3800,31.1200,108259
2025-01-07,31.5000,31.7500,29.7100,30.3000,115098
2025-01-06,30.7500,31.8800,30.4000,31.2300,106691
2025-01-03,30.1500,30.8899,29.7100,30.6900,75922
2025-01-02,29.8100,30.3100,29.2100,30.1000,70217
2024-12-31,30.3800,30.5299,29.3250,29.5500,46106
2024-12-30,29.0100,30.5799,28.1000,30.1600,163097
2024-12-27,29.8300,29.9900,28.7980,29.2400,56087
2024-12-26,29.3500,30.0000,29.0800,29.8000,60948
2024-12-24,29.0000,29.9200,28.6500,29.5800,69225
2024-12-23,27.5000,29.3400,26.5511,28.6500,198217
2024-12-20,27.2300,28.1100,27.2200,27.7300,65612
2024-12-19,27.3200,28.9700,27.1200,27.4800,82897
2024-12-18,28.1700,28.9800,26.9100,27.0000,54691
2024-12-17,28.3800,28.3900,27.7598,28.1200,55839
2024-12-16,28.3900,28.9416,27.7234,28.4200,71767
2024-12-13,28.4500,28.7500,27.6900,28.1800,132934
2024-12-12,28.7200,29.0517,28.3300,28.6000,45576
2024-12-11,29.0400,29.2100,28.3890,28.8100,76019
2024-12-10,30.0100,30.0100,28.7900,29.0900,72292
2024-12-09,29.5000,30.2000,29.1404,29.8900,116915
2024-12-06,28.1600,28.9300,27.3299,28.7100,110807
2024-12-05,29.3600,29.6950,27.2800,28.0000,211876
2024-12-04,30.1600,30.2500,29.6050,29.8000,89003
