,1. open,2. high,3. low,4. close,5. volume
2025-02-27,5.6700,5.6900,5.6300,5.6400,12070372
2025-02-26,5.6800,5.7100,5.6300,5.6400,19976061
2025-02-25,5.7100,5.7700,5.6900,5.7100,28224254
2025-02-24,5.7300,5.7600,5.6200,5.6500,23252401
2025-02-21,5.7300,5.7500,5.6900,5.7300,24814915
2025-02-20,5.7600,5.7800,5.7300,5.7600,19305189
2025-02-19,5.7500,5.8000,5.7400,5.7600,23054438
2025-02-18,6.0300,6.1100,6.0300,6.0400,26496403
2025-02-14,5.9700,6.1150,5.9700,6.0900,23186722
2025-02-13,5.7800,5.8800,5.7800,5.8800,19108340
2025-02-12,5.9500,5.9600,5.8001,5.8600,34045297
2025-02-11,6.0200,6.0500,5.9600,6.0400,27180364
2025-02-10,5.9000,5.9600,5.8900,5.9300,25480460
2025-02-07,5.9200,5.9800,5.8050,5.8500,51899918
2025-02-06,5.8700,5.9600,5.8401,5.9600,26300307
2025-02-05,5.8100,5.9600,5.8050,5.9300,39208406
2025-02-04,5.7800,5.8800,5.7307,5.8500,32062369
2025-02-03,5.6700,5.8000,5.6500,5.7600,20291056
2025-01-31,5.8500,5.8650,5.7800,5.8000,23815511
2025-01-30,5.7000,5.8300,5.6800,5.8000,40949785
2025-01-29,5.6900,5.7100,5.6400,5.6600,18499781
2025-01-28,5.5900,5.7100,5.5900,5.6900,31150427
2025-01-27,5.5000,5.6500,5.4700,5.6200,35966507
2025-01-24,5.4800,5.5200,5.4400,5.4700,12822383
2025-01-23,5.4800,5.5300,5.4300,5.4600,29935580
2025-01-22,5.4800,5.5200,5.4600,5.4700,15482414
2025-01-21,5.4000,5.4400,5.3800,5.4100,16966571
2025-01-17,5.3300,5.4000,5.3100,5.3200,20805896
2025-01-16,5.3500,5.3700,5.2500,5.3100,16170907
2025-01-15,5.2500,5.3700,5.2200,5.3600,38800785
2025-01-14,5.0400,5.1200,5.0218,5.1000,18542622
2025-01-13,5.0300,5.1200,5.0250,5.0900,16414845
2025-01-10,5.0500,5.0799,5.0100,5.0400,32155641
2025-01-08,5.0700,5.1000,5.0300,5.1000,26766965
2025-01-07,5.1800,5.2600,5.1400,5.1700,23958376
