,1. open,2. high,3. low,4. close,5. volume
2025-02-27,1.2500,1.3000,1.1900,1.3000,13752
2025-02-26,1.4000,1.4000,1.2400,1.3400,25674
2025-02-25,1.2299,1.3600,1.2000,1.3200,102891
2025-02-24,1.1400,1.2390,1.1400,1.1700,7620
2025-02-21,1.1900,1.2330,1.1500,1.1500,13606
2025-02-20,1.1900,1.1900,1.1700,1.1777,7861
2025-02-19,1.1600,1.2150,1.1600,1.2150,1035
2025-02-18,1.1400,1.2318,1.1400,1.2200,5156
2025-02-14,1.1400,1.2199,1.1400,1.1945,4365
2025-02-13,1.1900,1.2100,1.1900,1.2100,995
2025-02-12,1.1900,1.1900,1.1899,1.1900,1693
2025-02-11,1.2000,1.2000,1.1800,1.1800,2574
2025-02-10,1.1300,1.2292,1.1300,1.1600,3921
2025-02-07,1.2000,1.2300,1.1500,1.1500,4692
2025-02-06,1.1600,1.2393,1.1600,1.2100,9928
2025-02-05,1.1883,1.1883,1.1460,1.1550,1961
2025-02-04,1.1745,1.2500,1.1400,1.1900,5527
2025-02-03,1.1600,1.2000,1.1600,1.2000,4610
2025-01-31,1.2413,1.2413,1.1307,1.1900,6081
2025-01-30,1.2100,1.2100,1.1800,1.1800,5729
2025-01-29,1.1600,1.2800,1.1600,1.2700,10721
2025-01-28,1.1800,1.1800,1.1800,1.1800,1323
2025-01-27,1.1600,1.1700,1.1458,1.1700,7568
2025-01-24,1.1800,1.1800,1.1800,1.1800,1042
2025-01-23,1.2000,1.2000,1.1600,1.1800,5576
2025-01-22,1.1700,1.2100,1.1600,1.2099,4029
2025-01-21,1.1300,1.2700,1.1300,1.2500,39323
2025-01-17,1.1600,1.2038,1.1600,1.1600,5314
2025-01-16,1.1400,1.1700,1.1400,1.1700,3848
2025-01-15,1.1900,1.1950,1.1400,1.1500,16482
2025-01-14,1.1900,1.2400,1.1800,1.1800,898
2025-01-13,1.2250,1.2318,1.1800,1.2318,2047
