,1. open,2. high,3. low,4. close,5. volume
2025-02-27,182.4400,182.5000,178.8500,178.9400,8412233
2025-02-26,181.9400,183.0615,180.8700,181.5400,897943
2025-02-25,181.6500,182.5000,180.5100,181.8300,1313351
2025-02-24,183.2500,183.6300,181.8900,182.0200,899039
2025-02-21,185.6100,185.6100,182.5600,182.6000,1060831
2025-02-20,185.9100,186.1400,184.8990,185.7000,913591
2025-02-19,185.2500,186.2100,185.0109,186.2100,890499
2025-02-18,185.5300,185.5900,184.6800,185.5750,1277034
2025-02-14,185.6900,185.8900,185.0707,185.1100,752058
2025-02-13,184.3100,185.8300,184.0500,185.8000,1739671
2025-02-12,182.5100,184.0100,182.3700,183.8500,963841
2025-02-11,183.5700,184.7000,183.5700,184.4200,681936
2025-02-10,183.9600,184.3300,183.6400,184.2450,1096924
2025-02-07,184.6900,184.9650,182.7800,182.9100,1001044
2025-02-06,184.2100,184.7400,183.4200,184.3600,1305343
2025-02-05,182.8200,184.1600,182.2600,184.1200,1862421
2025-02-04,182.1900,183.5200,182.0200,183.3200,807128
2025-02-03,180.6300,183.2700,180.2300,182.4600,1249921
2025-01-31,185.4700,185.8500,183.2300,183.3600,2191739
2025-01-30,183.7900,185.2700,183.7100,184.8600,1429639
2025-01-29,183.6600,183.7719,182.4400,183.1500,3288643
2025-01-28,182.6500,184.1800,181.9399,183.7100,905831
2025-01-27,180.5200,182.5900,180.4800,182.5500,677694
2025-01-24,184.7100,184.8400,183.8100,184.1000,775241
2025-01-23,183.2400,184.6600,183.1700,184.6100,1208924
2025-01-22,183.4200,184.2100,183.1500,183.7200,902156
2025-01-21,181.5200,182.2997,181.2100,182.1400,1063146
2025-01-17,181.1400,181.3500,180.4300,180.6900,1840488
2025-01-16,179.9000,180.4100,179.2600,179.4700,869906
2025-01-15,178.8600,179.9075,178.7050,179.4450,1138177
2025-01-14,177.3300,177.3400,175.2500,176.6400,1012081
2025-01-13,175.1900,176.7400,174.8496,176.6500,1901119
2025-01-10,177.8500,178.1050,176.0200,176.3500,1261973
2025-01-08,178.5400,179.2500,177.9300,178.9900,2389426
2025-01-07,180.7100,181.1000,178.0999,178.6400,893835
2025-01-06,180.2300,181.3350,179.5600,180.0000,1500945
2025-01-03,178.3000,179.6028,178.0100,179.3000,760734
2025-01-02,179.0000,179.7700,176.4700,177.6100,1252182
2024-12-31,179.1200,179.2482,177.6900,178.0800,2818779
2024-12-30,178.6150,179.6200,177.4724,178.5800,681161
2024-12-27,181.3300,181.3400,179.3300,180.5200,700753
2024-12-26,181.5800,182.5000,181.3922,182.2500,557561
2024-12-24,181.0000,182.1900,180.7000,182.1400,442276
2024-12-23,179.6800,180.8800,178.6199,180.7900,1037119
2024-12-20,177.2900,181.1299,177.0200,179.4300,1271403
2024-12-19,179.4000,179.7200,177.7000,177.7100,1380366
2024-12-18,182.9200,183.5900,177.8000,177.9200,1295119
2024-12-17,182.7100,183.1800,182.3101,182.6900,798171
2024-12-16,184.3300,184.8299,183.8400,183.9100,1977031
2024-12-13,184.7300,185.0600,183.5914,183.9600,955346
2024-12-12,185.5300,185.5600,184.7250,184.7400,629787
2024-12-11,185.8200,186.6600,185.6950,186.1200,704069
2024-12-10,185.8100,185.9464,184.9200,185.1500,1005810
2024-12-09,186.5200,186.5200,185.4100,185.5700,1079548
2024-12-06,186.6000,187.2600,186.4600,186.4600,752740
2024-12-05,187.0200,187.0200,185.9100,186.0600,1031460
2024-12-04,186.5600,187.0200,186.2400,186.8500,860990
2024-12-03,185.8100,186.1800,185.3415,186.0200,675883
2024-12-02,185.3200,186.0050,185.1028,185.9800,961004
2024-11-29,184.8100,185.6600,184.5100,185.2900,553430
2024-11-27,184.5600,184.7400,183.8400,184.2500,630149
2024-11-26,184.1800,184.7500,183.8200,184.5500,865035
2024-11-25,183.6800,184.3200,182.7300,183.7500,2910569
2024-11-22,182.0400,183.0900,182.0400,182.7500,742227
2024-11-21,181.5200,182.4800,180.1350,182.0800,934241
2024-11-20,180.7000,181.0299,179.1300,180.8900,1847226
2024-11-19,178.9000,180.6199,178.6500,180.4000,817984
2024-11-18,179.3800,180.4000,178.9700,179.9800,959344
2024-11-15,181.3000,181.3000,179.1800,179.5600,1164884
2024-11-14,183.7300,183.7300,182.3400,182.5500,1272496
2024-11-13,184.0700,184.3100,183.1500,183.6200,1084568
2024-11-12,184.3500,184.6700,183.3500,184.0700,903814
