,1. open,2. high,3. low,4. close,5. volume
2025-02-27,24.4000,24.4000,24.0075,24.0075,1072
2025-02-26,24.3151,24.3151,24.3151,24.3151,1109
2025-02-25,24.3700,24.3858,24.3700,24.3858,527
2025-02-24,24.6000,24.6000,24.6000,24.6000,140
2025-02-21,25.3100,25.3100,24.9600,24.9600,175
2025-02-20,25.1800,25.5535,25.1800,25.5535,212
2025-02-19,25.6500,25.6500,25.5846,25.5846,238
2025-02-18,25.3500,25.6230,25.3500,25.6230,542
2025-02-14,25.3183,25.3183,25.3183,25.3183,230
2025-02-13,24.7900,25.1270,24.7900,25.1270,597
2025-02-12,24.6300,24.6400,24.6300,24.6400,712
2025-02-11,24.9800,24.9800,24.7788,24.7788,111
2025-02-10,25.1100,25.1200,25.1000,25.1036,5005
2025-02-07,25.0491,25.0491,25.0491,25.0491,139
2025-02-06,25.4400,25.4400,25.3385,25.3385,278
2025-02-05,25.4120,25.4120,25.4120,25.4120,79
2025-02-04,25.4200,25.4200,25.3978,25.3978,276
2025-02-03,25.3100,25.3100,25.2900,25.2900,586
2025-01-31,25.6500,25.6500,25.2972,25.2972,377
2025-01-30,25.3100,25.4567,25.3100,25.4567,329
2025-01-29,25.1500,25.1500,24.9273,24.9273,237
2025-01-28,24.9919,24.9919,24.9919,24.9919,4
2025-01-27,25.3100,25.3100,25.1800,25.1800,237
2025-01-24,25.8300,25.9100,25.8194,25.8194,877
2025-01-23,25.3000,25.7284,25.3000,25.7284,373
2025-01-22,25.8000,25.8000,25.4730,25.4730,188
2025-01-21,26.1600,26.2200,26.1600,26.2200,278
2025-01-17,26.5000,26.5000,26.2700,26.2700,334
2025-01-16,26.2445,26.2445,26.2445,26.2445,41
2025-01-15,26.0000,26.0400,25.8943,25.8943,283
2025-01-14,25.3500,25.4900,25.3500,25.4879,203
2025-01-13,25.3505,25.3505,25.3505,25.3505,60
2025-01-10,25.2600,25.3974,25.2600,25.3974,1411
2025-01-08,25.6800,25.7159,25.6800,25.7159,162
2025-01-07,26.3600,26.3600,26.1084,26.1084,198
2025-01-06,26.5400,26.5400,26.2194,26.2194,594
2025-01-03,26.0000,26.1649,26.0000,26.1649,1522
2025-01-02,25.3800,25.3900,25.3800,25.3900,109
2024-12-31,25.3900,25.3900,25.1128,25.1128,318
2024-12-30,25.1900,25.3100,25.1900,25.3100,236
2024-12-27,25.3940,25.5500,25.3940,25.5500,202
2024-12-26,25.7900,25.8924,25.7900,25.8924,110
2024-12-24,25.8916,25.8916,25.8916,25.8916,97
2024-12-23,25.5600,25.5600,25.5600,25.5600,96
2024-12-20,25.1900,25.5600,25.1900,25.5600,516
2024-12-19,25.4700,25.4700,25.1525,25.1525,256
2024-12-18,26.3400,26.3400,25.3047,25.3047,159
2024-12-17,26.4900,26.4900,26.4900,26.4900,6
2024-12-16,26.6271,26.6271,26.6271,26.6271,8
2024-12-13,26.4202,26.4202,26.4202,26.4202,1
2024-12-12,26.4000,26.4000,26.3546,26.3546,759
2024-12-11,26.3000,26.4700,26.3000,26.4700,215
2024-12-10,26.1480,26.1480,26.1480,26.1480,17
2024-12-09,26.4046,26.4046,26.4046,26.4046,66
2024-12-06,26.2342,26.2342,26.2342,26.2342,2
2024-12-05,25.9945,25.9945,25.9945,25.9945,25
2024-12-04,26.0200,26.0200,26.0200,26.0200,48
2024-12-03,26.0465,26.0465,26.0465,26.0465,66
2024-12-02,26.3598,26.3598,26.3598,26.3598,59
2024-11-29,26.3710,26.3710,26.3710,26.3710,3
2024-11-27,26.1704,26.1704,26.1704,26.1704,3
2024-11-26,25.9900,25.9900,25.9900,25.9900,103
2024-11-25,26.0944,26.0944,26.0944,26.0944,163
2024-11-22,25.6600,25.6600,25.6500,25.6500,297
2024-11-21,25.2914,25.2914,25.2914,25.2914,110
2024-11-20,25.0783,25.0783,25.0783,25.0783,34
2024-11-19,25.0389,25.0389,25.0389,25.0389,36
2024-11-18,24.9591,24.9591,24.9591,24.9591,23
2024-11-15,24.6347,24.6347,24.6347,24.6347,156
2024-11-14,24.6300,24.6300,24.6300,24.6300,40
2024-11-13,25.3150,25.3150,25.0584,25.0584,163
2024-11-12,24.9000,24.9000,24.9000,24.9000,30
2024-11-11,25.4622,25.4622,25.4622,25.4622,14
2024-11-08,24.8700,24.9689,24.8700,24.9689,207
2024-11-07,24.7300,24.7300,24.6883,24.6883,394
2024-11-06,24.4200,24.4200,24.4200,24.4200,461
2024-11-05,24.5000,24.6784,24.5000,24.6784,537
2024-11-04,24.1505,24.1505,24.1505,24.1505,11
