,1. open,2. high,3. low,4. close,5. volume
2025-02-27,20.7000,21.0800,19.6801,20.9900,23564
2025-02-26,20.6700,21.1900,20.2350,21.0000,35069
2025-02-25,21.1400,21.2400,20.0950,20.8200,16543
2025-02-24,22.3400,22.3700,21.0200,21.1000,21208
2025-02-21,22.6100,22.6100,21.8100,22.0800,14955
2025-02-20,22.8700,23.0050,22.3400,22.6700,12904
2025-02-19,23.0700,23.2750,22.7600,23.1800,11712
2025-02-18,23.4400,23.4750,23.2242,23.3500,7358
2025-02-14,23.6900,23.6900,23.2900,23.4200,7569
2025-02-13,23.9000,24.2150,23.3300,23.7700,32576
2025-02-12,23.8800,23.9800,23.0000,23.9000,23809
2025-02-11,23.6000,24.2600,23.5300,23.9300,11518
2025-02-10,23.8500,24.2300,22.8500,24.0000,8721
2025-02-07,23.5100,24.4816,23.5100,24.1400,40908
2025-02-06,23.2100,24.0000,21.3001,24.0000,18674
2025-02-05,22.9900,23.6400,22.9600,23.4300,22266
2025-02-04,22.4700,22.9900,21.5750,22.9900,6759
2025-02-03,21.4900,22.3000,21.0000,22.1600,8802
2025-01-31,22.0100,22.7500,21.8200,22.3700,10590
2025-01-30,22.5000,22.5000,21.8501,22.2600,6161
2025-01-29,22.0400,22.3200,21.2800,22.2100,11129
2025-01-28,21.0000,21.9500,18.9001,21.9500,10597
2025-01-27,21.4800,21.6950,20.8800,21.2700,7317
2025-01-24,20.7500,22.2500,20.7500,21.2150,24230
2025-01-23,20.0000,20.7500,20.0000,20.7500,15066
2025-01-22,20.0000,20.6500,20.0000,20.5200,13584
2025-01-21,20.4500,20.4700,20.1300,20.4000,3816
2025-01-17,20.0600,20.4100,20.0000,20.2900,18496
2025-01-16,20.1000,20.3650,20.0700,20.2500,11330
2025-01-15,20.0000,20.6400,19.5541,20.1800,16689
2025-01-14,19.5200,20.0700,19.5200,19.7900,19588
2025-01-13,19.8800,20.2300,19.5700,19.5700,7012
2025-01-10,20.3600,20.5400,20.0000,20.2600,8138
2025-01-08,20.5700,20.8300,19.7215,20.7600,42317
2025-01-07,21.0800,21.0800,20.7000,20.8800,23865
