,1. open,2. high,3. low,4. close,5. volume
2025-02-27,2.2500,2.2800,2.1750,2.2000,226267
2025-02-26,2.2200,2.3700,2.2200,2.2800,326602
2025-02-25,2.2600,2.2900,2.1800,2.2500,279956
2025-02-24,2.2600,2.3150,2.2300,2.2300,296830
2025-02-21,2.2900,2.3600,2.2250,2.2600,310904
2025-02-20,2.3400,2.3800,2.2400,2.2900,551659
2025-02-19,2.2600,2.3600,2.2600,2.3400,227053
2025-02-18,2.3000,2.3900,2.2900,2.3000,153319
2025-02-14,2.3100,2.3650,2.2700,2.3100,269366
2025-02-13,2.2500,2.3300,2.2100,2.3100,207897
2025-02-12,2.2100,2.3280,2.1918,2.2500,363340
2025-02-11,2.2900,2.3099,2.2200,2.2600,246642
2025-02-10,2.2600,2.3000,2.2200,2.3000,241094
2025-02-07,2.3000,2.3600,2.2450,2.2600,175272
2025-02-06,2.2900,2.3300,2.2600,2.3300,128141
2025-02-05,2.2800,2.3450,2.2200,2.2800,73514
2025-02-04,2.2300,2.2900,2.2100,2.2800,173061
2025-02-03,2.3100,2.3300,2.2600,2.2600,263964
2025-01-31,2.3300,2.3900,2.3300,2.3900,160161
2025-01-30,2.3100,2.3800,2.3050,2.3600,87249
2025-01-29,2.3500,2.3900,2.2900,2.3300,201932
2025-01-28,2.3900,2.4000,2.3500,2.3800,67312
2025-01-27,2.3500,2.4189,2.3200,2.3900,97785
2025-01-24,2.4000,2.4380,2.3300,2.3900,231031
2025-01-23,2.3400,2.4200,2.3200,2.4100,122937
2025-01-22,2.3400,2.4000,2.3400,2.3700,81581
2025-01-21,2.3300,2.4150,2.3250,2.3600,171549
2025-01-17,2.3300,2.3404,2.2600,2.2900,118351
2025-01-16,2.3300,2.3400,2.2700,2.3100,86663
2025-01-15,2.3100,2.3700,2.2900,2.3200,90610
2025-01-14,2.3400,2.3500,2.2300,2.2900,188226
2025-01-13,2.3800,2.4100,2.3100,2.3200,159674
2025-01-10,2.3800,2.4000,2.3050,2.4000,158204
2025-01-08,2.4300,2.4500,2.3340,2.4100,217395
2025-01-07,2.4400,2.4900,2.3900,2.4500,160683
2025-01-06,2.4500,2.4900,2.3800,2.4100,309815
2025-01-03,2.3400,2.4950,2.2950,2.4700,200629
2025-01-02,2.3300,2.4300,2.3000,2.3300,139864
2024-12-31,2.2700,2.3250,2.2350,2.3100,374415
2024-12-30,2.2200,2.3100,2.1450,2.2700,386067
2024-12-27,2.1500,2.2863,2.1500,2.2600,239857
2024-12-26,2.2000,2.2400,2.1700,2.1900,258353
2024-12-24,2.2200,2.2800,2.2100,2.2100,142824
2024-12-23,2.3000,2.3300,2.2500,2.2500,147031
2024-12-20,2.3100,2.3650,2.2800,2.3100,218671
2024-12-19,2.2600,2.3300,2.2025,2.3200,172528
2024-12-18,2.3600,2.3750,2.2350,2.2700,233897
2024-12-17,2.4800,2.5100,2.3100,2.3600,316189
2024-12-16,2.4500,2.5200,2.4248,2.4800,125625
2024-12-13,2.4600,2.4800,2.4045,2.4700,127720
2024-12-12,2.5100,2.5100,2.4125,2.4600,178327
2024-12-11,2.5500,2.5900,2.4500,2.5200,328069
2024-12-10,2.4800,2.5750,2.4300,2.5500,232234
2024-12-09,2.4500,2.5150,2.4100,2.4700,239495
2024-12-06,2.4700,2.5000,2.4100,2.4800,160144
2024-12-05,2.4900,2.5000,2.3700,2.4500,165007
2024-12-04,2.5400,2.5800,2.4500,2.4700,200410
2024-12-03,2.5200,2.5400,2.4700,2.5300,100427
