,1. open,2. high,3. low,4. close,5. volume
2025-02-27,2.9100,2.9700,2.8600,2.9200,55120
2025-02-26,2.9100,2.9400,2.8700,2.9000,11733
2025-02-25,2.8000,2.9600,2.8000,2.8600,116737
2025-02-24,2.8800,2.9800,2.8200,2.8700,42026
2025-02-21,2.8500,2.9100,2.8000,2.8600,42049
2025-02-20,2.7719,3.0600,2.7000,2.9400,84743
2025-02-19,2.8200,2.9700,2.6039,2.7100,28557
2025-02-18,2.9400,2.9400,2.4450,2.7300,126953
2025-02-14,2.8300,3.0900,2.7800,2.9900,84776
2025-02-13,2.9800,2.9900,2.7000,2.7500,86612
2025-02-12,3.0100,3.0799,2.9700,3.0300,12938
2025-02-11,3.0000,3.1000,3.0000,3.0300,13224
2025-02-10,3.0000,3.0800,2.9500,3.0250,39954
2025-02-07,3.0800,3.0800,2.9100,2.9850,36300
2025-02-06,2.9900,3.0800,2.9556,3.0800,15897
2025-02-05,3.0957,3.1199,2.8900,2.9900,28378
2025-02-04,3.0500,3.1103,2.9800,3.0200,14687
2025-02-03,3.0000,3.0800,2.9000,3.0800,27425
2025-01-31,3.0900,3.1296,2.9986,3.0900,8366
2025-01-30,3.1016,3.1016,2.9600,3.0900,22404
2025-01-29,3.0900,3.1600,3.0650,3.1400,14845
2025-01-28,3.2300,3.2400,3.0000,3.0900,68511
2025-01-27,3.4000,3.4210,3.1583,3.1800,55233
2025-01-24,3.5593,3.6000,3.3601,3.4000,41962
2025-01-23,3.5804,3.6379,3.4500,3.5700,26000
2025-01-22,3.5700,3.6700,3.4818,3.5300,43668
2025-01-21,3.4900,3.6700,3.4300,3.5400,29939
2025-01-17,3.3701,3.4400,3.3200,3.4300,30764
2025-01-16,3.2600,3.3500,3.2200,3.3100,20300
2025-01-15,3.1400,3.3500,3.0609,3.3000,34153
2025-01-14,3.0400,3.1900,3.0000,3.1900,7415
2025-01-13,3.2900,3.2900,2.9900,3.1000,36110
2025-01-10,3.2400,3.2400,3.0600,3.2200,15475
2025-01-08,3.3400,3.3400,3.1100,3.1600,18078
2025-01-07,3.4900,3.5200,3.2000,3.3100,26284
2025-01-06,3.9100,3.9100,2.9800,3.3900,102567
2025-01-03,3.5900,3.9060,3.5819,3.9000,62756
2025-01-02,3.2000,3.6000,3.1750,3.5500,38928
2024-12-31,3.1352,3.2400,2.9800,3.1800,74320
2024-12-30,3.0900,3.2000,3.0000,3.1700,84012
2024-12-27,3.2400,3.3000,3.0800,3.1600,27845
2024-12-26,3.2500,3.2600,3.0000,3.2600,34372
2024-12-24,3.2400,3.3500,3.2200,3.2200,9277
2024-12-23,3.2100,3.3098,3.1400,3.3000,34285
2024-12-20,3.1900,3.3499,3.0800,3.2100,29541
2024-12-19,3.2100,3.3300,3.0800,3.1800,36044
2024-12-18,3.4300,3.4700,3.0800,3.1000,103483
2024-12-17,3.5100,3.5200,3.2200,3.4100,29130
2024-12-16,3.4500,3.5000,3.3450,3.4500,42183
2024-12-13,3.5600,3.7292,3.4200,3.4200,45780
2024-12-12,3.5985,3.6750,3.5805,3.6700,7950
2024-12-11,3.7200,3.7200,3.5700,3.6500,12855
2024-12-10,3.8200,3.8900,3.6300,3.7000,9041
2024-12-09,3.9400,3.9500,3.7300,3.8100,48865
2024-12-06,3.7300,3.8900,3.5200,3.8800,21936
2024-12-05,3.9300,3.9400,3.5500,3.6400,81180
2024-12-04,3.5600,3.9800,3.4800,3.9500,139045
2024-12-03,3.8100,3.8600,3.4400,3.5400,37807
2024-12-02,3.6600,3.8900,3.6200,3.8000,62579
2024-11-29,3.5200,3.8200,3.4450,3.7300,44129
2024-11-27,3.6200,3.6200,3.3500,3.4600,81614
2024-11-26,3.9100,4.0900,3.5700,3.6500,69373
2024-11-25,3.6700,4.0000,3.6546,3.8800,133133
2024-11-22,3.6900,3.8300,3.6700,3.7100,25975
2024-11-21,3.6900,3.9000,3.6000,3.6800,57451
