,1. open,2. high,3. low,4. close,5. volume
2025-02-27,7.0700,7.1600,6.5520,6.5850,227472
2025-02-26,6.8700,7.4300,6.8700,7.1000,340853
2025-02-25,7.0100,7.2900,6.6000,6.8800,399193
2025-02-24,7.4500,7.5400,6.9800,7.0600,637220
2025-02-21,7.9400,8.1400,7.4500,7.4500,303096
2025-02-20,8.0900,8.4500,7.9000,7.9900,550485
2025-02-19,8.0300,8.1945,7.7593,7.8800,459046
2025-02-18,8.4800,8.6528,8.0900,8.1200,154097
2025-02-14,8.1000,8.7999,8.0900,8.2800,152354
2025-02-13,8.4100,8.5900,8.0650,8.2000,281525
2025-02-12,8.4900,8.4900,8.0100,8.0500,505130
2025-02-11,9.0000,9.1030,8.5250,8.6000,176399
2025-02-10,9.5800,9.6900,9.0500,9.1700,251430
2025-02-07,9.1500,9.5600,8.8200,9.0100,132139
2025-02-06,9.7900,9.9800,9.1900,9.2200,161053
2025-02-05,9.4800,9.9999,9.4550,9.7600,188092
2025-02-04,9.3500,9.8200,9.2350,9.4600,230577
2025-02-03,8.3900,9.2900,8.3900,9.2000,142349
2025-01-31,9.5600,9.6799,8.8000,8.8400,201223
2025-01-30,9.3100,9.8600,9.0600,9.5000,122628
2025-01-29,9.5000,9.7900,9.1400,9.1700,132354
2025-01-28,9.5900,10.0036,9.2700,9.5400,335544
2025-01-27,8.0400,10.3700,7.9400,9.1800,575482
2025-01-24,8.9000,8.9000,7.7400,8.0400,279964
2025-01-23,8.3300,8.7600,8.1500,8.7600,206313
2025-01-22,8.3500,8.5000,8.0200,8.3500,214674
2025-01-21,7.9900,8.3100,7.8900,8.1500,96654
2025-01-17,7.5800,8.1000,7.5800,8.0700,130501
2025-01-16,7.8700,7.8900,7.1500,7.5300,463538
2025-01-15,8.1500,8.5300,7.7700,7.9200,240777
2025-01-14,8.1000,8.4200,7.6600,7.9100,225737
2025-01-13,7.8800,8.2900,7.7950,8.0800,153044
2025-01-10,7.8000,8.4500,7.7400,8.0600,245152
2025-01-08,8.9000,8.9300,8.4000,8.4000,270354
2025-01-07,9.1500,9.4300,8.4800,9.0100,179216
2025-01-06,8.7100,9.3100,8.6250,9.0600,240210
2025-01-03,8.5000,8.9600,8.2750,8.7100,104460
2025-01-02,8.2400,8.7600,7.8875,8.3200,186023
2024-12-31,9.0000,9.0500,8.1700,8.3500,1487974
2024-12-30,8.5100,9.0500,8.4000,8.8500,271108
2024-12-27,8.8700,9.5669,8.3300,8.7300,266329
2024-12-26,8.4900,9.2200,8.3400,8.9700,327577
2024-12-24,7.9700,9.7200,7.7900,8.6000,635680
2024-12-23,7.7300,7.7300,7.4339,7.6800,106484
2024-12-20,7.2800,8.0800,7.2800,7.7300,322266
2024-12-19,7.9300,8.1800,7.0000,7.2400,451297
2024-12-18,8.6900,8.6900,7.9700,7.9700,184219
2024-12-17,8.7300,8.8350,8.4000,8.6100,114598
2024-12-16,8.2300,8.8900,8.1050,8.8100,173613
2024-12-13,7.8200,8.0500,7.5600,8.0300,140326
2024-12-12,7.6600,8.4800,7.6600,7.8800,106510
2024-12-11,7.9300,8.1800,7.7000,7.7600,129288
2024-12-10,8.4800,8.9086,7.8700,7.9900,190595
2024-12-09,8.3100,8.5899,7.8500,8.4400,224685
2024-12-06,7.9500,8.1150,7.5700,7.9900,129732
2024-12-05,7.9800,8.3400,7.5000,7.8900,294854
2024-12-04,8.2200,8.2200,7.6400,7.9700,143881
