,1. open,2. high,3. low,4. close,5. volume
2025-02-27,29.4120,29.4120,29.3100,29.3381,2707
2025-02-26,29.5500,29.5500,29.3800,29.4321,1269
2025-02-25,29.2250,29.3323,29.1033,29.3323,1421
2025-02-24,29.3100,29.3200,29.2070,29.2070,482
2025-02-21,29.2600,29.3023,29.2100,29.3023,1783
2025-02-20,29.8701,29.8701,29.7300,29.8616,2484
2025-02-19,30.0357,30.0357,30.0357,30.0357,194
2025-02-18,30.2800,30.2863,30.2750,30.2863,702
2025-02-14,30.3618,30.3900,30.3600,30.3608,1250
2025-02-13,30.0400,30.2316,30.0400,30.2316,638
2025-02-12,30.0500,30.0600,30.0211,30.0211,531
2025-02-11,30.2100,30.2150,30.2100,30.2150,908
2025-02-10,30.2000,30.3600,30.1500,30.2596,4018
2025-02-07,30.2300,30.3200,30.2300,30.2934,1888
2025-02-06,30.5800,30.6000,30.3600,30.4775,3594
2025-02-05,30.3200,30.4900,30.3200,30.4868,31840
2025-02-04,30.3100,30.3245,30.2599,30.2599,531
2025-02-03,29.9500,30.2650,29.9500,30.1785,1621
2025-01-31,30.6600,30.6600,30.4410,30.4410,338
2025-01-30,30.7500,30.8800,30.7370,30.7370,2634
2025-01-29,30.4500,30.5500,30.3900,30.4824,6977
2025-01-28,30.3850,30.3850,30.2600,30.3701,1266
2025-01-27,30.7100,30.7100,30.5145,30.5145,1873
2025-01-24,30.8100,30.9900,30.8100,30.9090,1076
2025-01-23,31.1000,31.1000,30.9750,30.9750,1780
2025-01-22,31.0600,31.1000,31.0100,31.0430,1113
2025-01-21,31.0374,31.1390,31.0374,31.1247,1489
2025-01-17,30.8700,30.9605,30.7100,30.8091,3061
2025-01-16,30.7600,30.8320,30.7600,30.8320,330
2025-01-15,30.7938,30.7938,30.7938,30.7938,144
2025-01-14,30.2800,30.4114,30.2800,30.4114,2036
2025-01-13,29.6438,29.8517,29.6438,29.8517,5184
