,1. open,2. high,3. low,4. close,5. volume
2025-02-27,6.0300,6.3600,5.8600,6.1300,217274
2025-02-26,6.0500,6.1550,5.8600,6.0500,191739
2025-02-25,6.1400,6.1700,5.9600,6.0200,178262
2025-02-24,6.4200,6.4900,6.1200,6.1200,176344
2025-02-21,6.3600,6.5900,6.0700,6.3500,231855
2025-02-20,6.3700,6.5150,6.0400,6.2500,230987
2025-02-19,6.4200,6.5200,6.3300,6.4300,119218
2025-02-18,6.4100,6.6450,6.4100,6.4500,140670
2025-02-14,6.7200,6.9200,6.3800,6.3900,268258
2025-02-13,6.5600,6.7000,6.4900,6.6900,150832
2025-02-12,6.5500,6.7400,6.4700,6.5600,145878
2025-02-11,6.5700,6.6550,6.5000,6.6400,154238
2025-02-10,6.4600,6.6650,6.3100,6.6500,163804
2025-02-07,6.5900,6.5900,6.3600,6.4600,117293
2025-02-06,6.4500,6.6500,6.3400,6.6100,156802
2025-02-05,6.8400,6.8400,6.3900,6.4200,167959
2025-02-04,6.7800,6.8750,6.7000,6.7600,168862
2025-02-03,6.9300,7.1293,6.6450,6.7900,183098
2025-01-31,7.1100,7.2588,6.9500,6.9600,270470
2025-01-30,6.9800,7.2400,6.9101,7.1400,223666
2025-01-29,6.9000,7.0400,6.7700,6.9100,245139
2025-01-28,6.9300,7.0950,6.8400,6.9000,190899
2025-01-27,6.9000,7.1899,6.9000,7.0200,301570
2025-01-24,6.6800,7.0400,6.5500,6.8700,305380
2025-01-23,6.3700,6.6900,6.3050,6.6650,263081
2025-01-22,6.4800,6.5300,6.3700,6.4100,141886
2025-01-21,6.3400,6.5700,6.3400,6.5200,280182
2025-01-17,6.3000,6.4200,6.1500,6.3200,168273
2025-01-16,6.0300,6.3000,5.8400,6.2600,279355
2025-01-15,6.4600,6.5300,5.9800,6.0000,344923
2025-01-14,6.2900,6.3500,6.1800,6.2800,203705
2025-01-13,6.1300,6.3700,6.0000,6.2400,283105
2025-01-10,6.2100,6.2650,6.0000,6.1200,253137
2025-01-08,6.2300,6.3100,6.0500,6.2600,205532
2025-01-07,6.1300,6.2700,5.9100,6.2500,442428
2025-01-06,6.6000,6.6584,6.0400,6.0600,322951
2025-01-03,6.3900,6.6600,6.3150,6.5900,272438
2025-01-02,6.4200,6.5400,6.2800,6.3500,259741
2024-12-31,6.2400,6.4300,6.1400,6.4200,394073
2024-12-30,6.5100,6.5600,6.2400,6.2500,317916
2024-12-27,6.7700,6.8000,6.5250,6.5800,253847
2024-12-26,6.5000,6.8400,6.4272,6.7850,341777
2024-12-24,6.2600,6.6400,6.2100,6.6200,172132
2024-12-23,6.3400,6.4100,6.1101,6.2500,441098
2024-12-20,6.3600,6.5700,6.1650,6.2800,910880
2024-12-19,6.5000,6.5300,6.1800,6.4000,501193
2024-12-18,7.0000,7.0050,6.4300,6.4400,320835
2024-12-17,7.0800,7.2400,6.9300,7.0000,198687
2024-12-16,6.9600,7.2300,6.8586,7.0900,244474
2024-12-13,7.0700,7.0700,6.6924,6.9700,294103
2024-12-12,7.1700,7.2600,6.9400,7.0000,230975
2024-12-11,7.2800,7.4100,7.0700,7.0800,230312
2024-12-10,7.3400,7.4300,7.0747,7.2200,213982
2024-12-09,7.5300,7.8300,7.3200,7.3700,457973
2024-12-06,7.4900,7.6400,6.8300,6.9200,460170
2024-12-05,7.7000,7.8550,7.4200,7.4500,313069
