Date,open,high,low,close,volume,symbol
2025-02-27,2.03,2.13,2.015,2.11,40318476,ABEV
2025-02-26,1.97,2.0,1.945,1.99,26710303,ABEV
2025-02-25,1.9,1.91,1.87,1.89,21291434,ABEV
2025-02-24,1.92,1.92,1.88,1.9,21040989,ABEV
2025-02-21,1.91,1.93,1.9,1.92,17750443,ABEV
2025-02-20,1.895,1.92,1.89,1.91,10212410,ABEV
2025-02-19,1.9,1.9,1.88,1.89,12928524,ABEV
2025-02-18,1.9,1.93,1.9,1.91,12337428,ABEV
2025-02-14,1.9,1.92,1.88,1.9,39017754,ABEV
2025-02-13,1.85,1.88,1.84,1.87,11286360,ABEV
2025-02-12,1.86,1.87,1.84,1.84,17520626,ABEV
2025-02-11,1.87,1.87,1.83,1.85,22468790,ABEV
2025-02-10,1.87,1.9,1.84,1.86,29579027,ABEV
2025-02-07,1.84,1.86,1.82,1.84,47944565,ABEV
2025-02-06,1.84,1.86,1.83,1.84,38289551,ABEV
2025-02-05,1.83,1.84,1.8,1.83,38532242,ABEV
2025-02-04,1.84,1.866,1.82,1.84,30439024,ABEV
2025-02-03,1.84,1.87,1.81,1.84,35069030,ABEV
2025-01-31,1.88,1.89,1.85,1.85,15387840,ABEV
2025-01-30,1.83,1.86,1.82,1.86,32251276,ABEV
2025-01-29,1.85,1.86,1.805,1.82,47626403,ABEV
2025-01-28,1.84,1.87,1.83,1.85,73765323,ABEV
2025-01-27,1.815,1.84,1.8,1.83,134955553,ABEV
2025-01-24,1.83,1.83,1.79,1.79,68887996,ABEV
2025-01-23,1.83,1.84,1.81,1.82,52143183,ABEV
2025-01-22,1.82,1.825,1.79,1.8,24832231,ABEV
2025-01-21,1.79,1.83,1.785,1.82,23017096,ABEV
2025-01-17,1.78,1.8,1.77,1.78,37337023,ABEV
2025-01-16,1.82,1.83,1.79,1.81,42444457,ABEV
2025-01-15,1.84,1.86,1.8,1.85,51485123,ABEV
2025-01-14,1.82,1.83,1.79,1.8,39167733,ABEV
2025-01-13,1.79,1.82,1.78,1.79,48819082,ABEV
2025-01-10,1.84,1.84,1.77,1.78,44186656,ABEV
2025-01-08,1.85,1.85,1.79,1.84,34736777,ABEV
2025-01-07,1.83,1.87,1.81,1.85,56421232,ABEV
2025-01-06,1.825,1.825,1.78,1.79,79501838,ABEV
2025-01-03,1.83,1.84,1.76,1.77,52310692,ABEV
2025-01-02,1.85,1.86,1.81,1.83,60767740,ABEV
2024-12-31,1.85,1.86,1.82,1.85,31068351,ABEV
2024-12-30,1.88,1.89,1.85,1.85,59595782,ABEV
2024-12-27,1.9,1.91,1.86,1.87,61269859,ABEV
2024-12-26,1.91,1.9102,1.88,1.89,37196399,ABEV
2024-12-24,1.92,1.92,1.89,1.9,10209136,ABEV
2024-12-23,1.97,1.98,1.88,1.9,69589774,ABEV
2024-12-20,2.05,2.07,2.03,2.06,27792202,ABEV
2024-12-19,2.09,2.09,2.02,2.03,31840256,ABEV
2024-12-18,2.08,2.09,2.01,2.02,30654521,ABEV
2024-12-17,2.09,2.14,2.07,2.12,35940760,ABEV
2024-12-16,2.15,2.16,2.07,2.08,23888671,ABEV
2024-12-13,2.18,2.19,2.14,2.14,23440280,ABEV
2024-12-12,2.21,2.22,2.17,2.18,42277279,ABEV
2024-12-11,2.3,2.3,2.22,2.27,39610386,ABEV
2024-12-10,2.34,2.34,2.31,2.32,14851655,ABEV
2024-12-09,2.29,2.33,2.29,2.3,22494184,ABEV
2024-12-06,2.35,2.365,2.27,2.29,39898195,ABEV
2024-12-05,2.33,2.39,2.32,2.34,30422347,ABEV
2024-12-04,2.305,2.33,2.25,2.26,47783248,ABEV
2024-12-03,2.22,2.31,2.21,2.31,34886922,ABEV
2024-12-02,2.13,2.2,2.1,2.19,56432151,ABEV
2024-11-29,2.07,2.14,2.05,2.12,29058230,ABEV
2024-11-27,2.19,2.2,2.13,2.15,36086075,ABEV
2024-11-26,2.17,2.21,2.17,2.19,13571511,ABEV
2024-11-25,2.2,2.21,2.17,2.17,14838415,ABEV
2024-11-22,2.17,2.2,2.16,2.19,12429315,ABEV
2024-11-21,2.14,2.17,2.14,2.15,22454797,ABEV
2024-11-20,2.18,2.185,2.16,2.17,3217976,ABEV
2024-11-19,2.18,2.21,2.17,2.18,20313801,ABEV
2024-11-18,2.21,2.23,2.16,2.18,24277666,ABEV
2024-11-15,2.21,2.22,2.19,2.21,6376062,ABEV
2024-11-14,2.23,2.24,2.2,2.21,25345666,ABEV
2024-11-13,2.19,2.22,2.18,2.22,25057320,ABEV
2024-11-12,2.16,2.22,2.15,2.22,30148868,ABEV
2024-11-11,2.14,2.21,2.14,2.2,23894577,ABEV
2024-11-08,2.17,2.2,2.15,2.17,31442549,ABEV
2024-11-07,2.24,2.25,2.21,2.23,26292590,ABEV
2024-11-06,2.18,2.22,2.14,2.21,26797225,ABEV
2024-11-05,2.21,2.22,2.18,2.22,14676187,ABEV
2024-11-04,2.18,2.22,2.17,2.21,20246093,ABEV
2024-11-01,2.18,2.19,2.14,2.15,19147092,ABEV
2024-10-31,2.22,2.24,2.18,2.18,18915804,ABEV
2024-10-30,2.27,2.28,2.24,2.27,16625581,ABEV
2024-10-29,2.28,2.3,2.25,2.28,20162010,ABEV
2024-10-28,2.29,2.3,2.27,2.28,17416613,ABEV
2024-10-25,2.26,2.28,2.25,2.25,14546246,ABEV
2024-10-24,2.25,2.29,2.235,2.27,20158584,ABEV
2024-10-23,2.26,2.27,2.23,2.25,13198381,ABEV
2024-10-22,2.28,2.29,2.25,2.27,28933307,ABEV
2024-10-21,2.27,2.29,2.26,2.29,22784323,ABEV
2024-10-18,2.305,2.31,2.27,2.28,12524415,ABEV
2024-10-17,2.28,2.31,2.27,2.3,17166606,ABEV
2024-10-16,2.28,2.32,2.27,2.3,18239041,ABEV
2024-10-15,2.31,2.31,2.27,2.28,15648982,ABEV
2024-10-14,2.32,2.34,2.3,2.34,13731568,ABEV
2024-10-11,2.33,2.345,2.29,2.31,16885437,ABEV
2024-10-10,2.37,2.38,2.35,2.36,13815062,ABEV
2024-10-09,2.35,2.38,2.33,2.36,26769718,ABEV
2024-10-08,2.38,2.395,2.35,2.37,25477228,ABEV
2024-10-07,2.45,2.46,2.4,2.41,21801174,ABEV
2024-10-04,2.44,2.49,2.44,2.47,43086797,ABEV
2024-10-03,2.49,2.5,2.46,2.48,49295846,ABEV
2024-10-02,2.54,2.56,2.52,2.56,84412821,ABEV
2024-10-01,2.48,2.53,2.47,2.5,51018668,ABEV
2024-09-30,2.39,2.44,2.385,2.44,37343800,ABEV
2024-09-27,2.36,2.41,2.36,2.4,58614407,ABEV
2024-09-26,2.36,2.37,2.35,2.36,10628612,ABEV
2024-09-25,2.36,2.38,2.31,2.33,28728072,ABEV
2024-09-24,2.36,2.37,2.3201,2.33,28081222,ABEV
2024-09-23,2.31,2.32,2.29,2.31,14551507,ABEV
2024-09-20,2.37,2.38,2.3,2.3,14338623,ABEV
2024-09-19,2.43,2.43,2.37,2.39,28648262,ABEV
2024-09-18,2.37,2.43,2.37,2.39,19636193,ABEV
2024-09-17,2.35,2.38,2.34,2.37,22573897,ABEV
2024-09-16,2.32,2.3499,2.31,2.33,20245321,ABEV
2024-09-13,2.33,2.34,2.2922,2.31,16220562,ABEV
2024-09-12,2.29,2.31,2.26,2.3,45259497,ABEV
2024-09-11,2.36,2.365,2.31,2.33,31766313,ABEV
2024-09-10,2.35,2.38,2.34,2.37,49069667,ABEV
2024-09-09,2.33,2.38,2.31,2.37,64254901,ABEV
2024-09-06,2.34,2.36,2.31,2.33,31629561,ABEV
2024-09-05,2.32,2.34,2.31,2.32,12439806,ABEV
2024-09-04,2.3,2.33,2.28,2.32,18842779,ABEV
2024-09-03,2.29,2.305,2.26,2.27,21464753,ABEV
2024-08-30,2.25,2.29,2.25,2.27,23910695,ABEV
2024-08-29,2.28,2.31,2.27,2.28,13185951,ABEV
2024-08-28,2.35,2.357,2.3,2.34,24947327,ABEV
2024-08-27,2.38,2.39,2.35,2.37,27717319,ABEV
2024-08-26,2.39,2.42,2.375,2.39,27666994,ABEV
2024-08-23,2.38,2.41,2.35,2.4,36623041,ABEV
2024-08-22,2.34,2.36,2.32,2.33,33948022,ABEV
2024-08-21,2.39,2.4,2.33,2.36,32674000,ABEV
2024-08-20,2.39,2.4,2.37,2.37,22764308,ABEV
2024-08-19,2.4,2.44,2.39,2.42,30750519,ABEV
2024-08-16,2.46,2.47,2.39,2.39,27738723,ABEV
2024-08-15,2.35,2.43,2.335,2.41,92199626,ABEV
