Date,open,high,low,close,volume,symbol
2025-02-27,2.89,3.21,2.89,3.16,5875822,AMBP
2025-02-26,2.78,2.91,2.765,2.91,4199835,AMBP
2025-02-25,2.8,2.83,2.745,2.78,1709949,AMBP
2025-02-24,2.77,2.79,2.72,2.76,1094586,AMBP
2025-02-21,2.77,2.815,2.73,2.74,1434088,AMBP
2025-02-20,2.65,2.74,2.65,2.73,1480885,AMBP
2025-02-19,2.61,2.69,2.585,2.65,1595095,AMBP
2025-02-18,2.61,2.64,2.6,2.63,631434,AMBP
2025-02-14,2.64,2.67,2.6,2.63,517363,AMBP
2025-02-13,2.64,2.67,2.6,2.62,1120885,AMBP
2025-02-12,2.63,2.68,2.62,2.62,653665,AMBP
2025-02-11,2.62,2.7,2.61,2.69,1093049,AMBP
2025-02-10,2.53,2.7,2.53,2.65,1446454,AMBP
2025-02-07,2.62,2.62,2.5,2.51,1448150,AMBP
2025-02-06,2.72,2.72,2.61,2.62,1267682,AMBP
2025-02-05,2.74,2.75,2.69,2.7,913640,AMBP
2025-02-04,2.73,2.74,2.67,2.74,1057622,AMBP
2025-02-03,2.75,2.755,2.7,2.73,737328,AMBP
2025-01-31,2.81,2.82,2.75,2.77,851824,AMBP
2025-01-30,2.78,2.82,2.76,2.81,1212410,AMBP
2025-01-29,2.78,2.8,2.74,2.76,801322,AMBP
2025-01-28,2.8,2.82,2.76,2.78,759722,AMBP
2025-01-27,2.8,2.85,2.79,2.82,907062,AMBP
2025-01-24,2.78,2.81,2.76,2.79,556559,AMBP
2025-01-23,2.77,2.8,2.75,2.79,665028,AMBP
2025-01-22,2.82,2.8299,2.77,2.79,824095,AMBP
2025-01-21,2.84,2.88,2.82,2.84,1227119,AMBP
2025-01-17,2.82,2.86,2.77,2.8,852240,AMBP
2025-01-16,2.75,2.81,2.68,2.79,1688552,AMBP
2025-01-15,2.83,2.845,2.8,2.84,881718,AMBP
2025-01-14,2.82,2.885,2.75,2.77,1406368,AMBP
2025-01-13,2.68,2.83,2.67,2.82,1938401,AMBP
2025-01-10,2.68,2.75,2.66,2.68,1852921,AMBP
2025-01-08,2.75,2.75,2.68,2.73,1827985,AMBP
2025-01-07,2.89,2.89,2.75,2.75,2181611,AMBP
2025-01-06,2.97,3.05,2.89,2.89,2427786,AMBP
2025-01-03,2.98,3.01,2.93,2.97,1657903,AMBP
2025-01-02,3.04,3.07,2.97,2.97,768125,AMBP
2024-12-31,2.96,3.03,2.96,3.01,816256,AMBP
2024-12-30,3.05,3.05,2.94,2.96,1561988,AMBP
2024-12-27,2.96,3.06,2.95,3.02,1540975,AMBP
2024-12-26,3.01,3.02,2.96,2.98,853134,AMBP
2024-12-24,3.05,3.06,3.005,3.02,520137,AMBP
2024-12-23,3.05,3.1,3.02,3.06,1120378,AMBP
2024-12-20,3.01,3.11,3.0,3.06,1959770,AMBP
2024-12-19,3.06,3.085,2.98,3.03,2520809,AMBP
2024-12-18,3.18,3.18,3.015,3.04,1595441,AMBP
2024-12-17,3.16,3.165,3.095,3.15,1598766,AMBP
2024-12-16,3.2,3.2,3.16,3.17,1017563,AMBP
2024-12-13,3.23,3.23,3.155,3.21,1214778,AMBP
2024-12-12,3.2,3.24,3.16,3.22,1513231,AMBP
2024-12-11,3.4,3.45,3.19,3.19,2929206,AMBP
2024-12-10,3.45,3.5,3.42,3.47,941385,AMBP
2024-12-09,3.47,3.505,3.4412,3.45,1053134,AMBP
2024-12-06,3.48,3.54,3.43,3.43,888358,AMBP
2024-12-05,3.61,3.63,3.46,3.48,1373392,AMBP
2024-12-04,3.75,3.75,3.69,3.71,961023,AMBP
2024-12-03,3.77,3.79,3.71,3.72,1271379,AMBP
2024-12-02,3.71,3.79,3.685,3.77,1042953,AMBP
2024-11-29,3.71,3.72,3.66,3.68,472860,AMBP
2024-11-27,3.71,3.75,3.68,3.69,960745,AMBP
2024-11-26,3.7,3.72,3.66,3.7,1619356,AMBP
2024-11-25,3.75,3.79,3.71,3.71,875656,AMBP
2024-11-22,3.7,3.76,3.7,3.73,1247171,AMBP
2024-11-21,3.61,3.71,3.58,3.71,1329882,AMBP
2024-11-20,3.58,3.645,3.575,3.63,695611,AMBP
2024-11-19,3.6,3.625,3.57,3.6,776316,AMBP
2024-11-18,3.62,3.6499,3.57,3.61,1176769,AMBP
2024-11-15,3.68,3.68,3.6,3.62,861686,AMBP
2024-11-14,3.71,3.73,3.66,3.66,982111,AMBP
