Date,open,high,low,close,volume,symbol
2025-02-27,1.82,1.93,1.81,1.87,608535,AZUL
2025-02-26,1.89,1.9612,1.81,1.82,1769849,AZUL
2025-02-25,1.84,1.97,1.75,1.91,1887541,AZUL
2025-02-24,1.94,2.12,1.825,1.85,2559178,AZUL
2025-02-21,1.88,1.8989,1.77,1.82,1363229,AZUL
2025-02-20,1.92,1.9391,1.87,1.88,348705,AZUL
2025-02-19,2.04,2.06,1.855,1.92,1309212,AZUL
2025-02-18,2.01,2.09,2.01,2.03,572875,AZUL
2025-02-14,1.95,2.0,1.89,1.97,647634,AZUL
2025-02-13,1.83,1.94,1.81,1.92,1314526,AZUL
2025-02-12,1.75,1.83,1.735,1.8,764555,AZUL
2025-02-11,1.85,1.86,1.7607,1.77,3467797,AZUL
2025-02-10,1.95,1.9723,1.83,1.86,2251904,AZUL
2025-02-07,2.0,2.0,1.9048,1.93,3010812,AZUL
2025-02-06,2.1,2.17,2.03,2.04,1941951,AZUL
2025-02-05,2.16,2.165,2.05,2.07,1728514,AZUL
2025-02-04,2.31,2.325,2.23,2.24,791276,AZUL
2025-02-03,2.35,2.385,2.25,2.31,841252,AZUL
2025-01-31,2.39,2.47,2.35,2.46,1452823,AZUL
2025-01-30,2.4,2.44,2.35,2.43,1047010,AZUL
2025-01-29,2.32,2.5,2.28,2.36,1795747,AZUL
2025-01-28,2.41,2.41,2.24,2.27,1053135,AZUL
2025-01-27,2.32,2.4599,2.275,2.39,2279160,AZUL
2025-01-24,2.36,2.41,2.3,2.3,575606,AZUL
2025-01-23,2.43,2.458,2.34,2.35,594908,AZUL
2025-01-22,2.26,2.48,2.255,2.46,2548348,AZUL
2025-01-21,2.21,2.22,2.14,2.19,793878,AZUL
2025-01-17,2.38,2.38,2.22,2.33,1765579,AZUL
2025-01-16,2.3,2.38,2.21,2.35,2750050,AZUL
2025-01-15,2.09,2.17,2.06,2.16,947391,AZUL
2025-01-14,2.05,2.09,1.9738,2.01,854004,AZUL
2025-01-13,1.97,2.07,1.9511,2.04,948674,AZUL
2025-01-10,2.01,2.04,1.97,1.98,502469,AZUL
2025-01-08,1.97,2.075,1.93,2.02,1530993,AZUL
2025-01-07,2.06,2.15,1.99,2.0,1092861,AZUL
2025-01-06,1.95,2.0693,1.9,2.01,2308168,AZUL
2025-01-03,1.75,1.8289,1.74,1.81,560438,AZUL
2025-01-02,1.68,1.8,1.67,1.76,1130325,AZUL
2024-12-31,1.71,1.71,1.64,1.67,575529,AZUL
2024-12-30,1.63,1.71,1.57,1.68,1819716,AZUL
2024-12-27,1.59,1.66,1.58,1.63,827153,AZUL
2024-12-26,1.61,1.64,1.59,1.59,965836,AZUL
2024-12-24,1.62,1.69,1.6001,1.65,325936,AZUL
2024-12-23,1.65,1.66,1.61,1.62,1548376,AZUL
2024-12-20,1.8,1.855,1.74,1.79,1351061,AZUL
2024-12-19,1.76,1.835,1.7,1.77,1963710,AZUL
2024-12-18,1.9,1.9,1.66,1.69,2241588,AZUL
2024-12-17,1.95,2.0598,1.9,1.99,1453391,AZUL
2024-12-16,2.05,2.0599,1.95,1.95,1469478,AZUL
2024-12-13,2.1,2.105,2.03,2.04,1087796,AZUL
2024-12-12,2.21,2.22,2.07,2.09,1916023,AZUL
2024-12-11,2.21,2.3,2.11,2.27,2191747,AZUL
2024-12-10,2.24,2.26,2.185,2.22,716783,AZUL
2024-12-09,2.22,2.28,2.18,2.2,1977671,AZUL
2024-12-06,2.34,2.345,2.17,2.21,2343826,AZUL
2024-12-05,2.37,2.445,2.34,2.36,1052604,AZUL
2024-12-04,2.3,2.325,2.25,2.29,1310151,AZUL
2024-12-03,2.3,2.385,2.28,2.32,1162182,AZUL
2024-12-02,2.4,2.41,2.25,2.28,2132229,AZUL
2024-11-29,2.38,2.43,2.33,2.35,2090165,AZUL
2024-11-27,2.72,2.76,2.575,2.61,1841856,AZUL
2024-11-26,2.79,2.85,2.72,2.72,1308986,AZUL
2024-11-25,2.61,2.82,2.6,2.77,3301416,AZUL
2024-11-22,2.51,2.58,2.487,2.55,1097063,AZUL
2024-11-21,2.51,2.57,2.5,2.52,1179603,AZUL
2024-11-20,2.5,2.68,2.475,2.57,1005449,AZUL
2024-11-19,2.53,2.57,2.48,2.5,1751475,AZUL
2024-11-18,2.73,2.785,2.52,2.56,2542755,AZUL
