Date,open,high,low,close,volume,symbol
2025-02-27,10.18,10.26,10.13,10.23,650546,BBDC
2025-02-26,10.22,10.305,10.17,10.18,960029,BBDC
2025-02-25,10.46,10.4645,10.18,10.21,672210,BBDC
2025-02-24,10.85,10.85,10.405,10.43,1100075,BBDC
2025-02-21,10.575,10.82,10.54,10.78,882516,BBDC
2025-02-20,10.43,10.52,10.36,10.5,553984,BBDC
2025-02-19,10.3,10.465,10.29,10.46,549067,BBDC
2025-02-18,10.28,10.4,10.2502,10.35,756462,BBDC
2025-02-14,10.27,10.33,10.21,10.23,567444,BBDC
2025-02-13,10.21,10.3,10.196,10.3,315937,BBDC
2025-02-12,10.1,10.23,10.09,10.22,407640,BBDC
2025-02-11,10.1,10.14,10.07,10.12,468322,BBDC
2025-02-10,10.09,10.15,10.05,10.11,405908,BBDC
2025-02-07,10.11,10.15,10.085,10.1,361578,BBDC
2025-02-06,10.15,10.15,10.06,10.11,393926,BBDC
2025-02-05,10.09,10.1338,10.0101,10.1,539317,BBDC
2025-02-04,10.07,10.12,10.05,10.09,458112,BBDC
2025-02-03,9.99,10.12,9.94,10.08,506160,BBDC
2025-01-31,10.1,10.16,10.04,10.12,574780,BBDC
2025-01-30,9.99,10.09,9.95,10.07,453547,BBDC
2025-01-29,10.02,10.02,9.9021,9.94,336134,BBDC
2025-01-28,10.0,10.02,9.95,9.99,323479,BBDC
2025-01-27,9.92,9.99,9.895,9.98,417955,BBDC
2025-01-24,9.85,9.93,9.85,9.9,218854,BBDC
2025-01-23,9.9,9.92,9.87,9.89,323488,BBDC
2025-01-22,9.85,9.895,9.84,9.87,305996,BBDC
2025-01-21,9.74,9.89,9.72,9.87,552421,BBDC
2025-01-17,9.69,9.77,9.675,9.7,302448,BBDC
2025-01-16,9.59,9.735,9.58,9.72,340690,BBDC
2025-01-15,9.53,9.6,9.4939,9.6,285139,BBDC
2025-01-14,9.39,9.49,9.38,9.48,218849,BBDC
2025-01-13,9.33,9.4,9.27,9.36,383996,BBDC
2025-01-10,9.33,9.41,9.32,9.38,363943,BBDC
2025-01-08,9.43,9.4395,9.33,9.37,380248,BBDC
2025-01-07,9.55,9.56,9.41,9.42,523268,BBDC
2025-01-06,9.73,9.73,9.525,9.54,442311,BBDC
2025-01-03,9.68,9.74,9.65,9.7,265764,BBDC
2025-01-02,9.62,9.73,9.6141,9.67,367525,BBDC
2024-12-31,9.55,9.63,9.525,9.57,373489,BBDC
2024-12-30,9.5,9.5708,9.41,9.53,357850,BBDC
2024-12-27,9.51,9.57,9.47,9.52,319086,BBDC
2024-12-26,9.49,9.535,9.46,9.51,308086,BBDC
2024-12-24,9.42,9.5,9.4031,9.5,232577,BBDC
2024-12-23,9.41,9.455,9.31,9.42,370863,BBDC
2024-12-20,9.29,9.48,9.2,9.41,816406,BBDC
2024-12-19,9.3,9.38,9.27,9.27,611729,BBDC
2024-12-18,9.47,9.57,9.26,9.27,573225,BBDC
2024-12-17,9.5,9.52,9.41,9.48,572957,BBDC
2024-12-16,9.7,9.715,9.51,9.55,904056,BBDC
2024-12-13,9.75,9.84,9.64,9.71,620648,BBDC
2024-12-12,9.7,9.83,9.7,9.79,959043,BBDC
2024-12-11,9.84,9.89,9.68,9.74,778608,BBDC
2024-12-10,9.9,9.97,9.8309,9.84,685608,BBDC
2024-12-09,9.76,9.925,9.76,9.86,644767,BBDC
2024-12-06,9.72,9.77,9.62,9.76,742364,BBDC
2024-12-05,9.8,9.83,9.695,9.73,648460,BBDC
2024-12-04,9.83,9.95,9.74,9.84,739541,BBDC
2024-12-03,10.37,10.37,10.185,10.22,797282,BBDC
2024-12-02,10.24,10.38,10.22,10.33,763238,BBDC
2024-11-29,10.26,10.3,10.23,10.24,357424,BBDC
2024-11-27,10.24,10.3,10.21,10.25,324274,BBDC
2024-11-26,10.18,10.25,10.1,10.21,385786,BBDC
2024-11-25,10.25,10.27,10.12,10.2,469021,BBDC
2024-11-22,10.04,10.21,10.02,10.2,410658,BBDC
2024-11-21,10.07,10.08,10.0,10.01,423664,BBDC
2024-11-20,10.02,10.075,9.95,10.07,360689,BBDC
2024-11-19,9.96,10.11,9.95,10.07,444627,BBDC
2024-11-18,10.0,10.04,9.98,10.0,312365,BBDC
2024-11-15,9.92,10.0,9.91,9.95,328450,BBDC
2024-11-14,9.99,10.02,9.87,9.89,308354,BBDC
2024-11-13,9.7,9.98,9.7,9.96,338634,BBDC
2024-11-12,9.75,9.76,9.66,9.71,283428,BBDC
2024-11-11,9.75,9.83,9.71,9.76,300715,BBDC
2024-11-08,9.83,9.83,9.6,9.7,361676,BBDC
2024-11-07,9.73,9.88,9.57,9.79,373609,BBDC
2024-11-06,9.77,9.805,9.6,9.78,381848,BBDC
2024-11-05,9.38,9.52,9.36,9.5,296170,BBDC
2024-11-04,9.57,9.61,9.375,9.41,379285,BBDC
2024-11-01,9.67,9.73,9.52,9.59,468185,BBDC
2024-10-31,9.75,9.8,9.62,9.67,424960,BBDC
2024-10-30,9.79,9.92,9.75,9.78,140609,BBDC
2024-10-29,9.85,9.85,9.74,9.75,194887,BBDC
2024-10-28,9.85,9.91,9.8496,9.9,227301,BBDC
2024-10-25,9.85,9.8879,9.77,9.82,193465,BBDC
2024-10-24,9.8,9.87,9.744,9.86,209261,BBDC
2024-10-23,9.78,9.8,9.71,9.76,226833,BBDC
2024-10-22,9.82,9.83,9.735,9.81,369070,BBDC
2024-10-21,9.76,9.83,9.69,9.82,354697,BBDC
2024-10-18,9.77,9.78,9.72,9.74,269585,BBDC
2024-10-17,9.85,9.86,9.74,9.78,319623,BBDC
2024-10-16,9.76,9.87,9.76,9.86,267820,BBDC
2024-10-15,9.71,9.8,9.7009,9.75,194576,BBDC
2024-10-14,9.79,9.79,9.675,9.71,314936,BBDC
2024-10-11,9.75,9.81,9.71,9.76,445420,BBDC
