Date,open,high,low,close,volume,symbol
2025-02-27,3.09,3.19,2.99,3.14,5178845,BRFS
2025-02-26,3.23,3.36,3.225,3.31,2559249,BRFS
2025-02-25,3.34,3.375,3.32,3.34,1030282,BRFS
2025-02-24,3.35,3.36,3.27,3.29,2034033,BRFS
2025-02-21,3.33,3.37,3.29,3.35,1100804,BRFS
2025-02-20,3.33,3.37,3.32,3.33,1818420,BRFS
2025-02-19,3.38,3.42,3.33,3.37,1639468,BRFS
2025-02-18,3.44,3.48,3.38,3.39,2802723,BRFS
2025-02-14,3.39,3.54,3.38,3.52,2635400,BRFS
2025-02-13,3.4,3.48,3.385,3.41,1623135,BRFS
2025-02-12,3.55,3.57,3.51,3.53,2240949,BRFS
2025-02-11,3.69,3.69,3.635,3.66,1118276,BRFS
2025-02-10,3.67,3.75,3.655,3.72,1065216,BRFS
2025-02-07,3.66,3.685,3.575,3.6,1699569,BRFS
2025-02-06,3.68,3.705,3.645,3.7,1804586,BRFS
2025-02-05,3.55,3.64,3.53,3.62,1507481,BRFS
2025-02-04,3.62,3.64,3.5611,3.6,2703825,BRFS
2025-02-03,3.76,3.79,3.68,3.71,1590120,BRFS
2025-01-31,3.8,3.8521,3.75,3.75,1451404,BRFS
2025-01-30,3.75,3.78,3.71,3.75,1685172,BRFS
2025-01-29,3.75,3.77,3.7,3.76,1613860,BRFS
2025-01-28,3.77,3.8,3.73,3.74,1693424,BRFS
2025-01-27,3.74,3.79,3.725,3.79,1784627,BRFS
2025-01-24,3.71,3.7597,3.68,3.7,2316871,BRFS
2025-01-23,3.75,3.77,3.62,3.67,2127578,BRFS
2025-01-22,3.71,3.73,3.65,3.72,2502064,BRFS
2025-01-21,3.58,3.65,3.535,3.61,4487370,BRFS
2025-01-17,3.77,3.85,3.75,3.75,3000111,BRFS
2025-01-16,3.97,3.98,3.72,3.73,2307922,BRFS
2025-01-15,4.04,4.045,3.93,4.01,1916196,BRFS
2025-01-14,3.87,3.9599,3.87,3.94,1767302,BRFS
2025-01-13,3.83,3.88,3.82,3.85,1706893,BRFS
2025-01-10,3.82,3.9,3.7701,3.85,2612196,BRFS
2025-01-08,3.87,3.87,3.81,3.84,840315,BRFS
2025-01-07,3.96,3.97,3.8901,3.9,1406401,BRFS
2025-01-06,3.95,3.97,3.9,3.91,1600120,BRFS
2025-01-03,4.0,4.025,3.915,3.92,1352616,BRFS
2025-01-02,4.05,4.09,3.995,4.07,1813862,BRFS
2024-12-31,4.1,4.12,4.04,4.07,459320,BRFS
2024-12-30,4.13,4.19,4.06,4.11,2931695,BRFS
2024-12-27,4.01,4.055,3.965,4.05,2628221,BRFS
2024-12-26,4.22,4.22,4.11,4.13,2256522,BRFS
2024-12-24,4.21,4.27,4.21,4.27,152329,BRFS
2024-12-23,4.24,4.26,4.19,4.23,1738821,BRFS
2024-12-20,4.28,4.365,4.19,4.35,5323621,BRFS
2024-12-19,4.26,4.33,4.24,4.28,3683041,BRFS
2024-12-18,4.6,4.63,4.23,4.24,4173496,BRFS
2024-12-17,4.6,4.73,4.55,4.69,2204744,BRFS
2024-12-16,4.61,4.7,4.6081,4.64,1113728,BRFS
2024-12-13,4.68,4.69,4.603,4.62,1624240,BRFS
2024-12-12,4.77,4.8,4.63,4.65,1536197,BRFS
2024-12-11,4.65,4.87,4.65,4.77,2716617,BRFS
2024-12-10,4.74,4.775,4.585,4.6,2451458,BRFS
2024-12-09,4.71,4.73,4.66,4.71,1519563,BRFS
2024-12-06,4.7,4.725,4.62,4.66,1978565,BRFS
2024-12-05,4.6,4.72,4.59,4.69,2246240,BRFS
2024-12-04,4.4,4.63,4.4,4.62,4068578,BRFS
2024-12-03,4.3,4.38,4.29,4.37,4051102,BRFS
2024-12-02,4.1,4.17,4.08,4.15,2958846,BRFS
2024-11-29,4.12,4.2,4.05,4.13,2812784,BRFS
2024-11-27,4.22,4.26,4.13,4.16,2672549,BRFS
2024-11-26,4.23,4.2789,4.19,4.21,1445840,BRFS
2024-11-25,4.36,4.38,4.32,4.36,1274521,BRFS
2024-11-22,4.32,4.4,4.3101,4.34,1628664,BRFS
2024-11-21,4.16,4.37,4.16,4.32,3389387,BRFS
2024-11-20,4.21,4.32,4.2,4.25,2499721,BRFS
2024-11-19,4.24,4.3174,4.2,4.21,2689447,BRFS
2024-11-18,4.16,4.175,4.08,4.13,3632723,BRFS
2024-11-15,4.28,4.3792,4.28,4.31,828197,BRFS
2024-11-14,4.38,4.395,4.29,4.29,4767488,BRFS
2024-11-13,4.36,4.3773,4.23,4.29,2795987,BRFS
2024-11-12,4.28,4.35,4.255,4.32,2248598,BRFS
2024-11-11,4.18,4.23,4.16,4.21,1770160,BRFS
2024-11-08,4.2,4.24,4.16,4.23,2184090,BRFS
