Date,open,high,low,close,volume,symbol
2025-02-27,4.81,5.19,4.81,5.1,964058,CSAN
2025-02-26,5.0,5.0,4.86,4.88,1060142,CSAN
2025-02-25,4.99,5.065,4.965,4.99,893326,CSAN
2025-02-24,5.05,5.05,4.835,4.87,1131054,CSAN
2025-02-21,5.26,5.2699,5.105,5.14,420573,CSAN
2025-02-20,5.35,5.36,5.265,5.27,419891,CSAN
2025-02-19,5.39,5.41,5.24,5.26,844533,CSAN
2025-02-18,5.52,5.635,5.49,5.51,1089041,CSAN
2025-02-14,5.25,5.44,5.2,5.43,1489933,CSAN
2025-02-13,5.04,5.12,5.0034,5.06,1456092,CSAN
2025-02-12,5.07,5.13,4.98,5.11,1548234,CSAN
2025-02-11,5.22,5.33,5.22,5.31,933693,CSAN
2025-02-10,5.09,5.225,5.07,5.19,815439,CSAN
2025-02-07,5.27,5.27,4.95,4.96,1421897,CSAN
2025-02-06,5.29,5.395,5.215,5.38,801202,CSAN
2025-02-05,5.26,5.36,5.22,5.25,1776916,CSAN
2025-02-04,5.35,5.47,5.3,5.44,780871,CSAN
2025-02-03,5.25,5.455,5.2,5.43,1349916,CSAN
2025-01-31,5.53,5.63,5.37,5.39,1741586,CSAN
2025-01-30,5.24,5.57,5.21,5.57,3631471,CSAN
2025-01-29,5.17,5.255,5.12,5.18,872991,CSAN
2025-01-28,5.35,5.35,5.22,5.24,707661,CSAN
2025-01-27,5.33,5.38,5.245,5.38,1294658,CSAN
2025-01-24,5.21,5.2475,5.13,5.14,671422,CSAN
2025-01-23,5.27,5.28,5.11,5.17,913747,CSAN
2025-01-22,5.2,5.33,5.195,5.21,1070295,CSAN
2025-01-21,5.15,5.175,5.0101,5.14,1447302,CSAN
2025-01-17,5.72,5.755,5.51,5.52,1099772,CSAN
2025-01-16,6.0,6.0,5.73,5.84,1436321,CSAN
2025-01-15,5.69,5.775,5.58,5.76,600069,CSAN
2025-01-14,5.4,5.53,5.34,5.5,896193,CSAN
2025-01-13,5.38,5.61,5.375,5.48,699885,CSAN
2025-01-10,5.38,5.43,5.265,5.28,655771,CSAN
2025-01-08,5.44,5.46,5.35,5.4,1265385,CSAN
2025-01-07,5.63,5.79,5.56,5.61,1590506,CSAN
2025-01-06,5.43,5.635,5.37,5.56,1146223,CSAN
2025-01-03,5.26,5.32,5.21,5.23,1226618,CSAN
2025-01-02,5.28,5.48,5.09,5.34,1465939,CSAN
2024-12-31,5.38,5.495,5.37,5.44,876450,CSAN
2024-12-30,5.38,5.39,5.245,5.37,1266818,CSAN
2024-12-27,5.41,5.5099,5.315,5.38,1381977,CSAN
2024-12-26,5.51,5.615,5.46,5.51,909429,CSAN
2024-12-24,5.6,5.61,5.55,5.6,88254,CSAN
2024-12-23,5.58,5.605,5.5,5.59,1138917,CSAN
2024-12-20,5.52,5.6982,5.42,5.62,1408775,CSAN
2024-12-19,5.48,5.555,5.395,5.45,1362264,CSAN
2024-12-18,5.64,5.645,5.295,5.37,2343247,CSAN
2024-12-17,5.63,5.89,5.57,5.85,1439780,CSAN
2024-12-16,5.79,5.925,5.63,5.67,1485731,CSAN
2024-12-13,6.06,6.08,5.9,5.91,1419993,CSAN
2024-12-12,6.33,6.33,6.02,6.12,1473647,CSAN
2024-12-11,6.34,6.685,6.1501,6.53,2307266,CSAN
2024-12-10,6.27,6.39,6.22,6.35,913120,CSAN
2024-12-09,6.3,6.39,6.15,6.16,1113977,CSAN
2024-12-06,6.39,6.3978,6.0797,6.19,1334437,CSAN
2024-12-05,6.65,6.6833,6.4617,6.5,939859,CSAN
2024-12-04,6.51,6.575,6.39,6.48,1226126,CSAN
2024-12-03,6.51,6.57,6.43,6.56,944496,CSAN
2024-12-02,6.6,6.7398,6.54,6.57,1038723,CSAN
2024-11-29,6.27,6.79,6.23,6.61,1932156,CSAN
2024-11-27,7.57,7.62,7.29,7.32,1214187,CSAN
2024-11-26,7.73,7.745,7.535,7.61,498747,CSAN
2024-11-25,7.77,7.815,7.61,7.73,569328,CSAN
2024-11-22,7.41,7.735,7.405,7.6,1323408,CSAN
2024-11-21,7.36,7.41,7.22,7.22,1041383,CSAN
2024-11-20,7.59,7.71,7.59,7.61,311937,CSAN
2024-11-19,7.6,7.74,7.58,7.63,511413,CSAN
2024-11-18,7.91,8.06,7.69,7.73,1000282,CSAN
2024-11-15,8.05,8.15,7.85,7.86,429192,CSAN
2024-11-14,7.9,8.0084,7.75,7.78,542012,CSAN
2024-11-13,7.83,7.88,7.73,7.82,590616,CSAN
2024-11-12,7.88,7.93,7.775,7.87,586192,CSAN
2024-11-11,7.92,8.1,7.89,8.07,677823,CSAN
2024-11-08,8.19,8.2,7.975,8.14,415196,CSAN
2024-11-07,8.58,8.64,8.43,8.43,359952,CSAN
2024-11-06,8.18,8.5,8.14,8.44,436922,CSAN
2024-11-05,8.16,8.3899,8.15,8.3,463901,CSAN
2024-11-04,8.09,8.43,8.09,8.31,599749,CSAN
2024-11-01,8.07,8.13,7.8,7.81,638525,CSAN
2024-10-31,8.34,8.375,8.13,8.13,442556,CSAN
2024-10-30,8.36,8.5,8.32,8.33,475233,CSAN
2024-10-29,8.46,8.525,8.33,8.33,523889,CSAN
2024-10-28,8.32,8.61,8.315,8.46,584725,CSAN
2024-10-25,8.2,8.27,8.15,8.21,437463,CSAN
2024-10-24,8.15,8.296,8.09,8.28,329250,CSAN
2024-10-23,8.09,8.195,8.01,8.16,607325,CSAN
2024-10-22,8.2,8.235,8.03,8.16,691517,CSAN
2024-10-21,8.27,8.29,8.2,8.2,548497,CSAN
2024-10-18,8.52,8.52,8.27,8.28,321013,CSAN
2024-10-17,8.35,8.45,8.295,8.44,517190,CSAN
2024-10-16,8.44,8.615,8.41,8.53,479588,CSAN
2024-10-15,8.64,8.65,8.51,8.52,607393,CSAN
2024-10-14,8.58,8.7887,8.54,8.76,461842,CSAN
2024-10-11,8.7,8.71,8.465,8.62,704227,CSAN
2024-10-10,8.82,8.96,8.755,8.9,522286,CSAN
2024-10-09,9.02,9.12,8.785,8.86,1017811,CSAN
2024-10-08,9.31,9.33,9.15,9.23,734549,CSAN
2024-10-07,9.6,9.76,9.42,9.49,328573,CSAN
2024-10-04,9.52,9.65,9.4534,9.63,438384,CSAN
2024-10-03,9.58,9.58,9.32,9.55,432717,CSAN
2024-10-02,10.05,10.12,9.88,9.9,544027,CSAN
2024-10-01,9.58,9.775,9.475,9.77,957189,CSAN
2024-09-30,9.68,9.78,9.54,9.56,594591,CSAN
2024-09-27,9.57,9.72,9.47,9.67,979027,CSAN
2024-09-26,9.42,9.565,9.3,9.49,526909,CSAN
2024-09-25,9.26,9.26,9.085,9.12,780933,CSAN
2024-09-24,9.23,9.3583,9.16,9.29,648751,CSAN
2024-09-23,8.94,8.95,8.82,8.85,612189,CSAN
2024-09-20,9.44,9.45,8.98,9.0,542944,CSAN
2024-09-19,9.75,9.76,9.53,9.56,379306,CSAN
2024-09-18,9.74,9.87,9.53,9.56,720131,CSAN
2024-09-17,9.62,9.74,9.545,9.7,647354,CSAN
2024-09-16,9.51,9.58,9.41,9.52,424895,CSAN
2024-09-13,9.38,9.53,9.3433,9.38,464855,CSAN
2024-09-12,8.98,9.21,8.97,9.2,879489,CSAN
2024-09-11,9.02,9.165,8.86,9.13,562782,CSAN
2024-09-10,9.05,9.055,8.76,8.85,556421,CSAN
2024-09-09,9.21,9.25,9.105,9.11,539547,CSAN
2024-09-06,9.63,9.64,9.19,9.23,431695,CSAN
2024-09-05,9.57,9.6,9.43,9.58,479075,CSAN
2024-09-04,9.38,9.5691,9.35,9.5,483666,CSAN
2024-09-03,9.42,9.43,9.23,9.28,776585,CSAN
2024-08-30,9.37,9.53,9.335,9.5,567521,CSAN
2024-08-29,9.68,9.68,9.46,9.56,322290,CSAN
2024-08-28,9.93,9.95,9.75,9.83,214331,CSAN
2024-08-27,10.22,10.269,10.105,10.12,393152,CSAN
2024-08-26,10.16,10.275,10.11,10.19,678498,CSAN
2024-08-23,10.0,10.265,9.875,10.15,439072,CSAN
2024-08-22,10.0,10.04,9.77,9.79,323032,CSAN
2024-08-21,10.3,10.34,10.085,10.17,584679,CSAN
2024-08-20,10.17,10.22,10.065,10.11,324592,CSAN
2024-08-19,9.9,10.36,9.8801,10.33,385939,CSAN
2024-08-16,10.11,10.12,9.79,9.85,331769,CSAN
2024-08-15,9.8,10.12,9.8,10.0,939625,CSAN
2024-08-14,9.85,9.94,9.755,9.82,684832,CSAN
2024-08-13,9.89,10.06,9.84,10.01,592488,CSAN
2024-08-12,9.93,9.96,9.73,9.78,353525,CSAN
2024-08-09,9.76,9.87,9.635,9.78,455945,CSAN
2024-08-08,9.35,9.545,9.27,9.52,446828,CSAN
2024-08-07,9.24,9.34,9.13,9.28,636481,CSAN
2024-08-06,8.96,9.285,8.865,9.16,682701,CSAN
2024-08-05,8.72,8.97,8.685,8.89,522647,CSAN
