Date,open,high,low,close,volume,symbol
2025-02-27,27.21,27.76,26.39,26.83,93640,ELMD
2025-02-26,26.69,27.55,26.545,27.46,121906,ELMD
2025-02-25,26.97,27.305,25.96,26.76,109237,ELMD
2025-02-24,27.95,27.96,26.85,26.97,153045,ELMD
2025-02-21,28.79,29.1786,27.8,27.97,150729,ELMD
2025-02-20,29.85,30.33,28.315,28.63,152505,ELMD
2025-02-19,29.55,29.55,28.75,29.36,96902,ELMD
2025-02-18,31.22,31.33,28.91,29.55,222776,ELMD
2025-02-14,33.41,33.41,31.55,31.89,123154,ELMD
2025-02-13,33.8,34.2299,32.22,33.21,130940,ELMD
2025-02-12,31.63,34.03,29.68,33.28,204857,ELMD
2025-02-11,28.28,29.66,28.0,29.2,186945,ELMD
2025-02-10,32.28,32.67,29.55,29.96,256966,ELMD
2025-02-07,34.54,34.54,32.33,33.05,125152,ELMD
2025-02-06,35.3,35.3,34.0,34.3,53363,ELMD
2025-02-05,35.22,35.405,34.26,35.08,72820,ELMD
2025-02-04,34.02,35.25,33.5163,35.2,85572,ELMD
2025-02-03,33.5,33.96,30.51,33.88,121843,ELMD
2025-01-31,35.27,35.54,34.34,34.4,66163,ELMD
2025-01-30,35.45,35.56,34.7663,35.14,57464,ELMD
2025-01-29,35.11,35.4999,34.64,35.43,67157,ELMD
2025-01-28,33.21,35.26,32.9447,35.07,109457,ELMD
2025-01-27,33.65,33.65,32.65,33.14,70738,ELMD
2025-01-24,33.32,33.99,32.75,33.49,76727,ELMD
2025-01-23,33.54,33.64,32.47,33.3,58343,ELMD
2025-01-22,34.18,34.4,33.12,33.51,64515,ELMD
2025-01-21,34.34,35.07,33.8862,33.9,131535,ELMD
2025-01-17,34.25,34.25,33.1701,34.0,79128,ELMD
2025-01-16,34.25,34.25,32.99,33.87,100227,ELMD
2025-01-15,31.5,34.04,31.236,33.72,193468,ELMD
2025-01-14,30.53,31.62,30.45,31.05,84689,ELMD
2025-01-13,30.0,30.695,29.4391,30.47,49389,ELMD
2025-01-10,30.84,31.14,29.39,29.77,74177,ELMD
2025-01-08,30.74,31.7,30.38,31.12,108259,ELMD
2025-01-07,31.5,31.75,29.71,30.3,115098,ELMD
2025-01-06,30.75,31.88,30.4,31.23,106691,ELMD
2025-01-03,30.15,30.8899,29.71,30.69,75922,ELMD
2025-01-02,29.81,30.31,29.21,30.1,70217,ELMD
2024-12-31,30.38,30.5299,29.325,29.55,46106,ELMD
2024-12-30,29.01,30.5799,28.1,30.16,163097,ELMD
2024-12-27,29.83,29.99,28.798,29.24,56087,ELMD
