Date,open,high,low,close,volume,symbol
2025-02-27,16.675,17.11,15.94,16.15,3307917,MBLY
2025-02-26,16.43,16.79,16.25,16.42,2570606,MBLY
2025-02-25,16.52,16.86,15.785,16.08,4406174,MBLY
2025-02-24,16.46,16.92,15.61,16.54,3658258,MBLY
2025-02-21,17.82,17.99,16.31,16.51,4259674,MBLY
2025-02-20,18.17,18.3389,17.245,17.77,2701663,MBLY
2025-02-19,18.83,18.83,17.71,18.13,4020753,MBLY
2025-02-18,18.0,19.2249,17.84,18.89,4174474,MBLY
2025-02-14,17.83,18.22,17.675,17.97,3027239,MBLY
2025-02-13,17.1,17.785,17.04,17.44,3385827,MBLY
2025-02-12,16.93,17.03,16.18,16.72,7696109,MBLY
2025-02-11,17.74,18.43,17.13,17.19,4465575,MBLY
2025-02-10,18.49,19.1944,17.88,17.97,13665283,MBLY
2025-02-07,16.6,16.62,15.96,16.07,2795953,MBLY
2025-02-06,16.43,16.85,16.22,16.46,3369918,MBLY
2025-02-05,15.7,16.35,15.55,16.15,5725212,MBLY
2025-02-04,16.13,16.24,15.74,15.92,3034598,MBLY
2025-02-03,15.75,16.4,15.52,16.03,5592312,MBLY
2025-01-31,16.5,17.83,16.215,16.525,7747538,MBLY
2025-01-30,14.675,16.8,14.5,16.31,20502038,MBLY
2025-01-29,16.332,16.58,15.91,16.01,5177059,MBLY
2025-01-28,16.07,16.74,15.58,16.71,4643297,MBLY
2025-01-27,16.3,16.91,15.92,16.17,4879641,MBLY
2025-01-24,16.93,17.34,16.485,16.54,5468411,MBLY
2025-01-23,16.78,17.0,16.31,16.83,3347160,MBLY
2025-01-22,16.48,17.086,16.48,17.0,4292647,MBLY
2025-01-21,16.26,16.92,15.73,16.67,5582765,MBLY
2025-01-17,17.0,17.0911,16.01,16.02,6377054,MBLY
2025-01-16,17.2,17.67,16.5,16.51,6532457,MBLY
2025-01-15,16.6,17.05,16.47,16.73,5385534,MBLY
2025-01-14,16.48,17.25,16.01,16.13,7187406,MBLY
2025-01-13,15.2,15.75,14.92,15.67,8902584,MBLY
2025-01-10,15.94,16.3961,15.5,15.65,13251502,MBLY
2025-01-08,19.0,19.2,16.56,16.95,21303358,MBLY
2025-01-07,22.17,22.51,19.03,19.55,12266872,MBLY
2025-01-06,22.0,22.37,21.45,21.845,10530351,MBLY
2025-01-03,20.11,21.89,20.11,21.7,8095743,MBLY
2025-01-02,20.01,20.425,19.34,20.02,6218633,MBLY
2024-12-31,20.5,20.79,19.46,19.92,5787546,MBLY
2024-12-30,19.57,20.48,18.9,20.07,6229646,MBLY
2024-12-27,19.19,20.075,18.83,20.03,5554786,MBLY
2024-12-26,18.74,19.8697,18.55,19.47,4510740,MBLY
2024-12-24,18.68,19.21,18.54,18.94,2480275,MBLY
2024-12-23,17.52,18.545,17.3,18.51,3653025,MBLY
2024-12-20,17.29,18.3589,16.91,17.51,6333590,MBLY
2024-12-19,17.82,17.83,16.8,17.72,7430181,MBLY
2024-12-18,19.63,19.7699,17.17,17.35,10626855,MBLY
2024-12-17,18.81,20.09,18.79,19.64,11100331,MBLY
2024-12-16,17.59,18.885,17.34,18.8,8481503,MBLY
2024-12-13,17.96,18.05,17.01,17.51,4483222,MBLY
2024-12-12,17.09,18.3,16.73,17.72,6612040,MBLY
2024-12-11,17.08,17.38,16.79,17.04,4928935,MBLY
2024-12-10,17.855,17.8599,16.365,16.98,9883200,MBLY
2024-12-09,17.35,18.845,17.19,17.51,9698359,MBLY
2024-12-06,17.4,17.55,16.51,17.0,7963967,MBLY
2024-12-05,18.44,18.79,16.97,17.1,9625046,MBLY
2024-12-04,17.39,17.5474,16.8,17.08,4718697,MBLY
2024-12-03,17.23,18.79,16.77,17.54,7204580,MBLY
2024-12-02,18.29,18.36,17.28,17.39,3580775,MBLY
2024-11-29,18.22,18.42,18.04,18.05,2051234,MBLY
2024-11-27,18.17,18.87,17.71,18.03,3136735,MBLY
2024-11-26,18.5,18.8,17.902,17.92,4817816,MBLY
2024-11-25,18.27,19.15,18.1299,18.5,8088160,MBLY
2024-11-22,17.22,18.14,17.21,17.97,6086167,MBLY
2024-11-21,16.87,17.45,16.46,17.29,4231553,MBLY
2024-11-20,16.8,17.565,16.72,16.92,5353086,MBLY
2024-11-19,16.6,16.87,16.1675,16.76,7262324,MBLY
2024-11-18,16.18,16.945,15.81,16.82,9793011,MBLY
2024-11-15,15.69,15.7,14.8,14.99,5970521,MBLY
2024-11-14,17.29,17.37,15.3601,15.49,9429764,MBLY
2024-11-13,17.28,17.575,16.893,17.31,6153267,MBLY
2024-11-12,16.73,17.295,16.31,16.93,6565979,MBLY
2024-11-11,16.56,16.75,15.8021,16.64,6480138,MBLY
2024-11-08,16.51,16.6,16.09,16.45,6266179,MBLY
2024-11-07,16.436,17.39,16.25,16.51,12192070,MBLY
2024-11-06,15.9,16.01,14.95,15.44,9391345,MBLY
2024-11-05,14.65,15.33,14.63,15.23,5153139,MBLY
2024-11-04,15.25,15.5,14.4,14.57,7514929,MBLY
2024-11-01,13.98,15.83,13.64,15.57,17110626,MBLY
2024-10-31,14.1,14.88,12.7248,13.61,15803829,MBLY
2024-10-30,12.9,13.01,12.35,12.42,7684097,MBLY
2024-10-29,13.04,13.47,12.81,13.265,5087936,MBLY
2024-10-28,12.6,13.17,12.6,13.02,3480723,MBLY
2024-10-25,12.62,12.885,12.52,12.67,3135409,MBLY
2024-10-24,12.86,12.885,12.31,12.51,4555124,MBLY
2024-10-23,12.95,13.01,12.25,12.57,3435456,MBLY
2024-10-22,13.25,13.31,12.84,13.0,3158463,MBLY
2024-10-21,12.81,13.25,12.6203,13.19,3776623,MBLY
2024-10-18,13.24,13.35,12.62,12.79,3885397,MBLY
2024-10-17,12.26,12.938,12.11,12.875,5560392,MBLY
2024-10-16,12.045,12.5,11.1212,12.13,7772690,MBLY
2024-10-15,12.51,13.39,12.02,12.17,7596435,MBLY
2024-10-14,12.8,13.18,12.33,12.96,5672084,MBLY
2024-10-11,11.79,13.045,11.76,12.89,8385771,MBLY
2024-10-10,12.07,12.51,11.92,12.29,4798282,MBLY
2024-10-09,12.2,12.645,12.04,12.07,4227777,MBLY
2024-10-08,12.13,12.79,12.04,12.24,5946269,MBLY
2024-10-07,12.28,12.61,12.04,12.33,5850749,MBLY
2024-10-04,12.58,13.0,12.53,12.93,5163522,MBLY
2024-10-03,13.13,13.17,12.23,12.39,7497033,MBLY
2024-10-02,12.88,13.39,12.58,13.28,4910690,MBLY
2024-10-01,13.79,14.04,13.23,13.44,5150731,MBLY
2024-09-30,14.03,14.52,13.58,13.7,5021124,MBLY
2024-09-27,14.12,14.85,13.93,14.39,8440177,MBLY
2024-09-26,13.3,14.085,12.97,13.78,11503092,MBLY
2024-09-25,12.91,13.09,12.44,12.47,5828213,MBLY
2024-09-24,12.69,13.33,12.58,13.1,8291657,MBLY
2024-09-23,12.7,13.06,12.29,12.34,8655878,MBLY
2024-09-20,13.15,13.32,11.81,12.38,17404188,MBLY
2024-09-19,12.85,13.79,12.65,13.35,18141409,MBLY
2024-09-18,11.88,12.365,11.57,11.61,6163475,MBLY
2024-09-17,12.1,12.3,11.67,11.84,7878728,MBLY
2024-09-16,10.77,11.43,10.62,11.42,4520394,MBLY
2024-09-13,10.54,11.02,10.5,10.91,5217960,MBLY
2024-09-12,10.85,10.92,10.48,10.57,6197830,MBLY
2024-09-11,10.88,11.11,10.48,10.84,6696028,MBLY
2024-09-10,11.2,11.355,10.55,10.8,7632628,MBLY
2024-09-09,11.615,12.09,11.055,11.15,7224341,MBLY
