Date,open,high,low,close,volume,symbol
2025-02-27,1.25,1.3,1.19,1.3,13752,PETZ
2025-02-26,1.4,1.4,1.24,1.34,25674,PETZ
2025-02-25,1.2299,1.36,1.2,1.32,102891,PETZ
2025-02-24,1.14,1.239,1.14,1.17,7620,PETZ
2025-02-21,1.19,1.233,1.15,1.15,13606,PETZ
2025-02-20,1.19,1.19,1.17,1.1777,7861,PETZ
2025-02-19,1.16,1.215,1.16,1.215,1035,PETZ
2025-02-18,1.14,1.2318,1.14,1.22,5156,PETZ
2025-02-14,1.14,1.2199,1.14,1.1945,4365,PETZ
2025-02-13,1.19,1.21,1.19,1.21,995,PETZ
2025-02-12,1.19,1.19,1.1899,1.19,1693,PETZ
2025-02-11,1.2,1.2,1.18,1.18,2574,PETZ
2025-02-10,1.13,1.2292,1.13,1.16,3921,PETZ
2025-02-07,1.2,1.23,1.15,1.15,4692,PETZ
2025-02-06,1.16,1.2393,1.16,1.21,9928,PETZ
2025-02-05,1.1883,1.1883,1.146,1.155,1961,PETZ
2025-02-04,1.1745,1.25,1.14,1.19,5527,PETZ
2025-02-03,1.16,1.2,1.16,1.2,4610,PETZ
2025-01-31,1.2413,1.2413,1.1307,1.19,6081,PETZ
2025-01-30,1.21,1.21,1.18,1.18,5729,PETZ
2025-01-29,1.16,1.28,1.16,1.27,10721,PETZ
2025-01-28,1.18,1.18,1.18,1.18,1323,PETZ
2025-01-27,1.16,1.17,1.1458,1.17,7568,PETZ
2025-01-24,1.18,1.18,1.18,1.18,1042,PETZ
2025-01-23,1.2,1.2,1.16,1.18,5576,PETZ
2025-01-22,1.17,1.21,1.16,1.2099,4029,PETZ
2025-01-21,1.13,1.27,1.13,1.25,39323,PETZ
2025-01-17,1.16,1.2038,1.16,1.16,5314,PETZ
2025-01-16,1.14,1.17,1.14,1.17,3848,PETZ
2025-01-15,1.19,1.195,1.14,1.15,16482,PETZ
2025-01-14,1.19,1.24,1.18,1.18,898,PETZ
2025-01-13,1.225,1.2318,1.18,1.2318,2047,PETZ
2025-01-10,1.24,1.25,1.1872,1.2402,7283,PETZ
2025-01-08,1.18,1.2,1.18,1.1821,4769,PETZ
2025-01-07,1.245,1.245,1.193,1.21,2736,PETZ
2025-01-06,1.17,1.28,1.17,1.2,18411,PETZ
2025-01-03,1.24,1.3099,1.15,1.23,35780,PETZ
2025-01-02,1.24,1.2958,1.22,1.241,6066,PETZ
2024-12-31,1.41,1.41,1.24,1.25,37655,PETZ
2024-12-30,1.12,1.47,1.12,1.45,140630,PETZ
2024-12-27,1.1606,1.2,1.14,1.1997,8146,PETZ
2024-12-26,1.2,1.22,1.15,1.2,15574,PETZ
2024-12-24,1.1418,1.2,1.14,1.15,6275,PETZ
2024-12-23,1.1397,1.1397,1.1133,1.12,3264,PETZ
2024-12-20,1.1609,1.1609,1.11,1.1215,7241,PETZ
2024-12-19,1.111,1.14,1.111,1.14,3339,PETZ
2024-12-18,1.11,1.19,1.11,1.15,9227,PETZ
2024-12-17,1.2,1.26,1.1,1.13,111337,PETZ
2024-12-16,1.15,1.19,1.12,1.19,5817,PETZ
2024-12-13,1.131,1.131,1.13,1.13,2975,PETZ
2024-12-12,1.2,1.2,1.1189,1.1189,1010,PETZ
2024-12-11,1.2,1.2,1.15,1.15,2509,PETZ
2024-12-10,1.16,1.1999,1.1,1.1948,16754,PETZ
2024-12-09,1.13,1.1899,1.13,1.17,7246,PETZ
2024-12-06,1.17,1.2338,1.17,1.19,3562,PETZ
2024-12-05,1.192,1.192,1.12,1.17,26044,PETZ
