Date,open,high,low,close,volume,symbol
2025-02-27,182.44,182.5,178.85,178.94,8412233,QUAL
2025-02-26,181.94,183.0615,180.87,181.54,897943,QUAL
2025-02-25,181.65,182.5,180.51,181.83,1313351,QUAL
2025-02-24,183.25,183.63,181.89,182.02,899039,QUAL
2025-02-21,185.61,185.61,182.56,182.6,1060831,QUAL
2025-02-20,185.91,186.14,184.899,185.7,913591,QUAL
2025-02-19,185.25,186.21,185.0109,186.21,890499,QUAL
2025-02-18,185.53,185.59,184.68,185.575,1277034,QUAL
2025-02-14,185.69,185.89,185.0707,185.11,752058,QUAL
2025-02-13,184.31,185.83,184.05,185.8,1739671,QUAL
2025-02-12,182.51,184.01,182.37,183.85,963841,QUAL
2025-02-11,183.57,184.7,183.57,184.42,681936,QUAL
2025-02-10,183.96,184.33,183.64,184.245,1096924,QUAL
2025-02-07,184.69,184.965,182.78,182.91,1001044,QUAL
2025-02-06,184.21,184.74,183.42,184.36,1305343,QUAL
2025-02-05,182.82,184.16,182.26,184.12,1862421,QUAL
2025-02-04,182.19,183.52,182.02,183.32,807128,QUAL
2025-02-03,180.63,183.27,180.23,182.46,1249921,QUAL
2025-01-31,185.47,185.85,183.23,183.36,2191739,QUAL
2025-01-30,183.79,185.27,183.71,184.86,1429639,QUAL
2025-01-29,183.66,183.7719,182.44,183.15,3288643,QUAL
2025-01-28,182.65,184.18,181.9399,183.71,905831,QUAL
2025-01-27,180.52,182.59,180.48,182.55,677694,QUAL
2025-01-24,184.71,184.84,183.81,184.1,775241,QUAL
2025-01-23,183.24,184.66,183.17,184.61,1208924,QUAL
2025-01-22,183.42,184.21,183.15,183.72,902156,QUAL
2025-01-21,181.52,182.2997,181.21,182.14,1063146,QUAL
2025-01-17,181.14,181.35,180.43,180.69,1840488,QUAL
2025-01-16,179.9,180.41,179.26,179.47,869906,QUAL
2025-01-15,178.86,179.9075,178.705,179.445,1138177,QUAL
2025-01-14,177.33,177.34,175.25,176.64,1012081,QUAL
2025-01-13,175.19,176.74,174.8496,176.65,1901119,QUAL
2025-01-10,177.85,178.105,176.02,176.35,1261973,QUAL
2025-01-08,178.54,179.25,177.93,178.99,2389426,QUAL
2025-01-07,180.71,181.1,178.0999,178.64,893835,QUAL
2025-01-06,180.23,181.335,179.56,180.0,1500945,QUAL
2025-01-03,178.3,179.6028,178.01,179.3,760734,QUAL
2025-01-02,179.0,179.77,176.47,177.61,1252182,QUAL
2024-12-31,179.12,179.2482,177.69,178.08,2818779,QUAL
2024-12-30,178.615,179.62,177.4724,178.58,681161,QUAL
2024-12-27,181.33,181.34,179.33,180.52,700753,QUAL
2024-12-26,181.58,182.5,181.3922,182.25,557561,QUAL
2024-12-24,181.0,182.19,180.7,182.14,442276,QUAL
2024-12-23,179.68,180.88,178.6199,180.79,1037119,QUAL
2024-12-20,177.29,181.1299,177.02,179.43,1271403,QUAL
2024-12-19,179.4,179.72,177.7,177.71,1380366,QUAL
2024-12-18,182.92,183.59,177.8,177.92,1295119,QUAL
2024-12-17,182.71,183.18,182.3101,182.69,798171,QUAL
2024-12-16,184.33,184.8299,183.84,183.91,1977031,QUAL
2024-12-13,184.73,185.06,183.5914,183.96,955346,QUAL
2024-12-12,185.53,185.56,184.725,184.74,629787,QUAL
2024-12-11,185.82,186.66,185.695,186.12,704069,QUAL
2024-12-10,185.81,185.9464,184.92,185.15,1005810,QUAL
2024-12-09,186.52,186.52,185.41,185.57,1079548,QUAL
2024-12-06,186.6,187.26,186.46,186.46,752740,QUAL
2024-12-05,187.02,187.02,185.91,186.06,1031460,QUAL
2024-12-04,186.56,187.02,186.24,186.85,860990,QUAL
2024-12-03,185.81,186.18,185.3415,186.02,675883,QUAL
2024-12-02,185.32,186.005,185.1028,185.98,961004,QUAL
2024-11-29,184.81,185.66,184.51,185.29,553430,QUAL
2024-11-27,184.56,184.74,183.84,184.25,630149,QUAL
2024-11-26,184.18,184.75,183.82,184.55,865035,QUAL
2024-11-25,183.68,184.32,182.73,183.75,2910569,QUAL
2024-11-22,182.04,183.09,182.04,182.75,742227,QUAL
2024-11-21,181.52,182.48,180.135,182.08,934241,QUAL
2024-11-20,180.7,181.0299,179.13,180.89,1847226,QUAL
2024-11-19,178.9,180.6199,178.65,180.4,817984,QUAL
2024-11-18,179.38,180.4,178.97,179.98,959344,QUAL
2024-11-15,181.3,181.3,179.18,179.56,1164884,QUAL
2024-11-14,183.73,183.73,182.34,182.55,1272496,QUAL
2024-11-13,184.07,184.31,183.15,183.62,1084568,QUAL
2024-11-12,184.35,184.67,183.35,184.07,903814,QUAL
2024-11-11,184.7,184.86,183.91,184.25,1005623,QUAL
2024-11-08,184.05,185.01,183.9253,184.42,1784407,QUAL
2024-11-07,182.73,184.25,182.73,183.98,1169590,QUAL
2024-11-06,182.31,182.49,180.54,182.26,1038650,QUAL
2024-11-05,177.13,178.69,177.01,178.69,828545,QUAL
2024-11-04,177.03,177.75,176.44,176.89,820471,QUAL
2024-11-01,177.04,178.1199,176.64,177.085,765603,QUAL
2024-10-31,178.87,178.87,176.42,176.42,1933215,QUAL
2024-10-30,179.73,180.69,179.055,179.62,795964,QUAL
2024-10-29,179.85,180.95,179.2834,180.55,697241,QUAL
2024-10-28,180.6,180.71,179.99,180.09,566145,QUAL
2024-10-25,180.67,181.43,179.61,179.76,578511,QUAL
2024-10-24,180.23,180.28,179.16,179.72,708796,QUAL
2024-10-23,180.81,180.99,178.79,179.85,711547,QUAL
2024-10-22,181.17,181.8599,180.87,181.38,654966,QUAL
2024-10-21,182.05,182.45,181.2134,181.97,717273,QUAL
2024-10-18,182.35,182.5899,181.98,182.42,558195,QUAL
2024-10-17,183.05,183.085,181.61,181.61,763470,QUAL
2024-10-16,181.11,182.02,180.57,181.91,836110,QUAL
2024-10-15,182.87,182.99,180.58,180.94,673296,QUAL
2024-10-14,181.99,183.43,181.87,183.19,511314,QUAL
2024-10-11,180.345,181.64,180.345,181.43,840616,QUAL
2024-10-10,180.2,180.62,179.68,180.26,757274,QUAL
2024-10-09,179.47,180.75,179.39,180.55,1034566,QUAL
2024-10-08,178.25,179.57,178.25,179.38,891907,QUAL
2024-10-07,178.69,178.91,177.32,177.59,1077242,QUAL
2024-10-04,179.41,179.57,177.89,179.21,744957,QUAL
2024-10-03,177.95,178.85,177.63,178.36,802753,QUAL
2024-10-02,177.73,178.67,176.98,178.44,725241,QUAL
2024-10-01,179.19,179.47,177.23,178.14,1619569,QUAL
2024-09-30,178.3,179.39,177.54,179.3,1017298,QUAL
2024-09-27,179.39,179.64,178.41,178.69,916768,QUAL
2024-09-26,179.67,180.0,178.33,179.09,789909,QUAL
2024-09-25,178.5,178.84,177.89,178.28,1260694,QUAL
2024-09-24,179.42,179.42,178.19,179.09,673049,QUAL
2024-09-23,178.75,179.23,178.43,179.03,634405,QUAL
2024-09-20,178.82,178.8468,177.87,178.4,670699,QUAL
2024-09-19,179.07,179.6609,178.545,178.98,777332,QUAL
2024-09-18,177.3,178.61,176.19,176.37,1093526,QUAL
2024-09-17,177.82,178.06,176.49,177.14,731052,QUAL
2024-09-16,176.76,177.24,176.11,177.16,620836,QUAL
2024-09-13,176.29,177.26,175.93,176.82,589843,QUAL
2024-09-12,175.21,176.13,174.15,176.06,793446,QUAL
2024-09-11,173.05,175.05,170.24,174.79,1938881,QUAL
2024-09-10,172.91,173.18,171.53,172.99,1145785,QUAL
2024-09-09,171.88,172.99,171.51,172.56,865258,QUAL
2024-09-06,173.05,173.575,170.2941,170.66,1176714,QUAL
2024-09-05,173.55,173.845,171.91,172.71,2281343,QUAL
2024-09-04,173.22,174.55,173.18,173.72,713087,QUAL
2024-09-03,177.02,177.02,173.18,173.95,1037940,QUAL
2024-08-30,177.09,177.89,175.7,177.78,655295,QUAL
2024-08-29,177.01,178.1401,176.11,176.42,1046449,QUAL
2024-08-28,177.73,177.78,175.38,176.4,668289,QUAL
2024-08-27,176.47,177.869,176.405,177.76,561977,QUAL
2024-08-26,177.57,177.93,176.67,177.12,829254,QUAL
2024-08-23,176.82,177.71,175.93,177.38,674656,QUAL
2024-08-22,177.36,177.755,175.39,175.77,694982,QUAL
2024-08-21,176.39,177.4497,176.24,177.14,1155673,QUAL
2024-08-20,175.96,176.57,175.41,175.87,829640,QUAL
2024-08-19,174.78,175.93,174.24,175.91,557677,QUAL
2024-08-16,174.1,174.98,173.82,174.63,904630,QUAL
2024-08-15,173.22,174.66,173.18,174.53,619436,QUAL
2024-08-14,171.41,171.88,170.42,171.47,925355,QUAL
2024-08-13,169.41,171.09,169.23,171.05,587360,QUAL
2024-08-12,168.68,169.31,167.72,168.54,744376,QUAL
2024-08-09,167.22,168.75,166.95,168.26,700263,QUAL
2024-08-08,164.66,167.43,164.5,167.24,641667,QUAL
2024-08-07,166.07,167.12,162.91,163.04,819881,QUAL
2024-08-06,163.64,166.745,163.09,164.39,1777773,QUAL
2024-08-05,160.74,164.83,160.74,162.64,1538242,QUAL
2024-08-02,167.78,168.67,166.08,167.52,1076019,QUAL
2024-08-01,172.65,173.59,168.67,169.86,1331956,QUAL
2024-07-31,171.34,172.53,170.795,171.78,1807232,QUAL
2024-07-30,169.9,170.325,167.54,168.65,821201,QUAL
2024-07-29,170.0,170.22,168.82,169.34,697854,QUAL
2024-07-26,168.61,170.3,168.47,169.36,914083,QUAL
2024-07-25,168.42,170.0053,166.86,167.2,1081137,QUAL
2024-07-24,170.99,171.13,168.19,168.47,1101717,QUAL
2024-07-23,173.02,173.31,172.37,172.49,812424,QUAL
2024-07-22,172.32,173.23,171.73,173.09,803049,QUAL
2024-07-19,172.24,172.82,170.6,170.78,547375,QUAL
2024-07-18,173.93,174.21,171.42,172.07,1188138,QUAL
2024-07-17,174.01,174.46,173.22,173.22,1965449,QUAL
2024-07-16,175.46,176.15,175.21,176.08,957429,QUAL
2024-07-15,175.09,175.88,174.32,174.98,977758,QUAL
2024-07-12,173.45,175.62,173.42,174.32,784827,QUAL
2024-07-11,174.77,174.89,173.04,173.05,861376,QUAL
2024-07-10,173.61,174.74,173.165,174.66,897012,QUAL
2024-07-09,173.73,173.77,173.14,173.29,958714,QUAL
2024-07-08,173.85,173.85,172.81,173.23,779689,QUAL
2024-07-05,172.36,173.54,172.07,173.41,976678,QUAL
2024-07-03,171.48,172.32,171.34,172.21,674073,QUAL
2024-07-02,169.96,171.5,169.85,171.46,1169848,QUAL
2024-07-01,171.03,171.07,169.56,170.43,1055756,QUAL
2024-06-28,171.71,172.63,170.28,170.76,1007535,QUAL
2024-06-27,171.89,172.27,171.3,171.74,1607028,QUAL
2024-06-26,171.84,172.03,171.19,171.84,760176,QUAL
2024-06-25,171.99,172.31,171.4419,172.21,692802,QUAL
2024-06-24,171.99,172.71,171.395,171.43,800123,QUAL
2024-06-21,172.11,172.525,171.68,172.05,930496,QUAL
2024-06-20,173.73,173.82,171.9,172.42,1036072,QUAL
2024-06-18,172.75,173.31,172.5974,173.19,1471727,QUAL
2024-06-17,171.11,172.948,170.68,172.49,813786,QUAL
2024-06-14,170.62,171.13,170.24,171.13,976529,QUAL
2024-06-13,170.61,171.11,169.7354,170.86,986905,QUAL
2024-06-12,170.96,171.319,170.01,170.4,1129920,QUAL
2024-06-11,168.27,169.32,167.47,169.26,982460,QUAL
2024-06-10,167.95,168.92,167.66,168.83,1002357,QUAL
2024-06-07,168.18,169.15,167.72,168.15,828662,QUAL
2024-06-06,168.575,168.63,167.83,168.33,1597906,QUAL
2024-06-05,167.245,168.4,166.57,168.4,776656,QUAL
2024-06-04,165.67,166.52,165.17,166.29,973065,QUAL
2024-06-03,166.61,166.61,164.4,165.89,1064881,QUAL
2024-05-31,165.16,165.83,163.09,165.74,896049,QUAL
2024-05-30,165.365,165.54,164.27,164.69,618553,QUAL
2024-05-29,165.2,166.06,165.2,165.6,976395,QUAL
2024-05-28,167.36,167.36,166.01,166.93,753734,QUAL
2024-05-24,165.99,166.8,165.68,166.52,630482,QUAL
2024-05-23,167.14,167.26,164.875,165.34,762475,QUAL
2024-05-22,166.18,166.2201,165.08,165.74,754471,QUAL
2024-05-21,165.88,166.31,165.76,166.25,777098,QUAL
2024-05-20,165.52,166.45,165.52,166.1,490582,QUAL
2024-05-17,165.66,165.72,164.89,165.54,914194,QUAL
2024-05-16,166.25,166.6199,165.525,165.57,1035022,QUAL
2024-05-15,164.36,166.31,164.3,166.21,1216630,QUAL
2024-05-14,162.87,163.72,162.67,163.56,940530,QUAL
2024-05-13,163.43,163.43,162.52,162.84,869366,QUAL
2024-05-10,162.94,163.41,162.53,162.94,946580,QUAL
2024-05-09,161.95,162.44,161.61,162.39,738313,QUAL
2024-05-08,161.45,162.19,161.37,161.86,852555,QUAL
2024-05-07,161.72,162.34,161.51,161.86,1449613,QUAL
2024-05-06,160.0,161.34,159.75,161.34,1093253,QUAL
