Date,open,high,low,close,volume,symbol
2025-02-27,8.08,8.22,7.77,7.78,171406,RAIL
2025-02-26,7.82,8.44,7.74,7.97,224847,RAIL
2025-02-25,8.04,8.13,7.625,7.72,319078,RAIL
2025-02-24,8.8,8.9641,8.04,8.12,417216,RAIL
2025-02-21,9.32,9.4209,8.66,8.755,318448,RAIL
2025-02-20,9.71,9.86,9.335,9.38,158066,RAIL
2025-02-19,10.63,10.63,9.71,9.85,217809,RAIL
2025-02-18,11.11,11.17,10.35,10.38,288805,RAIL
2025-02-14,11.81,11.9,11.01,11.17,228067,RAIL
2025-02-13,12.4,12.4392,11.78,11.92,172681,RAIL
2025-02-12,12.48,12.8,11.69,12.52,181991,RAIL
2025-02-11,13.03,13.1,12.68,12.7,114223,RAIL
2025-02-10,12.69,13.07,12.5156,13.05,131524,RAIL
2025-02-07,13.46,13.46,12.3902,12.56,167958,RAIL
2025-02-06,12.84,13.43,12.8,13.33,219133,RAIL
2025-02-05,12.28,13.14,12.2512,12.77,225615,RAIL
2025-02-04,11.82,12.23,11.7,12.21,97942,RAIL
2025-02-03,11.71,12.175,11.5,11.82,149317,RAIL
2025-01-31,12.12,12.73,12.05,12.21,146068,RAIL
2025-01-30,12.3,12.7056,12.05,12.11,103088,RAIL
2025-01-29,12.02,12.25,11.71,12.1,93781,RAIL
2025-01-28,11.99,12.23,11.83,12.01,105404,RAIL
2025-01-27,12.81,12.81,11.7,11.95,224160,RAIL
2025-01-24,13.46,13.64,12.73,13.15,183321,RAIL
2025-01-23,12.62,13.6399,12.365,13.41,278035,RAIL
2025-01-22,12.32,12.8499,12.11,12.68,229637,RAIL
2025-01-21,11.84,12.7619,11.53,12.33,251705,RAIL
2025-01-17,12.31,12.64,12.1027,12.37,154208,RAIL
2025-01-16,11.14,12.48,11.14,12.2,285200,RAIL
2025-01-15,10.8,11.11,10.69,11.08,166072,RAIL
2025-01-14,10.36,10.9,10.262,10.73,207795,RAIL
2025-01-13,9.76,10.39,9.49,10.2,131700,RAIL
2025-01-10,9.76,10.03,9.55,10.0,114904,RAIL
2025-01-08,10.11,10.13,9.48,10.0,174838,RAIL
2025-01-07,10.27,10.46,9.6434,10.28,148757,RAIL
2025-01-06,10.35,10.68,9.9132,10.24,255792,RAIL
2025-01-03,9.6,10.5499,9.6,10.21,327488,RAIL
2025-01-02,9.18,9.6,9.11,9.54,218730,RAIL
2024-12-31,9.24,9.36,8.85,8.96,103576,RAIL
2024-12-30,9.02,9.28,8.905,9.25,84691,RAIL
2024-12-27,9.48,9.55,9.125,9.23,112527,RAIL
2024-12-26,8.86,9.62,8.672,9.55,166874,RAIL
2024-12-24,8.89,8.95,8.69,8.9,73627,RAIL
2024-12-23,8.89,8.96,8.67,8.88,116285,RAIL
2024-12-20,8.65,9.22,8.65,8.88,155720,RAIL
2024-12-19,8.97,9.468,8.8,8.83,148257,RAIL
2024-12-18,9.52,9.63,8.74,8.79,257754,RAIL
2024-12-17,10.26,10.26,9.28,9.56,286306,RAIL
2024-12-16,10.35,10.67,9.9536,10.29,264374,RAIL
2024-12-13,10.0,10.98,9.98,10.34,383245,RAIL
2024-12-12,9.67,10.17,9.55,9.98,233346,RAIL
2024-12-11,9.64,9.85,9.535,9.75,102059,RAIL
2024-12-10,9.2,9.665,9.15,9.52,127362,RAIL
2024-12-09,9.6,9.81,9.14,9.24,232874,RAIL
2024-12-06,9.87,9.92,9.09,9.55,262963,RAIL
2024-12-05,9.99,10.17,9.8,9.8,133023,RAIL
2024-12-04,10.36,10.48,9.9204,10.03,182407,RAIL
2024-12-03,10.51,11.05,10.12,10.28,396310,RAIL
2024-12-02,9.8,10.5,9.68,10.35,404946,RAIL
2024-11-29,9.88,10.17,9.72,9.8,191313,RAIL
2024-11-27,10.15,10.15,9.5,9.83,183620,RAIL
2024-11-26,9.6,10.1048,9.44,10.01,299246,RAIL
2024-11-25,9.45,9.67,8.7101,9.65,561623,RAIL
2024-11-22,9.66,9.92,9.17,9.45,463601,RAIL
2024-11-21,10.43,10.43,9.5404,9.65,598073,RAIL
2024-11-20,10.82,11.115,10.36,10.51,304306,RAIL
2024-11-19,9.42,10.84,9.42,10.84,689053,RAIL
2024-11-18,9.8,10.29,9.41,9.43,585932,RAIL
2024-11-15,10.46,10.69,9.82,9.9,459452,RAIL
2024-11-14,9.85,10.95,9.55,10.39,647862,RAIL
2024-11-13,10.5,10.5,9.17,9.86,1313613,RAIL
2024-11-12,12.8,12.88,9.34,10.17,2478588,RAIL
2024-11-11,15.94,16.1,15.38,15.71,681945,RAIL
2024-11-08,14.69,15.56,14.2501,15.23,843327,RAIL
2024-11-07,13.12,14.72,12.95,14.57,796145,RAIL
2024-11-06,12.93,13.7093,12.63,13.1,471037,RAIL
2024-11-05,12.4,12.6385,12.14,12.46,239712,RAIL
2024-11-04,13.72,13.72,12.05,12.34,518057,RAIL
2024-11-01,14.42,14.98,13.62,13.67,391138,RAIL
