Date,open,high,low,close,volume,symbol
2025-02-27,24.4,24.4,24.0075,24.0075,1072,RNEW
2025-02-26,24.3151,24.3151,24.3151,24.3151,1109,RNEW
2025-02-25,24.37,24.3858,24.37,24.3858,527,RNEW
2025-02-24,24.6,24.6,24.6,24.6,140,RNEW
2025-02-21,25.31,25.31,24.96,24.96,175,RNEW
2025-02-20,25.18,25.5535,25.18,25.5535,212,RNEW
2025-02-19,25.65,25.65,25.5846,25.5846,238,RNEW
2025-02-18,25.35,25.623,25.35,25.623,542,RNEW
2025-02-14,25.3183,25.3183,25.3183,25.3183,230,RNEW
2025-02-13,24.79,25.127,24.79,25.127,597,RNEW
2025-02-12,24.63,24.64,24.63,24.64,712,RNEW
2025-02-11,24.98,24.98,24.7788,24.7788,111,RNEW
2025-02-10,25.11,25.12,25.1,25.1036,5005,RNEW
2025-02-07,25.0491,25.0491,25.0491,25.0491,139,RNEW
2025-02-06,25.44,25.44,25.3385,25.3385,278,RNEW
2025-02-05,25.412,25.412,25.412,25.412,79,RNEW
2025-02-04,25.42,25.42,25.3978,25.3978,276,RNEW
2025-02-03,25.31,25.31,25.29,25.29,586,RNEW
2025-01-31,25.65,25.65,25.2972,25.2972,377,RNEW
2025-01-30,25.31,25.4567,25.31,25.4567,329,RNEW
2025-01-29,25.15,25.15,24.9273,24.9273,237,RNEW
2025-01-28,24.9919,24.9919,24.9919,24.9919,4,RNEW
2025-01-27,25.31,25.31,25.18,25.18,237,RNEW
2025-01-24,25.83,25.91,25.8194,25.8194,877,RNEW
2025-01-23,25.3,25.7284,25.3,25.7284,373,RNEW
2025-01-22,25.8,25.8,25.473,25.473,188,RNEW
2025-01-21,26.16,26.22,26.16,26.22,278,RNEW
2025-01-17,26.5,26.5,26.27,26.27,334,RNEW
2025-01-16,26.2445,26.2445,26.2445,26.2445,41,RNEW
2025-01-15,26.0,26.04,25.8943,25.8943,283,RNEW
2025-01-14,25.35,25.49,25.35,25.4879,203,RNEW
2025-01-13,25.3505,25.3505,25.3505,25.3505,60,RNEW
2025-01-10,25.26,25.3974,25.26,25.3974,1411,RNEW
2025-01-08,25.68,25.7159,25.68,25.7159,162,RNEW
2025-01-07,26.36,26.36,26.1084,26.1084,198,RNEW
2025-01-06,26.54,26.54,26.2194,26.2194,594,RNEW
2025-01-03,26.0,26.1649,26.0,26.1649,1522,RNEW
2025-01-02,25.38,25.39,25.38,25.39,109,RNEW
2024-12-31,25.39,25.39,25.1128,25.1128,318,RNEW
2024-12-30,25.19,25.31,25.19,25.31,236,RNEW
