Date,open,high,low,close,volume,symbol
2025-02-27,2.25,2.28,2.175,2.2,226267,SEER
2025-02-26,2.22,2.37,2.22,2.28,326602,SEER
2025-02-25,2.26,2.29,2.18,2.25,279956,SEER
2025-02-24,2.26,2.315,2.23,2.23,296830,SEER
2025-02-21,2.29,2.36,2.225,2.26,310904,SEER
2025-02-20,2.34,2.38,2.24,2.29,551659,SEER
2025-02-19,2.26,2.36,2.26,2.34,227053,SEER
2025-02-18,2.3,2.39,2.29,2.3,153319,SEER
2025-02-14,2.31,2.365,2.27,2.31,269366,SEER
2025-02-13,2.25,2.33,2.21,2.31,207897,SEER
2025-02-12,2.21,2.328,2.1918,2.25,363340,SEER
2025-02-11,2.29,2.3099,2.22,2.26,246642,SEER
2025-02-10,2.26,2.3,2.22,2.3,241094,SEER
2025-02-07,2.3,2.36,2.245,2.26,175272,SEER
2025-02-06,2.29,2.33,2.26,2.33,128141,SEER
2025-02-05,2.28,2.345,2.22,2.28,73514,SEER
2025-02-04,2.23,2.29,2.21,2.28,173061,SEER
2025-02-03,2.31,2.33,2.26,2.26,263964,SEER
2025-01-31,2.33,2.39,2.33,2.39,160161,SEER
2025-01-30,2.31,2.38,2.305,2.36,87249,SEER
2025-01-29,2.35,2.39,2.29,2.33,201932,SEER
2025-01-28,2.39,2.4,2.35,2.38,67312,SEER
2025-01-27,2.35,2.4189,2.32,2.39,97785,SEER
2025-01-24,2.4,2.438,2.33,2.39,231031,SEER
2025-01-23,2.34,2.42,2.32,2.41,122937,SEER
2025-01-22,2.34,2.4,2.34,2.37,81581,SEER
2025-01-21,2.33,2.415,2.325,2.36,171549,SEER
2025-01-17,2.33,2.3404,2.26,2.29,118351,SEER
2025-01-16,2.33,2.34,2.27,2.31,86663,SEER
2025-01-15,2.31,2.37,2.29,2.32,90610,SEER
2025-01-14,2.34,2.35,2.23,2.29,188226,SEER
2025-01-13,2.38,2.41,2.31,2.32,159674,SEER
2025-01-10,2.38,2.4,2.305,2.4,158204,SEER
2025-01-08,2.43,2.45,2.334,2.41,217395,SEER
2025-01-07,2.44,2.49,2.39,2.45,160683,SEER
2025-01-06,2.45,2.49,2.38,2.41,309815,SEER
2025-01-03,2.34,2.495,2.295,2.47,200629,SEER
2025-01-02,2.33,2.43,2.3,2.33,139864,SEER
2024-12-31,2.27,2.325,2.235,2.31,374415,SEER
2024-12-30,2.22,2.31,2.145,2.27,386067,SEER
2024-12-27,2.15,2.2863,2.15,2.26,239857,SEER
2024-12-26,2.2,2.24,2.17,2.19,258353,SEER
2024-12-24,2.22,2.28,2.21,2.21,142824,SEER
2024-12-23,2.3,2.33,2.25,2.25,147031,SEER
2024-12-20,2.31,2.365,2.28,2.31,218671,SEER
2024-12-19,2.26,2.33,2.2025,2.32,172528,SEER
2024-12-18,2.36,2.375,2.235,2.27,233897,SEER
2024-12-17,2.48,2.51,2.31,2.36,316189,SEER
2024-12-16,2.45,2.52,2.4248,2.48,125625,SEER
2024-12-13,2.46,2.48,2.4045,2.47,127720,SEER
2024-12-12,2.51,2.51,2.4125,2.46,178327,SEER
2024-12-11,2.55,2.59,2.45,2.52,328069,SEER
2024-12-10,2.48,2.575,2.43,2.55,232234,SEER
2024-12-09,2.45,2.515,2.41,2.47,239495,SEER
2024-12-06,2.47,2.5,2.41,2.48,160144,SEER
2024-12-05,2.49,2.5,2.37,2.45,165007,SEER
2024-12-04,2.54,2.58,2.45,2.47,200410,SEER
2024-12-03,2.52,2.54,2.47,2.53,100427,SEER
2024-12-02,2.47,2.53,2.405,2.53,168742,SEER
2024-11-29,2.52,2.545,2.46,2.47,41258,SEER
2024-11-27,2.48,2.625,2.46,2.5,291590,SEER
2024-11-26,2.35,2.5,2.331,2.48,319572,SEER
2024-11-25,2.41,2.475,2.38,2.38,367136,SEER
2024-11-22,2.38,2.53,2.23,2.43,257693,SEER
2024-11-21,2.3,2.429,2.3,2.38,186478,SEER
2024-11-20,2.28,2.33,2.23,2.29,261871,SEER
2024-11-19,2.3,2.35,2.27,2.28,299299,SEER
2024-11-18,2.22,2.33,2.22,2.31,264186,SEER
2024-11-15,2.39,2.395,2.265,2.31,492426,SEER
2024-11-14,2.32,2.5,2.28,2.42,538837,SEER
2024-11-13,2.29,2.335,2.2105,2.31,301679,SEER
2024-11-12,2.2,2.28,2.18,2.26,264214,SEER
2024-11-11,2.39,2.4599,2.15,2.24,598347,SEER
2024-11-08,2.22,2.38,2.22,2.38,431800,SEER
2024-11-07,2.02,2.265,2.02,2.22,653253,SEER
2024-11-06,2.08,2.08,2.01,2.07,289046,SEER
2024-11-05,2.01,2.05,2.0,2.03,223309,SEER
2024-11-04,1.9,2.04,1.9,2.02,150335,SEER
2024-11-01,1.91,1.935,1.89,1.9,57837,SEER
2024-10-31,1.96,1.96,1.89,1.9,75084,SEER
2024-10-30,1.96,1.99,1.955,1.98,179107,SEER
2024-10-29,1.94,2.03,1.935,1.98,252062,SEER
2024-10-28,1.89,2.0,1.88,1.94,243018,SEER
2024-10-25,1.87,1.906,1.85,1.87,117208,SEER
2024-10-24,1.85,1.865,1.82,1.85,131572,SEER
2024-10-23,1.84,1.8801,1.83,1.84,78652,SEER
2024-10-22,1.9,1.9199,1.835,1.86,142487,SEER
2024-10-21,1.91,1.95,1.895,1.91,309915,SEER
2024-10-18,1.93,1.95,1.92,1.93,82038,SEER
2024-10-17,1.95,1.99,1.93,1.94,180890,SEER
2024-10-16,2.0,2.0,1.93,1.98,107639,SEER
2024-10-15,1.98,2.01,1.965,1.97,127723,SEER
2024-10-14,1.96,2.02,1.945,1.99,313358,SEER
2024-10-11,1.94,1.995,1.91,1.98,281306,SEER
2024-10-10,1.95,1.955,1.88,1.92,162363,SEER
2024-10-09,1.98,2.02,1.96,1.98,185822,SEER
2024-10-08,1.93,1.9899,1.9,1.94,191326,SEER
2024-10-07,2.02,2.02,1.9,1.94,204476,SEER
2024-10-04,1.91,2.04,1.91,2.0,421362,SEER
2024-10-03,1.9,1.95,1.87,1.94,209195,SEER
2024-10-02,1.91,1.92,1.885,1.9,247185,SEER
2024-10-01,1.97,1.975,1.9,1.94,357579,SEER
2024-09-30,1.94,2.0,1.94,1.97,303506,SEER
2024-09-27,1.85,1.99,1.85,1.955,716479,SEER
2024-09-26,1.715,1.81,1.7,1.785,553941,SEER
2024-09-25,1.72,1.74,1.7,1.71,348073,SEER
2024-09-24,1.74,1.755,1.71,1.74,460924,SEER
2024-09-23,1.76,1.77,1.71,1.75,269615,SEER
2024-09-20,1.75,1.77,1.68,1.72,557353,SEER
2024-09-19,1.78,1.805,1.75,1.76,250210,SEER
2024-09-18,1.74,1.8055,1.73,1.77,502785,SEER
2024-09-17,1.68,1.74,1.665,1.72,450834,SEER
2024-09-16,1.7,1.745,1.645,1.68,641815,SEER
2024-09-13,1.66,1.73,1.655,1.69,172218,SEER
2024-09-12,1.61,1.67,1.61,1.64,124289,SEER
2024-09-11,1.6,1.65,1.585,1.61,138002,SEER
2024-09-10,1.61,1.63,1.59,1.59,259592,SEER
2024-09-09,1.65,1.67,1.61,1.62,171489,SEER
