Date,open,high,low,close,volume,symbol
2025-02-27,2.91,2.97,2.86,2.92,55120,SOND
2025-02-26,2.91,2.94,2.87,2.9,11733,SOND
2025-02-25,2.8,2.96,2.8,2.86,116737,SOND
2025-02-24,2.88,2.98,2.82,2.87,42026,SOND
2025-02-21,2.85,2.91,2.8,2.86,42049,SOND
2025-02-20,2.7719,3.06,2.7,2.94,84743,SOND
2025-02-19,2.82,2.97,2.6039,2.71,28557,SOND
2025-02-18,2.94,2.94,2.445,2.73,126953,SOND
2025-02-14,2.83,3.09,2.78,2.99,84776,SOND
2025-02-13,2.98,2.99,2.7,2.75,86612,SOND
2025-02-12,3.01,3.0799,2.97,3.03,12938,SOND
2025-02-11,3.0,3.1,3.0,3.03,13224,SOND
2025-02-10,3.0,3.08,2.95,3.025,39954,SOND
2025-02-07,3.08,3.08,2.91,2.985,36300,SOND
2025-02-06,2.99,3.08,2.9556,3.08,15897,SOND
2025-02-05,3.0957,3.1199,2.89,2.99,28378,SOND
2025-02-04,3.05,3.1103,2.98,3.02,14687,SOND
2025-02-03,3.0,3.08,2.9,3.08,27425,SOND
2025-01-31,3.09,3.1296,2.9986,3.09,8366,SOND
2025-01-30,3.1016,3.1016,2.96,3.09,22404,SOND
2025-01-29,3.09,3.16,3.065,3.14,14845,SOND
2025-01-28,3.23,3.24,3.0,3.09,68511,SOND
2025-01-27,3.4,3.421,3.1583,3.18,55233,SOND
2025-01-24,3.5593,3.6,3.3601,3.4,41962,SOND
2025-01-23,3.5804,3.6379,3.45,3.57,26000,SOND
2025-01-22,3.57,3.67,3.4818,3.53,43668,SOND
2025-01-21,3.49,3.67,3.43,3.54,29939,SOND
2025-01-17,3.3701,3.44,3.32,3.43,30764,SOND
2025-01-16,3.26,3.35,3.22,3.31,20300,SOND
2025-01-15,3.14,3.35,3.0609,3.3,34153,SOND
2025-01-14,3.04,3.19,3.0,3.19,7415,SOND
2025-01-13,3.29,3.29,2.99,3.1,36110,SOND
2025-01-10,3.24,3.24,3.06,3.22,15475,SOND
2025-01-08,3.34,3.34,3.11,3.16,18078,SOND
2025-01-07,3.49,3.52,3.2,3.31,26284,SOND
2025-01-06,3.91,3.91,2.98,3.39,102567,SOND
2025-01-03,3.59,3.906,3.5819,3.9,62756,SOND
2025-01-02,3.2,3.6,3.175,3.55,38928,SOND
2024-12-31,3.1352,3.24,2.98,3.18,74320,SOND
2024-12-30,3.09,3.2,3.0,3.17,84012,SOND
