Date,open,high,low,close,volume,symbol
2025-02-27,9.78,9.78,9.62,9.63,27660512,VALE
2025-02-26,9.96,9.97,9.75,9.76,34061757,VALE
2025-02-25,9.92,9.96,9.87,9.89,29611894,VALE
2025-02-24,10.18,10.23,9.95,9.97,34888309,VALE
2025-02-21,10.18,10.23,10.07,10.11,42834250,VALE
2025-02-20,9.99,10.28,9.99,10.15,61783712,VALE
2025-02-19,9.74,9.78,9.63,9.74,31073414,VALE
2025-02-18,9.8,9.875,9.7601,9.81,26121723,VALE
2025-02-14,9.7,9.82,9.65,9.76,31749143,VALE
2025-02-13,9.41,9.58,9.36,9.57,26851825,VALE
2025-02-12,9.58,9.63,9.53,9.56,25367369,VALE
2025-02-11,9.52,9.6,9.48,9.57,20254412,VALE
2025-02-10,9.5,9.6,9.49,9.56,22423288,VALE
2025-02-07,9.68,9.68,9.43,9.47,35975146,VALE
2025-02-06,9.61,9.68,9.56,9.61,37286034,VALE
2025-02-05,9.37,9.45,9.34,9.37,33600126,VALE
2025-02-04,9.42,9.47,9.36,9.43,39983432,VALE
2025-02-03,9.16,9.38,9.1148,9.36,35563722,VALE
2025-01-31,9.43,9.51,9.29,9.29,41928074,VALE
2025-01-30,9.16,9.52,9.15,9.39,49521053,VALE
2025-01-29,9.02,9.17,8.9935,9.07,32285426,VALE
2025-01-28,9.1,9.105,8.99,9.03,33070814,VALE
2025-01-27,8.955,9.19,8.93,9.16,42584586,VALE
2025-01-24,9.02,9.08,8.97,8.98,31998962,VALE
2025-01-23,8.87,8.91,8.78,8.89,47294331,VALE
2025-01-22,9.03,9.1,8.845,8.87,54050119,VALE
2025-01-21,8.98,9.01,8.84,8.98,32055624,VALE
2025-01-17,8.86,9.07,8.855,8.94,59396163,VALE
2025-01-16,8.74,8.85,8.645,8.77,142370475,VALE
2025-01-15,8.71,8.79,8.6,8.76,28032106,VALE
2025-01-14,8.63,8.71,8.58,8.62,29688940,VALE
2025-01-13,8.41,8.63,8.38,8.51,30172752,VALE
2025-01-10,8.47,8.61,8.45,8.5,26286703,VALE
2025-01-08,8.5,8.51,8.42,8.5,25887194,VALE
2025-01-07,8.66,8.75,8.52,8.56,29526209,VALE
2025-01-06,8.7,8.76,8.6,8.62,21631252,VALE
2025-01-03,8.79,8.81,8.62,8.63,27781309,VALE
2025-01-02,8.8,8.96,8.78,8.88,20713507,VALE
2024-12-31,8.86,8.94,8.84,8.87,11853021,VALE
2024-12-30,8.91,8.94,8.8,8.86,22315595,VALE
2024-12-27,8.82,8.93,8.81,8.92,25181557,VALE
2024-12-26,8.84,9.02,8.81,8.96,21725711,VALE
2024-12-24,8.96,8.97,8.89,8.94,6879074,VALE
2024-12-23,8.9,8.95,8.82,8.94,29069090,VALE
2024-12-20,8.78,8.94,8.76,8.9,35596191,VALE
2024-12-19,8.82,8.84,8.73,8.78,35451961,VALE
2024-12-18,9.05,9.05,8.69,8.74,41087499,VALE
2024-12-17,9.08,9.28,9.0,9.19,32039908,VALE
2024-12-16,9.19,9.335,9.09,9.1,35171700,VALE
2024-12-13,9.37,9.3753,9.22,9.26,27085145,VALE
2024-12-12,9.65,9.66,9.41,9.47,31687435,VALE
2024-12-11,9.84,9.9677,9.68,9.83,35413140,VALE
2024-12-10,9.84,9.93,9.815,9.88,24468882,VALE
2024-12-09,9.71,9.95,9.7,9.85,49368177,VALE
2024-12-06,9.55,9.58,9.33,9.36,27882783,VALE
2024-12-05,9.57,9.65,9.53,9.61,24568675,VALE
2024-12-04,9.64,9.65,9.42,9.51,45870442,VALE
2024-12-03,9.71,9.775,9.64,9.68,27941353,VALE
2024-12-02,9.74,9.81,9.69,9.79,31488794,VALE
2024-11-29,9.68,9.88,9.64,9.86,30374874,VALE
2024-11-27,9.93,10.02,9.83,9.87,28135401,VALE
2024-11-26,10.02,10.02,9.84,9.9,23544796,VALE
2024-11-25,10.12,10.15,10.02,10.07,17531882,VALE
2024-11-22,9.91,10.04,9.875,10.02,19121394,VALE
2024-11-21,9.87,9.97,9.84,9.96,28912905,VALE
2024-11-20,10.03,10.14,9.985,10.03,22687948,VALE
2024-11-19,10.0,10.06,9.965,10.02,17055440,VALE
2024-11-18,9.89,10.07,9.89,10.03,27531009,VALE
2024-11-15,9.91,9.91,9.78,9.81,15469511,VALE
