Date,open,high,low,close,volume,symbol
2025-02-27,29.412,29.412,29.31,29.3381,2707,VAMO
2025-02-26,29.55,29.55,29.38,29.4321,1269,VAMO
2025-02-25,29.225,29.3323,29.1033,29.3323,1421,VAMO
2025-02-24,29.31,29.32,29.207,29.207,482,VAMO
2025-02-21,29.26,29.3023,29.21,29.3023,1783,VAMO
2025-02-20,29.8701,29.8701,29.73,29.8616,2484,VAMO
2025-02-19,30.0357,30.0357,30.0357,30.0357,194,VAMO
2025-02-18,30.28,30.2863,30.275,30.2863,702,VAMO
2025-02-14,30.3618,30.39,30.36,30.3608,1250,VAMO
2025-02-13,30.04,30.2316,30.04,30.2316,638,VAMO
2025-02-12,30.05,30.06,30.0211,30.0211,531,VAMO
2025-02-11,30.21,30.215,30.21,30.215,908,VAMO
2025-02-10,30.2,30.36,30.15,30.2596,4018,VAMO
2025-02-07,30.23,30.32,30.23,30.2934,1888,VAMO
2025-02-06,30.58,30.6,30.36,30.4775,3594,VAMO
2025-02-05,30.32,30.49,30.32,30.4868,31840,VAMO
2025-02-04,30.31,30.3245,30.2599,30.2599,531,VAMO
2025-02-03,29.95,30.265,29.95,30.1785,1621,VAMO
2025-01-31,30.66,30.66,30.441,30.441,338,VAMO
2025-01-30,30.75,30.88,30.737,30.737,2634,VAMO
2025-01-29,30.45,30.55,30.39,30.4824,6977,VAMO
2025-01-28,30.385,30.385,30.26,30.3701,1266,VAMO
2025-01-27,30.71,30.71,30.5145,30.5145,1873,VAMO
2025-01-24,30.81,30.99,30.81,30.909,1076,VAMO
2025-01-23,31.1,31.1,30.975,30.975,1780,VAMO
2025-01-22,31.06,31.1,31.01,31.043,1113,VAMO
2025-01-21,31.0374,31.139,31.0374,31.1247,1489,VAMO
2025-01-17,30.87,30.9605,30.71,30.8091,3061,VAMO
2025-01-16,30.76,30.832,30.76,30.832,330,VAMO
2025-01-15,30.7938,30.7938,30.7938,30.7938,144,VAMO
2025-01-14,30.28,30.4114,30.28,30.4114,2036,VAMO
2025-01-13,29.6438,29.8517,29.6438,29.8517,5184,VAMO
2025-01-10,29.66,29.71,29.57,29.6438,3765,VAMO
2025-01-08,29.6701,29.8949,29.6701,29.8949,60241,VAMO
2025-01-07,29.82,29.8291,29.82,29.8291,398,VAMO
2025-01-06,30.13,30.16,29.9736,29.9736,1126,VAMO
2025-01-03,29.865,30.11,29.865,30.0769,2367,VAMO
2025-01-02,29.9,29.9,29.8608,29.8608,936,VAMO
2024-12-31,29.8,29.8,29.7696,29.7696,1876,VAMO
2024-12-30,29.45,29.7487,29.45,29.7487,2624,VAMO
2024-12-27,29.7596,29.7596,29.7596,29.7596,311,VAMO
2024-12-26,29.73,29.977,29.73,29.977,1815,VAMO
2024-12-24,29.705,29.8455,29.705,29.8455,667,VAMO
2024-12-23,29.68,29.77,29.68,29.7495,737,VAMO
2024-12-20,29.76,30.0,29.76,29.7891,1713,VAMO
2024-12-19,29.58,29.71,29.5201,29.6106,1522,VAMO
2024-12-18,30.319,30.319,29.53,29.6099,2015,VAMO
2024-12-17,30.72,30.72,30.3099,30.3099,1032,VAMO
2024-12-16,30.88,30.88,30.72,30.7316,855,VAMO
2024-12-13,30.77,30.77,30.67,30.7359,2903,VAMO
2024-12-12,30.99,30.99,30.8868,30.8868,936,VAMO
2024-12-11,30.97,31.085,30.97,31.0726,1419,VAMO
2024-12-10,31.16,31.16,30.8982,30.8982,2005,VAMO
2024-12-09,31.235,31.4,31.1722,31.1722,1728,VAMO
2024-12-06,31.75,31.75,31.4021,31.53,2799,VAMO
2024-12-05,31.85,31.8699,31.71,31.71,5536,VAMO
2024-12-04,31.94,31.9695,31.8,31.942,27100,VAMO
2024-12-03,32.275,32.39,32.03,32.1143,5761,VAMO
2024-12-02,32.33,32.63,32.14,32.1873,3034,VAMO
2024-11-29,32.46,32.65,32.22,32.255,3512,VAMO
2024-11-27,32.295,32.3187,32.21,32.222,3737,VAMO
2024-11-26,32.26,32.3663,32.24,32.3593,1517,VAMO
2024-11-25,32.4688,32.72,32.4688,32.572,2293,VAMO
2024-11-22,31.87,32.0999,31.87,32.0999,1060,VAMO
2024-11-21,31.63,31.85,31.63,31.7802,2604,VAMO
2024-11-20,31.5399,31.5399,31.3763,31.3763,1540,VAMO
2024-11-19,31.3482,31.35,31.3324,31.35,728,VAMO
2024-11-18,31.3,31.4,31.28,31.2915,1907,VAMO
2024-11-15,31.11,31.1699,31.07,31.1572,11025,VAMO
2024-11-14,31.105,31.18,30.99,31.1065,20000,VAMO
2024-11-13,31.6929,31.6929,31.2178,31.2178,3440,VAMO
2024-11-12,31.86,31.86,31.5,31.547,23029,VAMO
2024-11-11,31.9,32.12,31.9,32.01,1751,VAMO
2024-11-08,31.6297,31.6297,31.6297,31.6297,337,VAMO
2024-11-07,31.4,31.7,31.4,31.4125,5411,VAMO
2024-11-06,31.25,31.628,31.04,31.628,3800,VAMO
2024-11-05,29.99,30.2514,29.99,30.2514,4966,VAMO
2024-11-04,29.86,29.93,29.7389,29.7389,917,VAMO
2024-11-01,29.9,29.9,29.51,29.5394,1598,VAMO
2024-10-31,29.73,29.74,29.655,29.655,542,VAMO
2024-10-30,29.56,29.8999,29.56,29.7468,1445,VAMO
2024-10-29,29.3,29.57,29.3,29.57,651,VAMO
2024-10-28,29.59,29.7134,29.59,29.7134,4365,VAMO
2024-10-25,29.66,29.66,29.389,29.389,4306,VAMO
2024-10-24,29.69,29.75,29.6608,29.7298,30209,VAMO
2024-10-23,29.62,29.63,29.54,29.6,2102,VAMO
2024-10-22,29.59,29.59,29.59,29.59,449,VAMO
2024-10-21,29.94,29.9471,29.8806,29.8806,1607,VAMO
2024-10-18,30.271,30.271,30.271,30.271,303,VAMO
2024-10-17,30.4444,30.4444,30.3485,30.3485,1914,VAMO
2024-10-16,30.53,30.54,30.5139,30.5139,424,VAMO
2024-10-15,30.0,30.2701,30.0,30.0768,1403,VAMO
2024-10-14,29.82,29.9737,29.82,29.9737,449,VAMO
2024-10-11,29.71,29.8335,29.71,29.8335,522,VAMO
2024-10-10,29.435,29.4398,29.37,29.4398,3034,VAMO
2024-10-09,29.7115,29.7115,29.5401,29.6002,1179,VAMO
2024-10-08,29.75,29.75,29.5909,29.5909,1075,VAMO
2024-10-07,29.4843,29.6643,29.4843,29.6643,811,VAMO
2024-10-04,29.78,29.78,29.7717,29.7717,441,VAMO
2024-10-03,29.8,29.8,29.494,29.494,810,VAMO
2024-10-02,29.585,29.67,29.52,29.5593,4529,VAMO
2024-10-01,29.42,29.5901,29.42,29.5869,3198,VAMO
2024-09-30,29.41,29.6866,29.41,29.6866,2491,VAMO
2024-09-27,29.48,29.5872,29.48,29.5872,422,VAMO
2024-09-26,29.3743,29.4,29.3009,29.3009,2889,VAMO
2024-09-25,29.38,29.38,29.17,29.2238,6104,VAMO
2024-09-24,29.72,29.74,29.4907,29.4907,1578,VAMO
2024-09-23,27.15,29.65,27.15,29.5925,5672,VAMO
2024-09-20,29.5016,29.5016,29.5016,29.5016,74,VAMO
2024-09-19,30.02,30.02,29.58,29.7598,5752,VAMO
2024-09-18,29.26,29.515,29.26,29.375,4643,VAMO
2024-09-17,29.2,29.3,29.2,29.2902,4987,VAMO
2024-09-16,29.09,29.09,28.91,29.0606,1191,VAMO
2024-09-13,28.81,28.9,28.81,28.875,1322,VAMO
2024-09-12,28.33,28.34,28.3069,28.3069,2792,VAMO
2024-09-11,27.8,28.0778,27.8,28.0778,1832,VAMO
2024-09-10,28.07,28.07,28.07,28.07,327,VAMO
2024-09-09,28.4554,28.52,28.3785,28.3785,913,VAMO
2024-09-06,28.7,28.7,28.42,28.4554,2839,VAMO
2024-09-05,28.53,28.67,28.53,28.64,3549,VAMO
2024-09-04,28.72,28.88,28.72,28.7489,3216,VAMO
2024-09-03,29.35,29.35,28.8641,28.8641,3585,VAMO
2024-08-30,29.64,29.64,29.36,29.5206,391,VAMO
2024-08-29,29.3,29.4501,29.11,29.4275,2715,VAMO
2024-08-28,29.145,29.378,29.145,29.2748,3717,VAMO
2024-08-27,29.24,29.2438,29.19,29.2438,1501,VAMO
2024-08-26,29.48,29.48,29.3718,29.3718,631,VAMO
2024-08-23,29.46,29.49,29.4,29.4301,2705,VAMO
2024-08-22,28.825,28.8797,28.804,28.804,4788,VAMO
2024-08-21,28.8374,28.8374,28.8374,28.8374,511,VAMO
2024-08-20,28.74,28.74,28.4693,28.4693,1146,VAMO
2024-08-19,28.7601,28.86,28.7601,28.7693,1114,VAMO
2024-08-16,28.21,28.7,28.21,28.666,2666,VAMO
2024-08-15,28.595,28.81,28.595,28.6,2031,VAMO
2024-08-14,28.37,28.3891,28.37,28.3891,1431,VAMO
2024-08-13,28.3601,28.59,28.3601,28.46,8910,VAMO
2024-08-12,28.52,28.53,28.32,28.3817,6506,VAMO
2024-08-09,28.53,28.5403,28.505,28.505,5792,VAMO
2024-08-08,28.53,28.57,28.53,28.5678,990,VAMO
2024-08-07,28.3064,28.3064,28.3064,28.3064,337,VAMO
2024-08-06,28.51,28.539,28.45,28.4957,1171,VAMO
2024-08-05,27.82,28.33,27.691,28.2907,5917,VAMO
2024-08-02,29.03,29.03,28.62,28.6757,5664,VAMO
2024-08-01,29.84,29.84,29.43,29.57,12713,VAMO
2024-07-31,30.35,30.44,30.2404,30.2404,6854,VAMO
2024-07-30,30.125,30.1902,30.125,30.1902,935,VAMO
2024-07-29,29.92,29.99,29.895,29.96,2223,VAMO
2024-07-26,30.07,30.0747,29.93,30.0747,2176,VAMO
2024-07-25,29.42,29.6632,29.42,29.6632,367,VAMO
2024-07-24,29.17,29.6701,29.17,29.2557,7244,VAMO
2024-07-23,29.33,29.5067,29.33,29.5067,1270,VAMO
2024-07-22,29.19,29.2757,29.07,29.2757,1983,VAMO
2024-07-19,29.0677,29.0677,29.0677,29.0677,56,VAMO
2024-07-18,29.39,29.46,29.1344,29.1344,1297,VAMO
2024-07-17,29.37,29.56,29.2,29.21,4615,VAMO
2024-07-16,29.0,29.3907,29.0,29.3907,5789,VAMO
2024-07-15,28.67,28.8167,28.67,28.6945,2148,VAMO
2024-07-12,28.34,28.5,28.34,28.3921,7286,VAMO
2024-07-11,28.09,28.1981,28.09,28.1981,960,VAMO
2024-07-10,27.24,27.3398,27.24,27.3398,4054,VAMO
2024-07-09,27.26,27.3401,27.1661,27.1661,2595,VAMO
2024-07-08,27.23,27.54,27.23,27.28,19530,VAMO
2024-07-05,27.47,27.48,27.16,27.17,7642,VAMO
2024-07-03,27.64,27.6537,27.64,27.6537,428,VAMO
2024-07-02,27.655,27.66,27.57,27.5961,4061,VAMO
2024-07-01,27.865,27.865,27.5639,27.6501,10499,VAMO
2024-06-28,27.65,27.6616,27.54,27.6616,2677,VAMO
2024-06-27,27.56,27.56,27.41,27.5062,3070,VAMO
2024-06-26,27.54,27.54,27.48,27.5388,1922,VAMO
2024-06-25,27.55,27.635,27.55,27.635,1557,VAMO
2024-06-24,27.91,27.9967,27.91,27.9634,7562,VAMO
