Date,open,high,low,close,volume,symbol
2025-02-27,6.03,6.36,5.86,6.13,217274,WEST
2025-02-26,6.05,6.155,5.86,6.05,191739,WEST
2025-02-25,6.14,6.17,5.96,6.02,178262,WEST
2025-02-24,6.42,6.49,6.12,6.12,176344,WEST
2025-02-21,6.36,6.59,6.07,6.35,231855,WEST
2025-02-20,6.37,6.515,6.04,6.25,230987,WEST
2025-02-19,6.42,6.52,6.33,6.43,119218,WEST
2025-02-18,6.41,6.645,6.41,6.45,140670,WEST
2025-02-14,6.72,6.92,6.38,6.39,268258,WEST
2025-02-13,6.56,6.7,6.49,6.69,150832,WEST
2025-02-12,6.55,6.74,6.47,6.56,145878,WEST
2025-02-11,6.57,6.655,6.5,6.64,154238,WEST
2025-02-10,6.46,6.665,6.31,6.65,163804,WEST
2025-02-07,6.59,6.59,6.36,6.46,117293,WEST
2025-02-06,6.45,6.65,6.34,6.61,156802,WEST
2025-02-05,6.84,6.84,6.39,6.42,167959,WEST
2025-02-04,6.78,6.875,6.7,6.76,168862,WEST
2025-02-03,6.93,7.1293,6.645,6.79,183098,WEST
2025-01-31,7.11,7.2588,6.95,6.96,270470,WEST
2025-01-30,6.98,7.24,6.9101,7.14,223666,WEST
2025-01-29,6.9,7.04,6.77,6.91,245139,WEST
2025-01-28,6.93,7.095,6.84,6.9,190899,WEST
2025-01-27,6.9,7.1899,6.9,7.02,301570,WEST
2025-01-24,6.68,7.04,6.55,6.87,305380,WEST
2025-01-23,6.37,6.69,6.305,6.665,263081,WEST
2025-01-22,6.48,6.53,6.37,6.41,141886,WEST
2025-01-21,6.34,6.57,6.34,6.52,280182,WEST
2025-01-17,6.3,6.42,6.15,6.32,168273,WEST
2025-01-16,6.03,6.3,5.84,6.26,279355,WEST
2025-01-15,6.46,6.53,5.98,6.0,344923,WEST
2025-01-14,6.29,6.35,6.18,6.28,203705,WEST
2025-01-13,6.13,6.37,6.0,6.24,283105,WEST
2025-01-10,6.21,6.265,6.0,6.12,253137,WEST
2025-01-08,6.23,6.31,6.05,6.26,205532,WEST
